N	3gram	Bakhtin_Fr	Myslijsy
1	в том что	2	47
2	по отношению к	2	26
3	не может быть	2	19
4	в свою очередь	2	14
5	то же время	13	13
6	в то же	13	13
7	во всяком случае	2	12
8	с другой стороны	5	12
9	до сих пор	6	12
10	смысле этого слова	2	12
11	подобно тому как	2	11
12	для того чтобы	5	11
13	с одной стороны	4	10
14	о том что	3	9
15	но и в	4	9
16	на самом деле	5	8
17	можно сказать что	2	7
18	как и в	2	7
19	одной и той	2	7
20	и той же	2	7
21	не только в	3	7
22	с точки зрения	4	7
23	все то что	2	4
24	и тот же	3	4
25	в данном случае	3	4
26	в том же	3	4
27	в этом отношении	4	4
28	один и тот	3	4
29	дело в том	2	4
30	можно было бы	2	3
31	одной стороны и	2	3
32	в большинстве случаев	3	3
33	в связи с	5	3
34	не подлежит сомнению	2	3
35	и до сих	2	2
36	его связь с	3	2
37	даже и в	2	2
38	и в других	3	2
39	только то что	2	2
40	и все остальные	3	2
41	как мы видели	4	2
42	и все что	3	2
43	вместе с нею	2	2
44	в первый раз	2	2
45	видно что в	3	2
46	но все же	2	2
