N	3gram	Vinokur_St	Stilisti
1	в то же	5	9
2	то же время	5	7
3	для того чтобы	13	7
4	в зависимости от	2	7
5	с точки зрения	10	5
6	того или иного	4	5
7	с самого начала	3	4
8	то или иное	3	4
9	в этом случае	3	3
10	в конце концов	2	3
11	на самом деле	7	3
12	в той же	2	3
13	не только в	4	3
14	но все же	3	3
15	но и в	2	3
16	вместе с тем	2	2
17	чуть ли не	2	2
18	и в области	5	2
19	только потому что	2	2
20	и тем же	2	2
21	в самом деле	7	2
22	в этом отношении	13	2
23	в значительной степени	2	2
24	к тому что	4	2
25	по отношению к	3	2
26	но в то	2	2
27	о том что	19	2
28	не может быть	5	2
