N	3gram	Berdyaev_M	FransuaR
1	до сих пор	5	27
2	в том что	3	27
3	для того чтобы	4	17
4	о том что	3	17
5	но и в	4	15
6	не может быть	22	13
7	в конце концов	3	10
8	мы еще вернемся	2	10
9	как и в	2	10
10	не только в	2	10
11	в значительной степени	2	10
12	по отношению к	4	9
13	после того как	2	8
14	в своей книге	2	7
15	прежде всего в	2	7
16	подобно тому как	2	7
17	в то время	2	7
18	и в этой	5	5
19	это и есть	7	5
20	по сравнению с	2	5
21	потому что он	3	5
22	также и в	2	4
23	может быть и	2	4
24	одной и той	2	4
25	и в самом	3	4
26	но он не	3	4
27	в нем не	2	4
28	что и в	3	4
29	и не может	2	4
30	и той же	2	4
31	в нем есть	5	3
32	потому что в	4	3
33	но это не	3	3
34	он не только	2	3
35	как и во	2	3
36	ни к какому	2	3
37	так и не	2	3
38	есть не что	3	3
39	вместе с тем	5	3
40	что иное как	4	3
41	в разных местах	2	3
42	не что иное	4	3
43	между тем как	2	3
44	один из самых	4	3
45	в себе и	2	3
46	и потому не	3	2
47	к нему все	2	2
48	есть и в	2	2
49	она никогда не	3	2
50	и не было	2	2
51	потому что она	2	2
52	и во всем	2	2
53	к человеку и	4	2
54	не могут быть	2	2
55	в самом центре	2	2
56	но также и	2	2
57	его отношение к	2	2
58	друг к другу	6	2
59	никогда не может	2	2
60	и вместе с	4	2
61	и та же	2	2
62	одна и та	2	2
63	что это не	2	2
64	и в нем	3	2
