N	3gram	Tiupa_Narr	Komedia
1	в том что	8	29
2	к тому же	4	21
3	то же время	3	16
4	в то же	3	16
5	о том что	6	13
6	в свою очередь	3	10
7	по отношению к	6	9
8	с одной стороны	7	9
9	речь идет о	2	8
10	с другой стороны	4	8
11	то ни было	3	7
12	на себя внимание	3	7
13	бы то ни	3	7
14	так или иначе	2	7
15	обращает на себя	3	7
16	в связи с	2	6
17	с точки зрения	2	6
18	в том числе	6	6
19	в отличие от	5	6
20	в этом отношении	3	5
21	тем не менее	3	5
22	можно было бы	2	4
23	но все же	4	4
24	более или менее	2	3
25	том числе и	4	3
26	состоит в том	3	3
27	подобно тому как	2	2
28	в первом случае	2	2
29	точно так же	2	2
30	не только в	2	2
31	в основе своей	4	2
32	так же как	2	2
33	так и не	2	2
34	в конечном счете	2	2
35	этой точки зрения	2	2
