N	2gram	Voloshinov	Literetu
1	а не	2	50
2	и не	8	47
3	не только	6	46
4	и в	13	44
5	может быть	8	43
6	при этом	2	41
7	но и	3	41
8	в том	2	39
9	в этом	2	38
10	своего рода	2	37
11	том что	2	32
12	то что	6	29
13	то же	4	26
14	как и	3	23
15	не в	3	22
16	так и	3	22
17	не может	8	22
18	в себе	3	20
19	и т.п	7	20
20	прежде всего	9	19
21	как бы	6	18
22	точки зрения	7	17
23	в его	7	17
24	с другой	2	17
25	не менее	2	15
26	в целом	2	15
27	только в	6	15
28	по отношению	3	14
29	эстетического объекта	5	13
30	с одной	2	13
31	и его	12	13
32	в данном	2	12
33	в своей	4	12
34	а также	2	12
35	отношению к	3	12
36	одной стороны	2	12
37	никогда не	3	11
38	данном случае	2	11
39	в другом	2	11
40	еще в	2	11
41	не столько	3	11
42	как в	2	11
43	а в	2	11
44	для себя	2	10
45	в области	2	10
46	что в	3	10
47	в ее	3	10
48	к тому	2	9
49	в поэзии	5	9
50	лишь в	4	9
51	с этой	2	9
52	и т.д	5	9
53	все же	5	8
54	в искусстве	3	8
55	но в	4	8
56	уже в	2	8
57	для него	2	8
58	слова и	2	8
59	тем что	2	8
60	в своих	2	8
61	соответствии с	2	8
62	с точки	5	8
63	в их	3	7
64	не как	3	7
65	наконец в	2	7
66	и тем	2	7
67	другой стороны	2	7
68	и для	3	7
69	в самом	2	7
70	в одном	3	7
71	в нем	2	7
72	на фоне	4	7
73	еще и	4	6
74	самом деле	3	6
75	эстетический объект	7	6
76	и др	2	6
77	было бы	4	6
78	и то	3	6
79	в каждом	4	6
80	и наконец	5	6
81	в ней	2	6
82	вслед за	2	5
83	так как	3	5
84	более того	2	5
85	между тем	2	5
86	несмотря на	2	5
87	в связи	2	5
88	хотя бы	5	5
89	литературного произведения	2	5
90	мы не	4	5
91	и к	2	5
92	входит в	2	4
93	нуждается в	2	4
94	не является	4	4
95	объект и	2	4
96	от своего	2	4
97	в г	2	4
98	в руках	2	4
99	общего с	3	4
100	со всей	3	4
101	и все	3	4
102	могут быть	2	4
103	в них	2	4
104	во всей	2	4
105	нет ничего	2	4
106	за пределы	3	4
107	художественное произведение	2	4
108	в пределах	3	4
109	вовсе не	2	4
110	таким образом	6	4
111	не мог	2	4
112	автора героя	2	3
113	в действительности	2	3
114	так же	2	3
115	в полном	2	3
116	тех пор	4	3
117	в отношении	2	3
118	есть не	2	3
119	полном соответствии	2	3
120	в сознании	4	3
121	что же	3	3
122	там где	2	3
123	все эти	2	3
124	не на	2	3
125	тот же	2	3
126	ее в	2	3
127	да и	3	3
128	к предмету	2	3
129	сознания и	2	3
130	художественного произведения	5	3
131	в этот	2	3
132	если бы	2	3
133	превращается в	3	3
134	героя и	2	3
135	не имеет	2	3
136	и является	2	3
137	всей своей	2	3
138	в чем	2	3
139	и уже	3	3
140	говорить о	3	3
141	ничего общего	3	3
142	роль в	2	2
143	в школе	4	2
144	а как	2	2
145	и при	2	2
146	собственно говоря	2	2
147	замкнутого круга	2	2
148	в общем	2	2
149	но мы	4	2
150	с ними	2	2
151	статьи о	2	2
152	что они	2	2
153	и ее	2	2
154	здесь мы	3	2
155	одно и	3	2
156	кажется что	2	2
157	произведения как	4	2
158	бы в	2	2
159	до тех	4	2
160	пор пока	3	2
161	между собою	2	2
162	от всех	2	2
163	мог бы	2	2
164	во всем	2	2
