N	2gram	Kanaev_Sov	EvropaiE
1	и в	7	37
2	точки зрения	12	23
3	что в	2	21
4	не только	4	18
5	с точки	5	17
6	то же	3	15
7	но в	3	14
8	и не	6	14
9	в этом	7	12
10	в том	4	11
11	в области	3	11
12	не может	17	9
13	отнюдь не	3	9
14	в себе	3	9
15	прежде всего	5	9
16	было бы	3	8
17	с одной	2	8
18	как и	6	7
19	так как	4	7
20	и даже	2	6
21	может быть	12	6
22	как бы	4	6
23	и по	2	5
24	и потому	3	5
25	как мы	2	5
26	не в	3	5
27	в виде	2	5
28	вопрос о	4	4
29	или иной	2	4
30	в самом	2	4
31	мы не	9	4
32	для нас	3	4
33	то ни	2	4
34	в свою	2	3
35	и к	3	3
36	в результате	6	3
37	мы можем	6	3
38	из них	4	3
39	всяком случае	2	3
40	мы видели	4	3
41	друг с	2	3
42	и мы	3	3
43	не дает	2	3
44	в таком	2	3
45	с другом	2	3
46	во всяком	2	3
47	на этот	2	2
48	в его	2	2
49	что это	2	2
50	не могут	2	2
51	а в	4	2
52	с этим	2	2
53	мы должны	4	2
54	могут быть	2	2
55	в развитии	4	2
56	что все	2	2
57	в одном	3	2
58	не можем	7	2
59	что же	5	2
60	жизни и	4	2
61	еще более	2	2
62	а не	3	2
63	мы видим	2	2
64	и что	2	2
65	и во	2	2
66	и наконец	5	2
67	свою очередь	2	2
68	и все	3	2
69	таким образом	11	2
70	такой же	2	2
71	в этой	3	2
72	в некоторых	2	2
73	между собой	3	2
74	вместе с	4	2
