N	2gram	Losev_Dial	Narrotol
1	не только	26	62
2	и не	51	50
3	при этом	2	47
4	но и	17	45
5	а не	24	38
6	в качестве	2	35
7	в частности	4	31
8	может быть	30	30
9	и в	35	30
10	в том	20	29
11	том что	18	28
12	в этом	18	28
13	а в	8	27
14	только в	7	25
15	в данном	5	24
16	как и	10	24
17	не в	12	23
18	то что	25	23
19	не может	16	20
20	в себе	23	17
21	так и	18	17
22	со стороны	2	16
23	в его	4	16
24	но в	8	15
25	можно сказать	10	15
26	к тому	6	15
27	в жизни	3	14
28	и его	6	14
29	в своем	7	13
30	в своей	9	13
31	то же	21	13
32	времени и	10	13
33	у него	2	13
34	о том	8	13
35	уже не	3	13
36	перед нами	3	12
37	все же	9	12
38	прежде всего	14	12
39	как в	3	12
40	как бы	19	12
41	и тем	2	11
42	об этом	7	11
43	в нем	25	11
44	в этой	3	11
45	если бы	12	11
46	в мире	3	11
47	хотя и	4	11
48	никогда не	18	10
49	в то	10	10
50	ничего не	19	10
51	как это	8	10
52	один из	3	10
53	точки зрения	25	10
54	того что	6	10
55	не является	3	10
56	и все	11	10
57	но не	9	10
58	жизни и	9	10
59	тому же	3	10
60	между тем	3	10
61	во времени	4	9
62	еще не	4	9
63	что он	16	9
64	что в	19	9
65	отнюдь не	13	9
66	тем не	3	9
67	той или	11	9
68	для него	2	9
69	далеко не	2	9
70	я в	3	9
71	потому что	23	9
72	с ним	9	9
73	как раз	7	9
74	или иной	4	8
75	о чем	4	8
76	самом деле	6	8
77	не менее	5	8
78	мы имеем	4	8
79	и он	6	8
80	этом отношении	2	8
81	и для	2	8
82	в самом	6	8
83	и к	8	8
84	в той	4	8
85	же время	9	8
86	в таком	4	8
87	он не	5	8
88	это не	18	7
89	вслед за	2	7
90	в конце	5	7
91	в чем	9	7
92	в ней	4	7
93	в ее	3	7
94	и состоит	2	7
95	же в	2	7
96	в силу	6	7
97	также и	7	7
98	с другой	10	7
99	в котором	5	7
100	или в	2	7
101	одной стороны	3	6
102	вплоть до	3	6
103	в современной	2	6
104	в сознании	3	6
105	они не	3	6
106	что и	7	6
107	например в	2	6
108	сказать что	19	6
109	никак не	6	6
110	то в	8	6
111	то и	3	6
112	из этих	2	6
113	в результате	2	6
114	на него	2	6
115	как у	3	6
116	не по	2	6
117	с одной	4	6
118	что у	3	6
119	на то	5	6
120	к его	2	6
121	все что	2	6
122	таким образом	5	6
123	на самом	5	5
124	для нее	2	5
125	в другом	6	5
126	и у	2	5
127	не всегда	2	5
128	а именно	3	5
129	точку зрения	3	5
130	и о	4	5
131	о котором	2	5
132	к нему	12	5
133	точка зрения	3	5
134	мира и	2	5
135	человеческой жизни	2	5
136	было бы	14	5
137	я не	9	5
138	да и	11	5
139	и то	15	5
140	и от	5	5
141	что это	21	5
142	или не	5	5
143	с ними	4	5
144	тем более	2	5
145	бы и	4	5
146	себя в	2	5
147	и даже	23	5
148	стало быть	17	5
149	только что	5	5
150	для того	2	5
151	в какой	3	5
152	их в	2	5
153	именно в	4	5
154	но для	2	5
155	еще в	2	5
156	из них	5	5
157	в одном	4	5
158	не было	7	5
159	он сам	6	5
160	и уже	4	5
161	как будто	7	5
162	даже в	6	4
163	не о	5	4
164	в москве	2	4
165	еще раз	2	4
166	эти два	4	4
167	и внутреннего	2	4
168	в виду	9	4
169	как он	5	4
170	в области	2	4
171	только на	3	4
172	по своему	4	4
173	в душе	8	4
174	в них	4	4
175	тому что	4	4
176	она не	10	4
177	это уже	2	4
178	все его	3	4
179	что на	2	4
180	не будет	2	4
