N	2gram	Losev_Vesc	Sovremen
1	не может	44	17
2	точки зрения	10	12
3	может быть	37	12
4	таким образом	16	11
5	мы не	8	9
6	не можем	3	7
7	и в	44	7
8	в этом	17	7
9	и не	57	6
10	ничего не	12	6
11	как и	15	6
12	в результате	9	6
13	мы можем	4	6
14	что же	17	5
15	с точки	6	5
16	все эти	5	5
17	прежде всего	17	5
18	нет и	4	4
19	вопрос о	6	4
20	мы видели	3	4
21	это не	9	4
22	не только	48	4
23	в том	15	4
24	мы должны	5	4
25	как бы	19	4
26	их в	6	4
27	так как	17	4
28	же это	5	4
29	если мы	12	4
30	в целом	3	4
31	жизни и	6	4
32	вместе с	4	4
33	а в	6	4
34	из них	7	4
35	для нас	2	3
36	может не	4	3
37	и мы	5	3
38	видели что	3	3
39	когда мы	6	3
40	и потому	8	3
41	на этой	2	3
42	но в	8	3
43	состоит из	3	3
44	не в	14	3
45	все же	18	3
46	у всех	3	3
47	как он	2	3
48	было бы	24	3
49	уже в	2	3
50	в себе	23	3
51	еще не	12	3
52	одна из	6	3
53	у нас	9	3
54	и все	6	3
55	все это	7	3
56	в нем	6	3
57	между собой	2	3
58	а не	34	3
59	в первом	2	3
60	на две	2	3
61	что она	23	3
62	в этой	4	3
63	мы получим	3	3
64	то же	12	3
65	в одном	6	3
66	отличается от	8	3
67	отнюдь не	8	3
68	в конце	3	3
69	ясно что	10	3
70	ли мы	2	3
71	принципиально не	3	2
72	но все	3	2
73	о значении	2	2
74	не знаем	2	2
75	всяком случае	2	2
76	что все	2	2
77	быть и	5	2
78	не менее	11	2
79	той же	2	2
80	ли оно	2	2
81	мы видим	5	2
82	в его	5	2
83	к чему	2	2
84	с этим	4	2
85	и пр	10	2
86	говорить об	2	2
87	и что	22	2
88	то и	7	2
89	во всяком	4	2
90	в и	4	2
91	и во	3	2
92	с другом	2	2
93	что такое	20	2
94	в науке	3	2
95	приводит к	2	2
96	свою очередь	5	2
97	ее на	2	2
98	в самом	13	2
99	она может	4	2
100	и есть	40	2
101	в виде	3	2
102	еще более	4	2
103	что в	11	2
104	совершенно не	11	2
105	в которой	5	2
106	у него	3	2
107	самом деле	7	2
108	уже не	15	2
109	в свою	5	2
110	то ни	13	2
111	если же	5	2
112	и они	2	2
113	для его	2	2
114	теперь же	2	2
115	жизни мы	2	2
116	только один	3	2
117	же мы	2	2
118	самый вопрос	2	2
119	тот же	4	2
120	с одной	3	2
121	на этом	4	2
122	как мы	6	2
123	говорить о	9	2
124	что это	18	2
125	этих двух	2	2
126	тем не	11	2
127	из которых	3	2
128	и даже	12	2
129	тем же	2	2
130	на их	2	2
131	друг с	2	2
