N	2gram	Voloshinov	Problema
1	и в	32	182
2	то есть	2	165
3	и не	42	152
4	вовсе не	15	145
5	то что	12	144
6	не есть	6	113
7	не только	18	104
8	потому что	2	89
9	в этом	27	88
10	может быть	50	82
11	том что	12	81
12	в том	13	81
13	не просто	2	80
14	только в	14	73
15	сказать что	7	72
16	но и	17	70
17	у нас	4	68
18	и даже	4	66
19	по себе	5	64
20	даже и	2	63
21	не менее	5	58
22	о том	4	57
23	так и	21	56
24	тем не	3	56
25	а не	15	56
26	но в	13	55
27	так что	2	52
28	ни в	7	51
29	и вообще	3	48
30	отнюдь не	14	48
31	в себе	5	48
32	смысле слова	4	47
33	было бы	8	46
34	в своей	5	45
35	прежде всего	19	45
36	что в	5	44
37	в его	10	44
38	все эти	8	43
39	не в	13	43
40	таким образом	29	42
41	как раз	5	42
42	то же	19	42
43	если мы	17	42
44	так как	5	40
45	и то	4	40
46	что он	5	40
47	и что	2	40
48	не может	40	39
49	в этой	3	39
50	и тем	4	39
51	во всяком	8	39
52	как бы	31	39
53	той или	5	38
54	в данном	8	38
55	хотя бы	8	37
56	того что	5	37
57	в нем	17	37
58	еще не	7	36
59	точки зрения	48	36
60	и все	8	36
61	в виду	2	34
62	и с	4	34
63	как и	19	34
64	уже не	2	34
65	не является	11	33
66	или иной	8	33
67	в таком	8	33
68	же самое	9	33
69	в то	7	32
70	здесь не	2	32
71	всякий знак	3	32
72	но не	2	32
73	в своем	3	31
74	в конце	5	31
75	связи с	22	31
76	все это	4	31
77	что такое	3	31
78	так же	10	31
79	ясно что	6	30
80	с другой	6	30
81	и для	15	30
82	в настоящее	6	30
83	настоящее время	6	30
84	как мы	26	29
85	художественный образ	2	29
86	все же	13	29
87	в связи	12	29
88	можно сказать	4	29
89	что же	5	28
90	мы не	6	28
91	а в	5	28
92	и как	8	27
93	ничего не	9	27
94	и это	6	27
95	ничего общего	5	27
96	еще и	2	26
97	в результате	9	26
98	знак и	5	26
99	вместе с	2	26
100	это не	5	26
101	другой стороны	7	26
102	и его	33	26
103	с точки	31	25
104	и на	8	25
105	мы можем	6	25
106	всяком случае	4	25
107	на самом	10	24
108	тем более	3	24
109	не имеет	6	24
110	в нашем	4	24
111	а только	2	23
112	на то	4	23
113	таком случае	5	23
114	при этом	13	23
115	конце концов	3	23
116	в качестве	4	23
117	никогда не	7	22
118	и если	2	22
119	и является	4	22
120	его в	7	22
121	и есть	3	22
122	только на	7	22
123	нет ничего	4	22
124	что и	5	22
125	и от	6	22
126	другими словами	4	22
127	всех этих	2	22
128	и к	3	22
129	мы должны	4	21
130	и ее	4	21
131	для себя	4	21
132	сама по	2	21
133	в самом	14	21
134	говорить о	2	21
135	и только	2	21
136	и потому	7	20
137	как о	2	20
138	но как	3	20
139	для того	8	20
140	именно в	6	20
141	можно было	2	20
142	или в	4	20
143	тем что	3	20
144	в отношении	7	19
145	в каком	6	19
146	но если	2	19
147	того или	2	19
148	то в	3	19
149	если бы	12	19
150	кроме того	7	19
151	он не	5	19
152	уже в	3	19
153	самом деле	18	19
154	знака и	5	19
155	как в	5	19
156	этом смысле	2	19
157	жизни и	4	19
158	того же	11	18
159	не будет	7	18
160	того чтобы	9	18
161	в ее	9	18
162	в этих	2	18
163	и ни	2	18
164	не было	6	18
165	не существует	6	18
166	в ней	5	18
167	ни о	2	17
168	мы уже	7	17
169	значение и	3	17
170	и здесь	9	17
171	но уже	2	17
172	в языке	8	17
173	это и	3	17
174	совсем не	2	17
175	совершенно не	6	17
176	во всех	13	17
177	к тому	8	16
178	но все	4	16
179	далеко не	5	16
180	как это	2	16
181	он и	2	16
182	в чем	2	15
183	общего с	3	15
184	здесь в	5	15
185	и более	6	15
186	в частности	2	15
187	у него	2	15
188	что не	4	15
189	с этим	6	15
190	в той	6	15
191	нет никакой	3	14
192	не что	2	14
193	не так	2	14
194	что все	3	14
195	за пределы	8	14
196	в дальнейшем	3	14
197	иное как	2	14
198	сих пор	10	14
199	этом случае	3	14
200	в котором	6	14
201	нас не	3	14
202	с другими	6	14
203	то ни	12	14
204	до сих	10	14
205	только при	4	13
206	в целях	3	13
207	или даже	2	13
208	из этого	2	13
209	в их	5	13
210	бы и	2	13
211	действительности и	3	13
212	тому что	6	13
213	в области	3	13
214	или иного	2	13
215	же и	3	13
216	из них	3	13
217	учение о	3	13
218	но именно	4	12
219	так или	2	12
220	является только	2	12
221	не будем	4	12
222	в которой	4	12
223	на первый	2	12
224	в другом	5	12
225	с одной	2	12
226	значения и	4	12
227	в целом	2	12
228	для них	2	12
229	что это	3	12
230	в начале	7	12
231	в литературе	2	12
232	каждый раз	3	12
233	в смысле	11	12
234	или иначе	3	12
235	и следовательно	8	11
236	могли бы	2	11
237	и во	2	11
238	и самого	3	11
239	в истории	5	11
240	вообще не	2	11
241	тот же	4	11
242	не могут	4	11
243	одной стороны	2	11
244	и тогда	2	11
245	имеет значение	3	11
246	бы то	11	11
247	жизни в	5	11
248	и их	2	11
249	без всякой	2	11
250	к нему	5	11
251	и сама	2	10
252	не имеют	5	10
253	быть и	9	10
254	слова и	8	10
255	в одном	2	10
256	или менее	3	10
257	это будет	2	10
258	что оно	3	10
259	относится к	4	10
260	бы не	2	10
261	действительности но	3	10
262	более или	3	10
263	из которых	2	10
264	вопрос о	6	9
265	как же	5	9
266	или как	3	9
267	знака к	5	9
268	тогда когда	2	9
269	в условиях	5	9
270	здесь как	2	9
271	здесь мы	7	9
272	она не	2	9
273	же касается	2	9
274	языка и	28	9
275	и до	4	9
276	чем же	7	9
277	в своих	2	9
278	мы говорили	3	9
279	как знак	3	9
280	однако не	3	9
281	нет и	4	9
282	бы в	4	9
283	это было	2	9
284	и другие	2	9
285	в жизни	2	9
286	знак в	3	8
287	были бы	2	8
288	как он	3	8
289	мы здесь	2	8
290	между собой	3	8
291	от этого	3	8
292	ведь если	5	8
293	является для	3	8
294	для него	18	8
295	не все	3	8
296	самом же	5	8
297	значение в	5	8
298	только что	2	8
299	с этой	2	8
300	себе и	2	8
301	входит в	5	8
302	еще в	2	8
303	и особенно	2	8
304	является не	9	8
305	если же	2	8
306	тем же	4	8
307	к его	4	8
308	для всех	2	8
309	является в	5	8
310	здесь нет	2	8
311	в сознании	2	8
312	только с	3	8
313	тот или	2	8
314	из этих	3	8
315	или вернее	3	8
316	и самый	2	8
317	он был	2	8
318	во всей	2	8
319	с самого	9	8
320	и он	4	8
321	и этот	2	8
322	с ее	2	8
323	как они	2	8
324	но ведь	4	8
325	и при	3	8
326	ни было	15	8
327	не значит	2	8
328	но для	4	8
329	же деле	5	8
330	конечно не	9	8
331	находятся в	2	7
332	друг друга	10	7
333	самого начала	9	7
334	и значение	6	7
335	одной из	5	7
336	на этой	6	7
337	но вот	2	7
338	в основе	10	7
339	же не	2	7
340	сознания и	6	7
341	его как	2	7
342	в значительной	3	7
343	и так	2	7
344	мы скажем	2	7
345	в какой	5	7
346	уже с	2	7
347	все в	2	7
348	от знака	2	7
349	во все	2	7
350	не на	2	7
351	в науке	6	7
352	и знак	2	7
353	эта последняя	3	7
354	но что	2	7
355	мира и	2	7
356	или вообще	2	7
357	к другому	7	7
358	же как	2	7
359	он является	4	7
360	по преимуществу	5	7
361	на этот	3	7
362	и всего	2	7
363	ее в	2	7
364	мы возьмем	3	7
365	мы ни	4	7
366	и значения	3	7
367	тому же	2	7
368	для которого	2	6
369	не как	5	6
370	знака в	6	6
371	то мы	4	6
372	она является	4	6
373	в зависимости	2	6
374	само по	2	6
375	можно только	2	6
376	в новое	2	6
377	ни к	3	6
378	этого слова	7	6
379	этот вопрос	5	6
380	если он	2	6
381	и того	11	6
382	именно на	3	6
383	первый план	2	6
