N	2gram	Losev_Prob	UchenyiS
1	и в	64	14
2	не только	37	10
3	а не	21	10
4	и не	63	8
5	прежде всего	17	8
6	то что	72	7
7	не может	18	7
8	в этом	30	7
9	в искусстве	3	6
10	может быть	29	6
11	перестает быть	3	5
12	и только	7	5
13	то же	10	5
14	хотя бы	15	5
15	все это	11	5
16	но и	23	4
17	в этой	14	4
18	что такое	23	4
19	с другой	8	4
20	в их	7	4
21	конечно не	3	4
22	не о	7	3
23	у нас	31	3
24	в частности	5	3
25	для этого	5	3
26	это не	7	3
27	как такового	4	3
28	и то	15	3
29	в своей	8	3
30	все же	7	3
31	не как	2	3
32	как и	7	3
33	в то	7	3
34	но в	19	3
35	этой области	5	3
36	к сожалению	6	3
37	или точнее	4	3
38	было бы	16	3
39	в области	8	3
40	бы то	2	3
41	то ни	3	3
42	другой стороны	7	3
43	для него	2	3
44	в самом	10	2
45	в себе	16	2
46	что мы	23	2
47	мы и	8	2
48	о чем	11	2
49	нас в	4	2
50	на эту	2	2
51	является в	3	2
52	же самое	9	2
53	что он	11	2
54	крайней мере	8	2
55	литературы и	5	2
56	таким образом	9	2
57	в буквальном	3	2
58	но не	13	2
59	ни от	2	2
60	и для	10	2
61	если бы	8	2
62	не все	4	2
63	между тем	3	2
64	самом деле	10	2
65	только в	19	2
66	одним из	2	2
67	этом смысле	8	2
68	а его	2	2
69	и является	9	2
70	не есть	49	2
71	что она	8	2
72	ничего не	20	2
73	всех этих	11	2
74	даже и	18	2
75	и с	12	2
76	тех или	5	2
77	что и	2	2
78	или иных	2	2
79	по крайней	8	2
80	вопроса о	3	2
81	при таком	2	2
82	могут быть	2	2
83	на первый	5	2
84	не приходится	2	2
85	но даже	3	2
86	не могут	6	2
87	это было	3	2
88	сих пор	6	2
89	по себе	20	2
90	тем что	10	2
91	том что	26	2
92	в его	12	2
93	сводится к	3	2
94	все они	2	2
95	в том	19	2
96	что все	9	2
97	этом отношении	2	2
98	этого термина	8	2
99	как таковой	4	2
100	если не	6	2
101	с его	3	2
102	как раз	20	2
103	должна быть	2	2
104	представляется нам	2	2
105	конце концов	11	2
106	но это	11	2
107	для всех	3	2
108	по существу	2	2
109	не в	6	2
110	думается что	2	2
111	бы и	5	2
112	мы получаем	3	2
113	сколько угодно	4	2
114	в конце	13	2
115	в системе	3	2
116	мы не	6	2
117	до сих	6	2
118	могли бы	2	2
119	именно как	7	2
