N	2gram	Bakhtin_sl	Hudozhes
1	в качестве	4	31
2	то есть	46	26
3	и в	69	23
4	не только	37	20
5	в том	7	20
6	может быть	40	19
7	при этом	12	19
8	в частности	3	18
9	и не	32	16
10	внутренней речи	3	14
11	но и	37	14
12	а в	10	13
13	в себе	3	13
14	но не	7	13
15	а не	29	13
16	то же	17	12
17	такого рода	2	12
18	в этом	21	12
19	и его	45	12
20	так и	22	12
21	как бы	16	11
22	точки зрения	24	11
23	в его	19	11
24	но в	13	10
25	по отношению	2	10
26	отношению к	2	10
27	не в	14	9
28	или иной	13	9
29	том что	6	9
30	не может	27	9
31	с другой	8	9
32	в то	17	8
33	себя в	14	8
34	в самом	6	7
35	по своей	2	7
36	отношение к	8	7
37	лишь в	6	7
38	в своей	8	7
39	только в	9	7
40	же время	15	7
41	как это	3	7
42	что в	3	7
43	отличие от	13	7
44	в отличие	12	7
45	в основе	8	7
46	не столько	4	7
47	в состав	3	6
48	более или	5	6
49	уже не	5	6
50	другой стороны	5	6
51	приводит к	2	6
52	а также	5	6
53	в нем	44	6
54	с ее	6	6
55	можно сказать	2	6
56	в ее	2	6
57	с его	8	6
58	или менее	5	6
59	ни в	4	5
60	с другими	8	5
61	высказывания в	2	5
62	той или	13	5
63	или иначе	2	5
64	могут быть	25	5
65	между ними	2	5
66	и одновременно	2	5
67	место в	2	5
68	как к	5	5
69	не предполагает	3	5
70	для того	2	5
71	в виду	2	5
72	а на	3	5
73	в их	6	5
74	не является	3	5
75	героя и	5	5
76	слова как	8	5
77	что он	2	5
78	не на	6	5
79	то что	2	5
80	не менее	4	5
81	прежде всего	14	5
82	того что	4	5
83	для него	8	5
84	в слове	11	4
85	и то	2	4
86	сказать что	4	4
87	в отношении	9	4
88	его в	7	4
89	или иного	2	4
90	далеко не	7	4
91	это не	8	4
92	так в	2	4
93	того или	2	4
94	к тому	3	4
95	речи и	4	4
96	из которого	2	4
97	на почве	6	4
98	между тем	5	4
99	входит в	8	4
100	в данном	5	4
101	в форме	3	4
102	в другом	4	4
103	не знает	3	4
104	однако в	3	4
105	и как	3	4
106	еще не	9	4
107	и тем	3	4
108	и что	2	4
109	языка в	21	4
110	говорить о	2	4
111	сознания в	2	4
112	в этих	8	4
113	он не	5	4
114	и о	3	4
115	без исключения	2	4
116	отношения к	3	4
117	например в	6	4
118	в себя	3	4
119	в своем	9	4
120	хотя и	4	4
121	даже в	4	3
122	к нему	7	3
123	и для	7	3
124	по своему	2	3
125	одно и	3	3
126	как уже	2	3
127	и ее	3	3
128	за пределами	3	3
129	произведения как	3	3
130	автора и	6	3
131	в романе	64	3
132	в контексте	5	3
133	это отношение	2	3
134	как и	8	3
135	того же	7	3
136	но их	2	3
137	потому что	2	3
138	одной стороны	7	3
139	по преимуществу	5	3
140	слова в	19	3
141	в целом	3	3
142	говорит и	2	3
143	в свою	4	3
144	и к	9	3
145	во всех	25	3
146	тем не	2	3
147	а именно	2	3
148	из этих	3	3
149	связи с	4	3
150	и на	17	3
151	с языком	4	3
152	в той	13	3
153	как раз	3	3
154	с точки	11	3
155	или даже	5	3
156	себя и	2	3
157	с этой	3	3
158	в связи	2	3
159	таким образом	16	3
160	в таком	5	3
161	и сам	4	3
162	в которой	4	3
163	в узком	13	3
164	на языке	2	3
165	отношении к	9	3
166	в пределах	27	3
167	в одном	4	3
168	с одной	7	3
169	в единое	2	3
170	известной степени	6	3
171	но он	4	3
172	в системе	2	3
173	никогда не	9	2
174	между автором	2	2
175	о том	5	2
176	одной из	4	2
177	для понимания	3	2
178	жизни но	2	2
179	одна из	6	2
180	как в	18	2
181	и др	17	2
182	тому что	2	2
183	и потому	9	2
184	значительной степени	6	2
185	то в	2	2
186	при всем	3	2
187	высказывания и	3	2
188	слова не	5	2
189	столь же	2	2
190	в чем	2	2
191	или в	10	2
192	вступает в	2	2
193	именно в	5	2
194	жизни в	2	2
195	но как	2	2
196	все эти	15	2
197	о себе	2	2
198	человека и	3	2
199	мира и	4	2
200	не все	2	2
201	оно не	12	2
202	к чужому	9	2
203	должен быть	3	2
204	за пределы	6	2
205	быть и	6	2
206	высказывания не	2	2
207	до известной	3	2
208	включает в	3	2
209	дело не	2	2
210	только и	3	2
211	не как	4	2
212	но она	2	2
213	так же	2	2
214	отличается от	3	2
215	свою очередь	3	2
216	и по	3	2
217	данный момент	4	2
218	между собой	3	2
219	это может	2	2
220	в известном	2	2
221	один из	9	2
222	на котором	3	2
223	в них	11	2
224	по себе	4	2
225	которая не	3	2
226	мышления и	6	2
227	сама по	2	2
228	не могло	3	2
229	несмотря на	2	2
230	есть как	3	2
231	на мир	6	2
232	роль в	4	2
233	на этом	4	2
234	слова и	21	2
235	языка на	3	2
236	мира в	2	2
237	все это	14	2
238	с ними	8	2
239	которого он	3	2
240	из этого	3	2
241	что и	2	2
242	в значительной	6	2
243	имеет дело	4	2
244	ни было	2	2
245	и особенно	2	2
246	xix века	2	2
247	в одно	2	2
248	одним из	5	2
249	не просто	2	2
250	и может	4	2
251	к своему	11	2
252	и другие	3	2
253	или напротив	2	2
254	только о	2	2
255	случае не	2	2
256	и более	3	2
257	этого слова	2	2
258	а с	2	2
259	роман и	7	2
260	с ним	12	2
261	в какой	2	2
262	вовсе не	16	2
263	если мы	2	2
264	том и	2	2
265	у него	5	2
266	известном смысле	2	2
267	не с	5	2
268	здесь не	6	2
