N	2gram	Propp_Morf	EvropaiC
1	таким образом	26	34
2	в том	10	31
3	и в	17	24
4	том что	7	20
5	все эти	5	19
6	не может	19	18
7	то что	10	18
8	может быть	61	17
9	все же	9	15
10	точки зрения	7	14
11	в этом	18	13
12	все это	2	13
13	с этим	14	12
14	самом деле	4	12
15	между тем	5	12
16	по отношению	7	11
17	но и	9	11
18	отношению к	7	11
19	не только	8	10
20	так и	10	10
21	во всех	6	10
22	как и	4	10
23	как бы	6	10
24	в результате	8	9
25	и не	16	9
26	не в	3	9
27	что в	10	9
28	на то	3	9
29	потому что	7	9
30	и что	3	9
31	так же	4	8
32	из этих	2	8
33	или менее	2	8
34	если бы	3	8
35	для того	3	8
36	к тому	5	8
37	более или	2	8
38	а и	3	8
39	того чтобы	4	8
40	с точки	6	8
41	ясно что	5	8
42	на самом	4	7
43	так как	20	7
44	что он	5	7
45	того что	3	7
46	не менее	7	7
47	о том	6	7
48	что и	10	7
49	в этой	3	7
50	по существу	13	7
51	что при	3	7
52	только в	3	6
53	еще не	4	6
54	и при	3	6
55	в то	4	6
56	должна быть	2	6
57	и для	4	6
58	с другой	9	6
59	мы можем	5	6
60	несмотря на	4	6
61	тогда как	2	6
62	его в	4	5
63	но все	4	5
64	к этому	4	5
65	в которой	3	5
66	случае если	2	5
67	и их	3	5
68	ничем не	2	5
69	между собою	2	5
70	из них	4	5
71	что это	3	5
72	по своему	2	5
73	у него	2	5
74	далеко не	5	5
75	но в	4	5
76	а потому	2	5
77	и к	4	5
78	другой стороны	5	5
79	в целом	5	5
80	как будто	2	5
81	быть и	2	5
82	в одну	2	4
83	самого себя	2	4
84	не могут	7	4
85	мы должны	3	4
86	что эта	2	4
87	хотя бы	5	4
88	то ни	3	4
89	тем не	7	4
90	и у	3	4
91	целый ряд	3	4
92	состоит из	3	4
93	та же	3	4
94	то же	10	4
95	а с	2	4
96	одним из	2	4
97	в виде	3	4
98	что его	4	4
99	то они	2	4
100	между собой	5	4
101	с тем	2	4
102	не так	2	4
103	в в	2	4
104	этом случае	10	4
105	на вопрос	2	4
106	из которых	5	4
107	что мы	2	4
108	том случае	3	4
109	связи с	12	4
110	он не	5	4
111	если мы	6	4
112	хотя и	5	4
113	мы уже	4	4
114	данном случае	2	3
115	вопрос о	10	3
116	при помощи	12	3
117	это не	6	3
118	от него	2	3
119	в начале	3	3
120	в настоящее	3	3
121	в тех	8	3
122	бы в	2	3
123	ни было	2	3
124	от того	4	3
125	настоящее время	3	3
126	только что	3	3
127	с этой	3	3
128	в этих	17	3
129	в связи	10	3
130	у нас	3	3
131	прежде всего	14	3
132	с одной	2	3
133	но не	8	3
134	очень много	2	3
135	рассматриваться как	3	3
136	в данном	2	3
137	а в	8	3
138	бы то	3	3
139	для нас	2	3
140	может не	2	3
141	можно назвать	3	3
142	должны быть	2	3
143	было бы	5	3
144	и по	3	3
145	случаях когда	2	3
146	если же	5	3
147	в нашем	6	3
148	в совершенно	2	3
149	как мы	8	3
150	мы будем	3	3
151	чем в	2	3
152	одна из	5	2
153	не от	2	2
154	тех же	4	2
155	то в	3	2
156	независимо от	4	2
157	представляет собою	8	2
158	но как	3	2
159	и ее	5	2
160	то время	3	2
161	что она	2	2
162	в другом	2	2
163	в отдельных	3	2
164	но если	10	2
165	на него	4	2
166	друг друга	3	2
167	что до	2	2
168	на первый	3	2
169	он должен	3	2
170	из двух	3	2
171	в частности	2	2
172	что они	5	2
173	на друга	2	2
174	в один	3	2
175	никто не	4	2
176	не знает	2	2
177	всех других	2	2
178	друг на	2	2
179	для него	2	2
180	не имеет	2	2
181	для этой	3	2
182	но так	2	2
183	также и	6	2
184	тому что	5	2
185	к нему	3	2
186	она не	2	2
187	и z	2	2
188	они не	3	2
189	если это	3	2
190	их в	2	2
191	вступают в	3	2
192	ту же	2	2
193	во втором	7	2
194	в своих	2	2
195	этот вопрос	4	2
196	к другу	2	2
197	в которых	2	2
198	одной стороны	2	2
199	но для	3	2
200	на этом	4	2
201	должны рассматриваться	3	2
202	если он	2	2
203	что же	2	2
204	всяком случае	2	2
205	друг к	2	2
206	а затем	10	2
207	во всяком	2	2
208	что многие	2	2
209	говорить о	4	2
210	то с	3	2
211	ответить на	2	2
212	себя и	2	2
213	и его	3	2
214	в сущности	3	2
215	можно лишь	2	2
216	и только	3	2
217	из таких	2	2
218	заметим что	3	2
219	и более	2	2
220	что эти	3	2
221	но с	2	2
222	вовсе не	6	2
223	в основе	2	2
224	тем же	2	2
225	многих других	2	2
