N	2gram	Bakhtin_KF	Morfolog
1	может быть	45	61
2	и пр	3	45
3	могут быть	3	21
4	мы имеем	5	19
5	не может	29	19
6	в этом	15	18
7	и в	28	17
8	и не	28	16
9	прежде всего	4	14
10	а не	17	11
11	вопрос о	2	10
12	то же	5	10
13	в том	6	10
14	то что	7	10
15	так и	2	10
16	что в	4	10
17	что и	7	10
18	все же	5	9
19	но и	9	9
20	не только	5	8
21	но не	12	8
22	а в	5	8
23	имеем в	2	8
24	мы не	3	8
25	в качестве	2	8
26	том что	4	7
27	по отношению	26	7
28	тем не	2	7
29	не менее	3	7
30	отношению к	22	7
31	и здесь	7	7
32	и этим	3	7
33	точки зрения	13	7
34	один из	2	7
35	потому что	2	7
36	это не	10	6
37	но это	6	6
38	во всех	11	6
39	и как	2	6
40	о том	3	6
41	с точки	10	6
42	как бы	9	6
43	вовсе не	7	6
44	ничего не	3	5
45	и ее	2	5
46	хотя бы	5	5
47	было бы	8	5
48	со стороны	8	5
49	что он	2	5
50	как в	2	5
51	тому что	2	5
52	из которых	2	5
53	между тем	4	5
54	в целом	10	5
55	там где	5	5
56	все эти	11	5
57	он не	6	5
58	этот момент	7	5
59	ясно что	3	5
60	на самом	3	4
61	его в	5	4
62	независимо от	3	4
63	в то	3	4
64	к этому	2	4
65	нами в	2	4
66	тем что	3	4
67	герой и	2	4
68	еще не	5	4
69	могла бы	4	4
70	самом деле	3	4
71	но в	5	4
72	но все	6	4
73	и для	10	4
74	как и	5	4
75	ни одна	2	4
76	входит в	4	4
77	уже не	7	4
78	того чтобы	2	4
79	говорить о	2	4
80	от того	3	4
81	но как	5	3
82	здесь не	3	3
83	и отсюда	2	3
84	то ни	2	3
85	это было	2	3
86	что это	4	3
87	и их	6	3
88	но есть	2	3
89	если бы	8	3
90	в виде	2	3
91	не значит	6	3
92	это и	3	3
93	и тем	3	3
94	та же	3	3
95	не в	13	3
96	для того	3	3
97	того что	3	3
98	здесь мы	4	3
99	для этой	3	3
100	к нему	12	3
101	это уже	2	3
102	ни в	12	3
103	на нем	2	3
104	но для	3	3
105	а по	2	3
106	к чему	3	3
107	совсем не	2	3
108	и его	18	3
109	только в	18	3
110	и есть	10	3
111	и только	7	3
112	в этой	2	3
113	бы то	2	3
114	с его	2	3
115	и когда	2	2
116	с этого	2	2
117	в каком	4	2
118	себя в	8	2
119	в данном	2	2
120	от него	3	2
121	дело не	2	2
122	к себе	2	2
123	в другом	3	2
124	и тот	3	2
125	другого и	2	2
126	себя за	2	2
127	ни было	4	2
128	и за	2	2
129	его и	2	2
130	ни к	2	2
131	в чем	4	2
132	не знает	5	2
133	всех других	2	2
134	должна быть	4	2
135	а с	2	2
136	не по	4	2
137	с тем	2	2
138	вытекает из	2	2
139	и этот	3	2
140	не имеет	6	2
141	она не	2	2
142	он может	2	2
143	в своих	4	2
144	стороны ее	2	2
145	оно не	2	2
146	быть и	3	2
147	а эта	3	2
148	которой все	2	2
149	знать что	2	2
150	но здесь	3	2
151	для нас	4	2
152	это можно	2	2
153	чему не	2	2
154	что этот	3	2
155	может не	2	2
156	может дать	3	2
157	что эта	2	2
158	себя и	5	2
159	все это	10	2
160	лишь с	2	2
161	в основе	5	2
162	из его	3	2
163	мы получим	2	2
164	момент в	7	2
165	для него	13	2
166	в одном	5	2
167	по своему	3	2
