N	3gram	Bakhtin_fo	Vvedenie
1	и т д	3	39
2	для того чтобы	11	22
3	в том что	4	15
4	о том что	2	13
5	не может быть	4	10
6	до сих пор	4	7
7	в широком смысле	3	7
8	в то же	10	6
9	то же время	13	6
10	и т п	18	5
11	не только в	6	4
12	в данном случае	2	4
13	и в особенности	5	4
14	в этом отношении	5	4
15	и в этом	2	4
16	но все же	3	4
17	с одной стороны	3	4
18	по отношению к	3	4
19	в отличие от	3	4
20	с точки зрения	9	4
21	по сравнению с	3	4
22	вместе с тем	3	3
23	той или иной	3	3
24	одной стороны и	2	3
25	в строгом смысле	2	3
26	также и в	3	3
27	с тем что	2	3
28	дело в том	2	3
29	но в то	2	3
30	одно и то	4	2
31	и то же	4	2
32	здесь не место	2	2
33	как мы уже	11	2
34	в значительной мере	2	2
35	а также и	3	2
36	в соответствии с	2	2
37	и того же	6	2
38	одного и того	6	2
39	в другом месте	2	2
40	может быть и	4	2
41	в связи с	12	2
