N	3gram	Propp_Isto	Marksizm
1	не может быть	6	25
2	по отношению к	2	15
3	в связи с	6	14
4	в том что	4	14
5	для того чтобы	3	11
6	до сих пор	7	11
7	с другой стороны	10	7
8	на то что	3	6
9	с одной стороны	7	6
10	как мы видели	2	5
11	в этом случае	13	5
12	о том что	5	4
13	но все же	6	4
14	и то же	2	3
15	тем не менее	6	3
16	друг с другом	2	3
17	в том числе	3	3
18	мы не будем	3	3
19	одно и то	2	3
20	на этот вопрос	2	3
21	не только в	2	3
22	но и в	2	3
23	том числе и	2	3
24	же как и	4	2
25	а иногда и	2	2
26	таким образом в	2	2
27	так и в	2	2
28	так же как	10	2
29	в данном случае	2	2
30	как и в	4	2
31	мы перейдем к	2	2
32	и в особенности	2	2
33	как мы увидим	4	2
34	мы видели что	2	2
35	в нем и	3	2
