N	2gram	Ircho_Kome	Formalny
1	и в	40	95
2	т е	14	94
3	и не	19	78
4	может быть	16	66
5	в этом	9	61
6	не может	3	57
7	вовсе не	3	53
8	таким образом	13	52
9	и его	17	51
10	так и	17	50
11	точки зрения	7	47
12	в нем	8	42
13	в его	8	42
14	прежде всего	8	41
15	как и	12	39
16	и т	11	37
17	не в	8	35
18	в самом	5	35
19	но и	14	33
20	то же	7	32
21	не только	12	30
22	в том	19	26
23	отнюдь не	2	26
24	если бы	4	26
25	то что	8	25
26	при этом	5	24
27	в своей	3	24
28	в ней	2	23
29	связи с	3	23
30	было бы	8	23
31	в то	14	22
32	и ее	5	22
33	в истории	10	21
34	как бы	3	21
35	что в	12	21
36	и с	8	21
37	в их	6	20
38	не менее	6	20
39	и от	2	20
40	с тем	5	20
41	как мы	5	20
42	же время	5	20
43	место в	7	20
44	все это	7	19
45	хотя бы	2	19
46	т д	4	19
47	по себе	2	19
48	т п	7	18
49	все же	7	18
50	и все	4	18
51	в связи	3	18
52	с его	4	18
53	и их	3	18
54	только в	6	18
55	как в	8	17
56	как раз	4	17
57	так же	4	16
58	во всяком	4	16
59	с другой	7	16
60	потому что	8	16
61	всяком случае	4	16
62	его в	6	15
63	все время	2	15
64	но в	6	15
65	бы в	3	15
66	так как	6	15
67	во всех	4	15
68	в литературе	2	15
69	именно в	5	15
70	и на	9	15
71	что он	11	14
72	только на	2	14
73	в целом	6	14
74	в ее	2	14
75	в своем	6	14
76	еще не	7	14
77	в этой	9	14
78	жизни и	4	14
79	вместе с	8	14
80	до конца	3	13
81	со стороны	3	13
82	а в	9	13
83	что же	2	13
84	могут быть	3	13
85	для них	2	13
86	что и	10	13
87	независимо от	5	13
88	в результате	5	13
89	тем что	5	13
90	ни в	9	13
91	в действительности	4	12
92	по отношению	5	12
93	как это	7	12
94	того чтобы	4	12
95	и здесь	6	12
96	к тому	15	12
97	отношению к	5	12
98	и для	4	12
99	этом отношении	3	11
100	в общем	2	11
101	в большинстве	2	11
102	но не	3	11
103	то ни	4	11
104	что они	4	11
105	между тем	9	11
106	друг друга	2	10
107	здесь и	2	10
108	мы не	4	10
109	бы то	4	10
110	мы видели	2	10
111	другой стороны	6	10
112	с ее	2	10
113	не является	2	10
114	в первом	2	10
115	и как	3	10
116	в своих	2	10
117	главным образом	4	10
118	большинстве случаев	2	10
119	и теперь	3	10
120	он не	5	10
121	тем же	2	10
122	ничего не	4	9
123	совсем не	2	9
124	но это	2	9
125	в каждом	2	9
126	и даже	5	9
127	у нас	3	9
128	еще более	2	9
129	в свою	2	9
130	ни было	4	9
131	говорить о	3	9
132	мы знаем	5	9
133	это не	2	8
134	в других	3	8
135	до сих	3	8
136	одной стороны	5	8
137	в них	7	8
138	с одной	5	8
139	в области	3	8
140	же как	3	8
141	для этого	2	8
142	что это	5	8
143	с этим	5	8
144	сих пор	3	8
145	из этого	2	8
146	всего этого	2	8
147	и к	2	8
148	роль в	2	8
149	для того	3	8
150	не следует	2	8
151	ясно что	9	8
152	том что	19	7
153	в себе	3	7
154	что именно	3	7
155	или менее	2	7
156	в сущности	3	7
157	становится в	3	7
158	к этому	8	7
159	в какой	2	7
160	и более	2	7
161	но все	4	7
162	столь же	9	7
163	за счет	3	7
