N	2gram	Vygotskiy_	Stilisti
1	и в	65	42
2	как бы	29	30
3	не только	16	28
4	прежде всего	2	22
5	хотя бы	3	18
6	то же	17	16
7	но и	6	16
8	и не	20	14
9	не может	17	13
10	может быть	33	13
11	как и	12	12
12	точки зрения	19	11
13	что мы	6	11
14	мы уже	12	11
15	в себе	9	10
16	и как	10	10
17	отнюдь не	2	10
18	мы должны	3	10
19	в этом	37	10
20	как мы	12	10
21	в то	5	9
22	для того	18	9
23	все же	10	9
24	то что	61	9
25	эти слова	5	9
26	при этом	10	9
27	мы не	7	9
28	тем самым	4	8
29	ничего не	4	8
30	так как	13	8
31	и это	13	8
32	с тем	14	8
33	в ней	23	8
34	что же	3	8
35	таким образом	21	8
36	с его	2	8
37	никогда не	9	7
38	в которой	8	7
39	мы можем	12	7
40	и той	4	7
41	так и	3	7
42	потому что	26	7
43	слов и	2	7
44	только в	9	7
45	а не	11	7
46	и на	7	7
47	того чтобы	21	7
48	было бы	22	7
49	и его	8	7
50	той же	6	7
51	и тем	4	7
52	одно и	4	6
53	когда мы	5	6
54	и так	4	6
55	бы в	3	6
56	во всех	4	6
57	не в	12	6
58	в конце	5	6
59	или как	2	6
60	в нем	8	6
61	в свою	6	6
62	на его	2	6
63	в его	11	6
64	в этой	20	6
65	мы будем	4	6
66	и то	10	5
67	все время	36	5
68	того или	2	5
69	независимо от	2	5
70	и следовательно	2	5
71	то есть	30	5
72	мы увидим	14	5
73	слова и	3	5
74	не является	2	5
75	и наконец	2	5
76	и их	2	5
77	своей жизни	2	5
78	самом деле	33	5
79	как это	13	5
80	же мы	2	5
81	а с	4	5
82	мы видели	7	5
83	но все	2	5
84	тому что	10	5
85	а в	9	5
86	но в	5	5
87	или иного	2	5
88	те же	2	5
89	в самом	41	5
90	и с	4	5
91	в той	8	5
92	с точки	11	5
93	же самое	14	5
94	вместе с	10	5
95	что это	19	4
96	слов в	2	4
97	в одном	9	4
98	так же	12	4
99	так сказать	6	4
100	в словах	2	4
101	на это	6	4
102	само собой	3	4
103	его в	5	4
104	на него	3	4
105	если бы	22	4
106	что именно	3	4
107	так называемой	4	4
108	были бы	5	4
109	свою очередь	3	4
110	слова как	3	4
111	у нас	4	4
112	к своему	2	4
113	того что	9	4
114	которой мы	4	4
115	самого начала	10	4
116	можно было	7	4
117	один из	7	4
118	одной и	4	4
119	и все	14	4
120	с самого	10	4
121	к тому	18	4
122	о том	17	4
123	что такое	2	4
124	если мы	19	4
125	уже не	2	4
126	и к	5	4
127	в целом	8	4
128	не знаем	2	4
129	мы видим	15	4
130	не просто	7	4
131	все это	12	4
132	в качестве	2	4
133	как только	4	4
134	можно сказать	2	4
135	не к	5	4
136	и без	2	4
137	сказать что	14	3
138	на самом	3	3
139	это не	7	3
140	иметь дело	3	3
141	но при	2	3
142	том что	28	3
143	а к	2	3
144	в тех	5	3
145	и эта	3	3
146	и поэтому	3	3
147	перед нами	12	3
148	об этом	4	3
149	и даже	4	3
150	этого слова	5	3
151	то мы	2	3
152	и здесь	9	3
153	целый ряд	6	3
154	роль в	2	3
155	в виду	6	3
156	та же	6	3
157	в том	46	3
158	он должен	2	3
159	в частности	3	3
160	у них	2	3
161	еще не	3	3
162	только на	3	3
163	совершенно не	8	3
164	как в	8	3
165	и вот	6	3
166	для него	4	3
167	не с	2	3
168	по своему	6	3
169	не так	4	3
170	и для	4	3
171	нам в	3	3
172	видели что	2	3
173	что у	7	3
174	что всякое	2	3
175	в котором	7	3
176	их в	4	3
177	заметить что	2	3
178	что оно	5	3
179	из которых	6	3
180	не будет	2	3
181	главным образом	6	3
182	но что	3	3
183	из них	10	3
184	если он	5	3
185	для нас	14	3
186	представить себе	2	3
187	несмотря на	7	3
188	жизни и	6	3
189	что и	7	3
190	в ее	9	3
191	мы в	4	3
192	и уже	5	3
193	все эти	7	3
194	конечно не	6	3
195	связи с	2	3
196	отношения к	3	3
197	что эти	5	3
198	построения и	2	3
199	между тем	10	3
200	в основе	5	3
201	не мог	4	3
202	здесь мы	6	3
203	еще и	2	2
204	до конца	5	2
205	в каком	8	2
206	для этого	9	2
207	все то	15	2
208	очевидно что	4	2
209	конечно только	2	2
210	приходится иметь	2	2
211	нам придется	2	2
212	с этим	11	2
213	для всех	2	2
214	относится к	2	2
215	в нашей	2	2
216	мы имеем	2	2
217	из этих	6	2
218	но как	3	2
219	на эту	2	2
220	в первой	2	2
221	бы и	2	2
222	каждый из	3	2
223	к этому	5	2
224	эти три	2	2
225	и больше	2	2
226	и форму	2	2
227	с кем	2	2
228	и конечно	3	2
229	должны были	2	2
230	мы найдем	2	2
231	отношение к	2	2
232	есть не	2	2
233	должен быть	4	2
234	которые с	2	2
235	к которому	3	2
236	все больше	2	2
237	из всего	3	2
238	на возможность	2	2
239	слово в	2	2
240	а на	2	2
241	кроме того	2	2
242	но эта	3	2
243	вошел в	2	2
244	тем что	7	2
245	бы не	5	2
246	находятся в	2	2
247	из двух	4	2
248	в их	3	2
249	разве не	3	2
250	этими словами	3	2
251	уяснить себе	2	2
252	ее с	5	2
253	в этих	3	2
254	что он	23	2
255	ничем не	3	2
256	к чему	6	2
257	сих пор	6	2
258	совершенно иначе	2	2
259	нашего исследования	2	2
260	в какой	8	2
261	точном смысле	3	2
262	же самая	4	2
263	который мы	4	2
264	увидим что	11	2
265	в жизни	6	2
266	в мире	3	2
267	на этот	2	2
268	но не	3	2
269	и этот	6	2
270	к нему	2	2
271	он сказал	4	2
272	тому же	2	2
273	но мы	4	2
274	видим что	8	2
275	гораздо более	2	2
276	он говорит	9	2
277	можем не	2	2
278	бы нам	2	2
279	зависит от	2	2
280	в точном	2	2
281	в своих	6	2
282	еще более	2	2
283	связь с	5	2
284	либо в	6	2
285	этот вопрос	5	2
286	в которых	9	2
287	и те	2	2
288	представляет собой	3	2
289	между собой	2	2
290	и он	5	2
291	от которых	2	2
292	место в	6	2
293	смысл его	2	2
294	ли он	4	2
295	не было	4	2
296	смысле этого	5	2
297	как не	3	2
298	между двумя	3	2
299	и когда	8	2
300	здесь не	3	2
301	больше и	3	2
302	но это	6	2
303	это же	2	2
304	в своей	6	2
305	в нас	7	2
306	или в	6	2
307	был бы	4	2
308	он не	11	2
309	друг другу	2	2
310	перейти к	3	2
311	с ним	6	2
312	мы говорили	3	2
313	тот же	5	2
314	вовсе не	11	2
315	оно является	2	2
316	тем и	2	2
317	как с	2	2
318	ясно что	11	2
