N	3gram	Medvedev_F	Narrotol
1	в том что	3	18
2	в данном случае	2	17
3	по отношению к	4	11
4	в отличие от	2	11
5	не сводится к	2	8
6	в то же	13	8
7	тем не менее	2	8
8	в этом отношении	7	8
9	то же время	13	8
10	не может быть	11	8
11	и тем самым	2	6
12	с одной стороны	5	6
13	на самом деле	7	5
14	для того чтобы	3	5
15	но и в	4	5
16	в свою очередь	6	5
17	к тому что	3	4
18	во всяком случае	6	4
19	и не может	5	3
20	того или иного	6	3
21	в связи с	9	3
22	с точки зрения	17	3
23	в самом деле	5	3
24	до сих пор	7	3
25	в зависимости от	4	3
26	как если бы	2	2
27	не только не	2	2
28	но все же	2	2
29	более или менее	7	2
30	не в том	3	2
31	в отрыве от	2	2
32	на то чтобы	2	2
33	особое место в	2	2
34	в том смысле	3	2
35	и т п	11	2
36	сами по себе	4	2
37	и в то	4	2
38	и не в	2	2
