N	3gram	Trubetskoy	Marksizm
1	с точки зрения	9	46
2	не может быть	4	25
3	в то же	10	15
4	то же время	10	15
5	в том что	7	14
6	бы то ни	4	12
7	и не может	3	12
8	для того чтобы	6	11
9	до сих пор	5	11
10	в большинстве случаев	2	9
11	в настоящее время	2	8
12	во всяком случае	6	6
13	на самом деле	6	6
14	на то что	4	6
15	той или иной	3	5
16	к тому что	2	5
17	в этом случае	3	5
18	о том что	2	4
19	более или менее	4	3
20	в конце концов	3	3
21	друг с другом	14	3
22	можно было бы	3	3
23	в этом направлении	2	2
24	в данном случае	3	2
25	что он не	2	2
26	а между тем	5	2
27	сама по себе	2	2
28	друг от друга	2	2
29	а следовательно и	2	2
30	и в том	2	2
31	будет ли это	2	2
32	того или иного	2	2
