N	2gram	Nazirov_Tr	Vvedenie
1	в том	2	38
2	в этом	9	35
3	и в	18	35
4	том что	4	30
5	может быть	7	30
6	не только	8	26
7	не может	5	19
8	то что	4	19
9	потому что	2	18
10	о том	2	16
11	и не	7	13
12	что в	4	13
13	в самом	2	13
14	в нем	4	13
15	в его	3	12
16	в данном	2	11
17	то же	5	11
18	в ее	2	11
19	вопрос о	2	10
20	не в	2	10
21	прежде всего	4	10
22	но в	6	10
23	и как	3	9
24	все же	5	9
25	это не	5	8
26	и то	2	7
27	как и	5	7
28	как бы	7	7
29	но и	4	7
30	его в	2	6
31	не могут	2	6
32	об этом	4	6
33	и даже	4	6
34	тем что	2	6
35	с тем	2	6
36	и это	2	6
37	уже не	2	6
38	в то	5	6
39	один из	3	6
40	и что	4	6
41	и его	6	6
42	все это	4	6
43	же время	6	6
44	данном случае	2	5
45	а как	2	5
46	что он	6	5
47	так что	2	5
48	как это	3	5
49	уже в	3	5
50	в целом	4	5
51	что и	2	5
52	не просто	2	5
53	в первом	2	5
54	о чем	3	4
55	и ее	2	4
56	еще не	4	4
57	отличие от	2	4
58	в отличие	2	4
59	к тому	2	4
60	но все	2	4
61	не имеет	2	4
62	в виде	2	4
63	в одном	2	4
64	в себе	4	4
65	никогда не	2	3
66	до конца	2	3
67	одна из	2	3
68	что это	5	3
69	в своем	3	3
70	так же	4	3
71	бы и	2	3
72	что она	2	3
73	в конце	3	3
74	отношение к	2	3
75	и здесь	2	3
76	в частности	2	3
77	как в	3	3
78	к нему	3	3
79	и на	7	3
80	в известной	2	3
81	времени в	2	3
82	своего рода	3	3
83	вряд ли	2	3
84	говорит о	2	3
85	при этом	3	3
86	он сам	7	3
87	что с	3	3
88	все эти	3	3
89	и сам	3	3
90	как будто	3	3
91	в этой	4	3
92	ничего не	2	2
93	и до	2	2
94	еще раз	2	2
95	должно быть	3	2
96	так и	5	2
97	это уже	2	2
98	мог бы	3	2
99	и с	7	2
100	но это	4	2
101	он и	2	2
102	точно так	2	2
103	несмотря на	5	2
104	только о	2	2
105	не мог	2	2
106	в дальнейшем	5	2
