N	2gram	Losev_Vlad	Freidism
1	и не	33	34
2	таким образом	6	34
3	точки зрения	4	31
4	не может	12	30
5	может быть	12	28
6	и в	56	28
7	в этом	30	28
8	прежде всего	5	26
9	в его	18	25
10	и его	12	22
11	как бы	5	19
12	как мы	17	18
13	то что	30	17
14	вовсе не	8	16
15	так как	11	15
16	все эти	6	15
17	так и	11	14
18	в своей	7	14
19	с ним	10	14
20	во всех	4	13
21	и все	8	13
22	но в	19	13
23	как и	7	13
24	и потому	8	12
25	том что	22	12
26	то же	10	12
27	что он	22	12
28	ни в	4	12
29	в самом	3	12
30	и наконец	2	12
31	для него	16	12
32	все это	7	12
33	сказать что	14	11
34	его в	3	11
35	мы знаем	5	11
36	только в	11	11
37	никогда не	15	10
38	и с	27	10
39	за пределы	3	10
40	не только	35	10
41	но и	26	10
42	не в	12	10
43	он не	13	10
44	в том	26	10
45	мы уже	8	10
46	все что	2	10
47	один из	4	10
48	что же	11	10
49	тот же	7	10
50	конечно не	5	10
51	мы должны	3	9
52	к этому	11	9
53	те же	2	9
54	совершенно не	2	9
55	к нему	6	9
56	в чем	4	9
57	уже не	6	9
58	и на	7	9
59	мы не	2	9
60	а не	5	9
61	во всяком	8	9
62	с его	15	9
63	все же	11	8
64	с этим	3	8
65	было бы	7	8
66	и вот	5	8
67	еще не	2	8
68	а в	20	8
69	знаем что	2	8
70	в ней	5	8
71	на этом	3	8
72	всяком случае	8	8
73	при этом	5	8
74	в каком	3	7
75	так сказать	2	7
76	не могут	2	7
77	до конца	8	7
78	в жизни	4	7
79	в то	15	7
80	в себе	5	7
81	что в	24	7
82	хотя бы	5	7
83	и для	4	7
84	отношение к	7	7
85	я и	2	7
86	того что	6	7
87	и у	4	7
88	его жизни	12	7
89	но не	5	7
90	что все	2	7
91	об этом	13	7
92	в нем	7	7
93	и к	10	7
94	из них	3	7
95	жизни и	8	7
96	в этой	4	7
97	в высшей	2	6
98	но мы	3	6
99	мы имеем	2	6
100	из этих	5	6
101	всех этих	3	6
102	не менее	9	6
103	для того	4	6
104	в таком	2	6
105	и о	6	6
106	которой мы	3	6
107	она не	3	6
108	к тому	5	6
109	что такое	3	6
110	можно сказать	10	6
111	в свою	3	6
112	совсем не	7	6
113	здесь в	2	6
114	как раз	7	6
115	и что	11	6
116	же время	7	6
117	во время	4	6
118	учение о	2	6
119	по поводу	15	5
120	что это	2	5
121	ничего не	4	5
122	со стороны	5	5
123	тех же	3	5
124	что она	2	5
125	в которой	8	5
126	и по	10	5
127	от того	2	5
128	во второй	3	5
129	на первый	4	5
130	между ними	2	5
131	в этих	5	5
132	на основании	3	5
133	чем не	2	5
134	как это	11	5
135	что и	6	5
136	в общем	4	5
137	в более	3	5
138	в своих	7	5
139	это не	3	5
140	той же	6	5
141	отнюдь не	3	5
142	того чтобы	4	5
143	не было	12	5
144	с ними	2	5
145	он сам	3	5
146	и до	4	5
147	в период	6	5
148	вместе с	9	5
149	и вообще	12	4
150	с которыми	2	4
151	его к	3	4
152	так же	4	4
153	нисколько не	4	4
154	но это	6	4
155	в области	3	4
156	мысли и	5	4
157	в этот	5	4
158	тем не	8	4
159	на него	3	4
160	этом отношении	2	4
161	если бы	2	4
162	мы увидим	4	4
163	в первый	2	4
164	в основном	5	4
165	этой области	2	4
166	свою очередь	2	4
167	только на	3	4
168	и за	3	4
169	у него	28	4
170	как в	6	4
171	к ней	7	4
172	в своем	10	4
173	по своему	5	4
174	едва ли	3	4
175	в котором	10	4
176	потому что	16	4
177	именно в	4	4
178	личности и	2	4
179	выражение в	2	4
180	главным образом	5	4
181	мы находим	2	4
182	по себе	3	4
183	в целом	3	4
184	всей жизни	4	4
185	нет и	2	4
186	мы и	4	4
187	то ни	2	4
188	это и	2	4
189	в истории	4	4
190	всех своих	2	4
191	первый план	4	4
192	и речи	3	4
193	я не	8	4
194	и то	13	3
195	с этими	4	3
196	и от	6	3
197	в свой	3	3
198	и притом	5	3
199	дать ему	2	3
200	шопенгауэра и	5	3
201	жизни в	3	3
202	не будем	3	3
203	в результате	6	3
204	о своих	2	3
205	борьба с	2	3
206	к себе	2	3
207	и даже	23	3
208	и тот	2	3
209	он дает	2	3
210	и как	7	3
211	отца и	4	3
212	этих двух	2	3
213	не без	7	3
214	на все	3	3
215	он был	20	3
216	одним из	3	3
217	и при	2	3
218	у нас	11	3
219	этого не	2	3
220	и ни	2	3
221	как на	2	3
222	себе и	2	3
223	и очень	5	3
224	на этот	9	3
