N	3gram	Propp_Russ	Myslijsy
1	в том что	27	47
2	тем не менее	3	18
3	только тогда когда	3	17
4	и т д	12	15
5	в свою очередь	2	14
6	и в этом	2	12
7	подобно тому как	3	11
8	для того чтобы	6	11
9	но тем не	2	10
10	в то время	3	10
11	мы не можем	5	9
12	о том что	6	9
13	на то что	2	9
14	вместе с тем	10	8
15	в этом случае	9	8
16	с точки зрения	3	7
17	и в том	2	7
18	после того как	3	6
19	к тому что	4	5
20	с тем и	3	5
21	не только по	2	5
22	в данном случае	7	4
23	не что иное	3	4
24	что иное как	3	4
25	в том чтобы	2	4
26	можно было бы	2	3
27	потому что он	2	3
28	в большинстве случаев	2	3
29	но это не	3	3
30	в связи с	4	3
31	это не значит	2	3
32	во многих случаях	4	3
33	в таком виде	2	3
34	друг к другу	2	2
35	но вместе с	3	2
36	том что это	2	2
37	так же как	5	2
38	и в других	7	2
39	и потому что	2	2
40	мы должны будем	2	2
41	каждый из этих	2	2
42	так как в	2	2
43	для нас не	2	2
44	состоит в том	16	2
45	и многие другие	2	2
46	но все же	2	2
