N	2gram	Propp_Russ	StatiiOP
1	в и	19	145
2	и в	59	103
3	в том	33	89
4	том что	33	77
5	в этом	18	76
6	что в	35	74
7	не только	28	60
8	и т	13	51
9	о том	14	47
10	но и	20	46
11	то что	10	44
12	что он	2	42
13	в его	3	42
14	и не	6	41
15	может быть	14	38
16	т е	41	33
17	было бы	3	32
18	т д	12	32
19	в этой	4	31
20	все это	12	29
21	тем что	7	29
22	таким образом	10	28
23	в г	6	28
24	а в	16	27
25	а не	3	27
26	но в	5	26
27	что это	4	25
28	так и	8	25
29	и его	2	24
30	все же	7	23
31	не в	2	23
32	так что	4	23
33	точки зрения	3	23
34	потому что	15	23
35	того что	6	22
36	в области	3	22
37	прежде всего	2	22
38	для того	6	22
39	у нас	11	22
40	в которой	3	22
41	как в	10	22
42	того чтобы	6	21
43	и пр	4	21
44	это не	14	20
45	в то	3	19
46	г в	5	19
47	только в	4	19
48	об этом	11	18
49	не может	6	18
50	в котором	2	18
51	в году	5	17
52	между прочим	2	17
53	в россии	4	17
54	в данном	7	17
55	как на	2	17
56	как бы	18	17
57	с этим	4	16
58	в ней	3	16
59	можно было	3	16
60	в этих	3	16
61	с тем	14	15
62	как и	19	15
63	например в	3	15
64	из этих	6	15
65	и на	14	15
66	у него	2	15
67	так например	7	14
68	к тому	4	14
69	между тем	9	14
70	то же	6	14
71	в течение	7	14
72	но все	3	14
73	с точки	3	14
74	и что	8	14
75	в своем	3	13
76	а с	6	13
77	тому что	4	13
78	но это	5	13
79	в качестве	5	13
80	в нем	3	13
81	именно в	3	13
82	из них	12	13
83	вместе с	16	13
84	не менее	3	12
85	что они	8	12
86	так как	25	12
87	как например	6	12
88	что у	3	12
89	в своих	3	12
90	вопрос о	4	11
91	и с	12	11
92	должна была	6	11
93	своего рода	3	11
94	в них	10	11
95	все эти	5	11
96	и по	10	11
97	того как	6	11
98	на то	2	11
99	не было	3	11
100	на самом	3	10
101	так же	7	10
102	ответ на	2	10
103	в виду	3	10
104	в частности	2	10
105	ничего не	4	10
106	не столько	3	10
107	в целом	2	10
108	что и	8	10
109	во всех	6	10
110	кроме того	3	10
111	но не	7	10
112	но он	3	10
113	в каждом	2	9
114	несмотря на	4	9
115	место в	2	9
116	по этому	4	9
117	там где	3	9
118	он был	2	9
119	во время	23	9
120	вряд ли	2	9
121	в одном	4	9
122	не является	2	9
123	с этой	2	9
124	и для	3	9
125	и к	3	9
126	для нас	12	9
127	говорит о	3	9
128	и это	2	9
129	до конца	5	8
130	могут быть	3	8
131	в их	5	8
132	связано с	3	8
133	и др	4	8
134	в какой	3	8
135	связи с	6	8
136	к этому	7	8
137	а также	6	8
138	мы имеем	7	8
139	дело не	2	8
140	что она	4	8
141	тем не	3	8
142	должен был	3	8
143	одним из	2	8
144	такой же	3	8
145	п в	25	8
146	и о	4	8
147	и более	3	8
148	не имеет	9	8
149	в которых	8	8
150	по его	2	8
151	данном случае	8	7
152	о чем	7	7
153	вплоть до	4	7
154	уже в	2	7
155	в это	4	7
156	что здесь	4	7
157	раньше чем	2	7
158	в виде	10	7
159	что все	2	7
160	в эту	3	7
161	что этот	4	7
162	а а	33	7
163	этому поводу	3	7
164	как это	11	7
165	не все	4	7
166	и то	2	7
167	еще не	7	7
168	на этот	3	7
169	xix в	16	7
170	что для	4	7
171	года в	2	7
172	то время	3	7
173	не просто	3	7
174	представление о	5	7
175	должно было	5	6
176	должен быть	2	6
177	из которых	2	6
178	по существу	7	6
179	к нему	3	6
180	в в	3	6
181	и все	4	6
182	что на	5	6
183	и во	2	6
184	же как	5	6
185	одно из	6	6
186	что с	2	6
187	независимо от	3	6
188	его как	2	6
189	мы не	11	6
190	еще до	2	6
191	и здесь	3	6
192	в особенности	3	6
193	в жизни	2	6
194	этот вопрос	4	6
195	говорить о	2	6
196	в некоторых	11	6
197	и за	2	6
198	не знали	2	5
199	его в	9	5
200	возможно что	2	5
201	нас к	5	5
202	на себя	4	5
203	судить по	2	5
204	но если	2	5
205	не был	3	5
206	что именно	3	5
207	том же	6	5
208	как он	2	5
209	нас не	3	5
210	и потому	3	5
211	далее в	2	5
212	такое же	2	5
213	один из	10	5
214	при этом	11	5
215	думать что	3	5
216	в тех	5	5
217	в числе	2	5
218	не на	2	5
219	до того	3	5
220	что эти	2	5
221	в двух	2	5
222	в москве	4	5
223	хотя и	3	5
224	что ему	2	5
225	во многих	14	5
226	всех этих	2	5
227	к ней	4	5
228	как будто	6	5
229	но они	4	5
230	после того	3	5
231	на нее	5	5
232	том чтобы	3	5
233	ее в	7	5
234	уже не	9	5
235	оно не	2	5
236	не совсем	6	5
237	начиная с	4	4
238	очевидно что	2	4
239	одна из	12	4
240	в форме	3	4
241	в период	2	4
242	на этом	6	4
243	то есть	3	4
244	и у	5	4
245	не всегда	4	4
246	как можно	3	4
247	как у	2	4
248	еще в	6	4
249	а б	7	4
250	которые в	2	4
251	только с	2	4
252	состоит в	18	4
253	и те	3	4
254	в образе	3	4
255	разница между	2	4
256	мы видим	2	4
257	ничего общего	3	4
258	в связи	4	4
259	е в	17	4
260	этого слова	3	4
261	который в	2	4
262	как мы	11	4
263	показывает что	9	4
264	если в	3	4
265	для этого	6	4
266	иметь в	2	4
267	нет в	2	4
268	что по	7	4
269	есть в	2	4
270	которые не	3	4
271	не имели	2	4
272	в свете	5	4
273	и их	4	4
274	и другие	24	4
275	а именно	2	4
276	как известно	2	4
277	и так	2	4
278	все что	2	4
279	связанные с	5	4
280	петра i	5	4
281	это время	4	4
282	а на	8	4
283	значит что	2	4
284	или в	7	4
285	в таком	5	4
286	будто бы	10	4
287	чем в	4	4
288	перед нами	2	3
289	о них	2	3
290	только у	2	3
291	и наконец	2	3
292	в других	24	3
293	связанных с	2	3
294	с той	2	3
295	или же	2	3
296	тогда когда	4	3
297	и других	9	3
298	он должен	2	3
299	так называемая	2	3
300	в одно	2	3
301	относятся к	3	3
302	видно что	8	3
303	ниже в	3	3
304	его от	2	3
305	образом в	2	3
306	в руках	3	3
307	от них	4	3
308	она не	4	3
309	заметить что	3	3
310	и как	2	3
311	из нее	2	3
312	так в	5	3
313	на них	4	3
314	и некоторые	3	3
315	а затем	5	3
316	но эта	2	3
317	представляют собой	13	3
318	себя и	2	3
319	и ее	3	3
320	а иногда	6	3
321	этом случае	9	3
322	которая должна	2	3
323	сомнений в	3	3
324	не были	2	3
325	многих случаях	4	3
326	и и	2	3
327	то и	4	3
328	но эти	3	3
329	и до	3	3
330	считает что	2	3
331	а к	3	3
