N	3gram	Potebnia_M	Tvorches
1	в то же	8	25
2	то же время	8	24
3	и т д	5	17
4	там же с	7	12
5	в том что	22	11
6	о том что	5	8
7	не может быть	7	6
8	и т п	7	5
9	по отношению к	10	5
10	в том же	2	5
11	по крайней мере	8	4
12	с точки зрения	2	4
13	до сих пор	4	4
14	в таком случае	2	3
15	как и в	3	3
16	с другой стороны	4	3
17	сами по себе	3	3
18	во всяком случае	3	3
19	что он не	3	2
20	на самом деле	4	2
21	тем не менее	7	2
22	потому что он	3	2
23	не только в	4	2
24	для того чтобы	5	2
25	то есть не	4	2
26	можно сказать что	3	2
27	так и в	2	2
28	не то что	2	2
29	может быть назван	3	2
30	не могут быть	3	2
31	вместе с тем	5	2
32	заключает в себе	10	2
33	как бы ни	4	2
34	в данном случае	3	2
35	и та же	2	2
36	а может быть	2	2
37	и в самом	3	2
38	в свою очередь	6	2
