N	3gram	Potebnia_M	Tvorches
1	в то же	3	25
2	то же время	3	24
3	и т д	6	17
4	там же с	7	12
5	в том что	18	11
6	не может быть	11	6
7	и т п	4	5
8	по отношению к	13	5
9	по крайней мере	6	4
10	с точки зрения	3	4
11	с самого начала	5	4
12	до сих пор	5	4
13	дело в том	3	4
14	в таком случае	4	3
15	как и в	3	3
16	с другой стороны	7	3
17	сами по себе	8	3
18	во всяком случае	7	3
19	не только для	2	2
20	на самом деле	2	2
21	тем не менее	10	2
22	на этот вопрос	2	2
23	не только в	3	2
24	для того чтобы	4	2
25	то есть не	3	2
26	так и в	5	2
27	в связи с	2	2
28	не могут быть	5	2
29	но это не	2	2
30	заключает в себе	6	2
31	как бы ни	4	2
32	и что в	3	2
33	в одном из	2	2
34	в свою очередь	8	2
35	а потому что	2	2
