N	2gram	Tiupa_Disk	Poddanst
1	не только	36	17
2	и в	27	14
3	и не	25	12
4	в области	3	11
5	в этом	29	10
6	но в	15	9
7	то же	12	9
8	в том	29	9
9	в качестве	45	9
10	хотя бы	3	8
11	в пределах	4	8
12	в то	8	7
13	только в	9	7
14	же время	9	7
15	но и	22	6
16	в ней	2	6
17	с другой	14	5
18	не в	8	5
19	и о	4	5
20	в которых	5	5
21	может быть	29	5
22	по себе	3	4
23	что в	8	4
24	но также	2	4
25	и потому	3	4
26	в своем	11	4
27	том что	27	4
28	а также	15	4
29	в котором	7	4
30	в русской	4	4
31	и к	4	4
32	как бы	9	4
33	то что	10	4
34	не может	17	4
35	а в	5	4
36	и как	9	3
37	но не	17	3
38	тем самым	6	3
39	это не	5	3
40	с точки	3	3
41	сводится к	7	3
42	сами по	2	3
43	столь же	6	3
44	мы не	2	3
45	я и	3	3
46	в себе	22	3
47	точки зрения	6	3
48	потому что	7	3
49	одной стороны	12	3
50	в нем	16	3
51	между тем	5	3
52	и без	2	3
53	могут быть	5	3
54	прежде всего	17	3
55	хотя и	3	3
56	с одной	12	3
57	заключается в	3	3
58	ей в	2	3
59	должно быть	2	2
60	переход от	2	2
61	не о	2	2
62	да и	2	2
63	в них	6	2
64	мира с	2	2
65	в жизни	2	2
66	в мире	9	2
67	было в	4	2
68	если в	2	2
69	отношения к	2	2
70	в е	3	2
71	не к	3	2
72	своем значении	2	2
73	стороны и	3	2
74	и весьма	2	2
75	и это	3	2
76	каждый в	2	2
77	более чем	3	2
78	и тем	2	2
79	в его	9	2
80	с этим	3	2
81	в ряду	4	2
82	не менее	6	2
83	говорить о	3	2
84	со стороны	17	2
85	именно в	5	2
86	в начале	2	2
87	все это	2	2
88	в частности	18	2
89	том числе	3	2
90	а не	35	2
91	не было	9	2
92	мысль о	3	2
93	и есть	2	2
94	например в	4	2
95	из важнейших	2	2
96	и с	2	2
97	может и	4	2
98	во всех	6	2
99	в ее	4	2
100	не нужно	2	2
101	есть в	3	2
102	к чему	2	2
103	в значительной	3	2
104	того что	4	2
105	в силу	5	2
106	из них	6	2
107	не столько	3	2
108	отнюдь не	11	2
