N	3gram	Voloshinov	VLabPisa
1	в этом отношении	4	14
2	с другой стороны	6	8
3	не может быть	23	8
4	по отношению к	9	7
5	более или менее	3	6
6	в то же	7	5
7	в том что	9	5
8	то же время	7	5
9	в зависимости от	2	5
10	не было бы	3	4
11	к тому что	4	4
12	можно сказать что	4	4
13	в связи с	12	4
14	не могут быть	3	4
15	для того чтобы	7	3
16	о том что	2	3
17	это и есть	2	3
18	в конце концов	3	2
19	в точном смысле	5	2
20	с одной стороны	2	2
21	в противном случае	2	2
22	во всяком случае	4	2
23	от того что	2	2
24	в том числе	3	2
25	в чем же	2	2
26	и не может	11	2
27	так и от	3	2
28	не только в	2	2
29	том числе и	3	2
30	чуть ли не	2	2
31	до сих пор	10	2
32	можно было бы	2	2
