N	2gram	Losev_Dial	Formalny
1	и в	35	95
2	т е	49	94
3	и не	51	78
4	может быть	30	66
5	в этом	18	61
6	не может	16	57
7	и пр	7	53
8	вовсе не	19	53
9	таким образом	5	52
10	и его	6	51
11	так и	18	50
12	точки зрения	25	47
13	в нем	25	42
14	в его	4	42
15	прежде всего	14	41
16	с точки	18	40
17	как и	10	39
18	и т	31	37
19	не в	12	35
20	в самом	6	35
21	а не	24	34
22	но и	17	33
23	то же	21	32
24	самом деле	6	32
25	не только	26	30
26	в том	20	26
27	отнюдь не	13	26
28	если бы	12	26
29	то что	25	25
30	на самом	5	24
31	при этом	2	24
32	в своей	9	24
33	на почве	2	24
34	в ней	4	23
35	связи с	3	23
36	было бы	14	23
37	в то	10	22
38	как бы	19	21
39	что в	19	21
40	и с	10	21
41	в их	5	20
42	не менее	5	20
43	и от	5	20
44	с тем	2	20
45	как мы	5	20
46	же время	9	20
47	не могут	4	19
48	все это	14	19
49	хотя бы	6	19
50	т д	28	19
51	по себе	39	19
52	т п	3	18
53	все же	9	18
54	и все	11	18
55	все эти	4	18
56	в связи	3	18
57	должна быть	5	18
58	и их	5	18
59	только в	7	18
60	именно как	2	17
61	как в	3	17
62	как раз	7	17
63	так же	6	16
64	в искусстве	2	16
65	во всяком	5	16
66	совершенно не	13	16
67	с другой	10	16
68	потому что	23	16
69	всяком случае	3	16
70	его в	3	15
71	все время	4	15
72	но в	8	15
73	в поэзии	8	15
74	бы в	3	15
75	с другими	2	15
76	так как	24	15
77	должно быть	7	15
78	во всех	3	15
79	именно в	4	15
80	что он	16	14
81	только на	3	14
82	в ее	3	14
83	в своем	7	14
84	еще не	4	14
85	в жизни	3	14
86	в этой	3	14
87	если мы	3	14
88	и потому	6	14
89	жизни и	9	14
90	вместе с	3	14
91	со стороны	2	13
92	того что	6	13
93	а в	8	13
94	что же	5	13
95	могут быть	6	13
96	что и	7	13
97	независимо от	2	13
98	в результате	2	13
99	она не	10	13
100	тем что	2	13
101	ни в	20	13
102	как таковой	6	13
103	как это	8	12
104	лишь как	3	12
105	к тому	6	12
106	и для	2	12
107	оно не	2	12
108	уже не	3	12
109	никогда не	18	11
110	этом отношении	2	11
111	это и	6	11
112	в корне	2	11
113	они не	3	11
114	в общем	2	11
115	в основе	4	11
116	но не	9	11
117	что они	8	11
118	для него	2	11
119	зависимости от	2	11
120	между тем	3	11
121	не о	5	10
122	не есть	67	10
123	действительности и	4	10
124	не как	4	10
125	и др	2	10
126	в зависимости	2	10
127	не было	7	10
128	в дальнейшем	6	10
129	по существу	2	10
130	другой стороны	7	10
131	не является	3	10
132	как о	2	10
133	и как	14	10
134	главным образом	2	10
135	раз и	2	10
136	конечно не	9	10
137	он не	5	10
138	если же	2	10
139	тем же	3	10
140	быть и	7	9
141	ничего не	19	9
142	но это	12	9
143	и до	2	9
144	и может	7	9
145	в каждом	4	9
146	бы ни	3	9
147	и даже	23	9
148	но ведь	2	9
149	еще более	3	9
150	ни было	2	9
151	говорить о	9	9
152	отношения к	3	9
153	это не	18	8
154	была бы	4	8
155	до сих	4	8
156	одной стороны	3	8
157	в них	4	8
158	с одной	4	8
159	в области	2	8
160	же как	3	8
161	для этого	2	8
162	что это	21	8
163	не должна	2	8
164	с этим	5	8
165	в данном	5	8
166	всех этих	4	8
167	поэтическое произведение	2	8
168	сих пор	4	8
169	следует что	2	8
170	и должно	3	8
171	из этого	2	8
172	и является	2	8
173	должен быть	2	8
174	и к	8	8
175	для того	2	8
176	ясно что	11	8
177	том что	18	7
178	в себе	23	7
179	в одной	4	7
180	смысла и	3	7
181	что именно	3	7
182	или менее	5	7
183	стороны и	4	7
184	более или	5	7
185	даже и	3	7
186	в сущности	2	7
187	форм и	2	7
188	сказать что	19	7
189	к этому	2	7
190	в особенности	6	7
191	можно говорить	2	7
192	и только	5	7
193	смысл и	6	7
194	в какой	3	7
195	и более	7	7
196	но все	5	7
197	сами по	4	7
198	ничем не	4	7
199	только и	5	7
200	из них	5	7
201	он и	2	7
202	в той	4	7
203	мы увидим	2	7
204	же и	11	7
205	от этого	5	7
206	в которой	3	6
207	в конце	5	6
208	отношение к	5	6
209	на этом	4	6
210	и тем	2	6
211	у них	3	6
212	в частности	4	6
213	и это	6	6
214	тому что	4	6
215	в этих	6	6
216	его не	7	6
217	один из	3	6
218	нисколько не	7	6
219	как таковая	2	6
220	должны быть	2	6
221	ее в	2	6
222	к его	2	6
223	его с	6	6
224	из этих	2	6
225	за пределы	4	6
226	отличается от	3	6
227	кроме того	2	6
228	но для	2	6
229	такой же	2	6
230	не по	2	6
231	жизнь и	5	6
232	нет и	2	6
233	например в	2	6
234	о том	8	6
235	их в	2	6
236	в смысле	5	6
237	уже в	5	6
238	только не	2	6
239	как она	7	6
240	сам по	8	6
241	с ним	9	6
242	учение о	11	6
243	даже в	6	5
244	в широком	2	5
245	она должна	2	5
246	ни о	5	5
247	ни была	2	5
248	мы должны	6	5
249	время и	2	5
250	виду что	2	5
251	что оно	9	5
252	от того	2	5
253	в виду	9	5
254	на все	2	5
255	мы уже	8	5
256	может и	5	5
257	в него	2	5
258	а только	5	5
259	она есть	12	5
260	то это	6	5
261	что не	13	5
262	и по	5	5
263	даже не	4	5
264	можно сказать	10	5
265	хотя и	4	5
266	бы и	4	5
267	да и	11	5
268	и то	15	5
269	если в	5	5
270	в эпоху	2	5
271	то в	8	5
272	как например	2	5
273	то и	3	5
274	в мире	3	5
275	и эта	3	5
276	а о	2	5
277	мы можем	5	5
278	как они	2	5
279	с этой	3	5
280	к нему	12	5
281	то он	2	5
282	ни на	8	5
283	не имеет	15	5
284	учения о	2	5
285	в котором	5	5
286	а лишь	3	5
287	в отношении	5	5
288	этом смысле	4	5
289	еще в	2	5
290	становления и	2	5
291	и что	17	5
292	же в	2	5
293	друг другу	4	5
294	вопрос о	3	5
295	чтобы не	6	4
296	и притом	7	4
297	и следовательно	7	4
298	от него	4	4
299	конце концов	4	4
300	как он	5	4
301	тогда когда	6	4
302	они были	2	4
