N	3gram	Tiupa_Teor	formyVre
1	то же время	8	21
2	в то же	8	18
3	в связи с	3	15
4	с точки зрения	3	15
5	для того чтобы	5	12
6	в этом мире	2	10
7	и в то	2	10
8	одного и того	4	9
9	и того же	4	9
10	в том числе	3	8
11	в отличие от	7	7
12	не может быть	5	7
13	с одной стороны	3	6
14	имеем в виду	3	6
15	одно и то	2	5
16	и то же	2	5
17	в том что	10	5
18	том числе и	2	5
19	мы имеем в	3	5
20	как и в	2	5
21	той или иной	3	5
22	включает в себя	2	4
23	может быть и	2	4
24	не могло быть	2	4
25	с другой стороны	6	4
26	по отношению к	10	4
27	до известной степени	2	3
28	но в то	2	3
29	тот или иной	3	3
30	и не могло	2	2
31	но он не	2	2
32	к тому что	2	2
33	можно сказать что	3	2
34	по своей природе	3	2
35	в основе своей	2	2
36	в нашем случае	2	2
37	в соответствии с	2	2
38	в данном случае	5	2
39	во всей его	2	2
40	и в самом	2	2
41	в свою очередь	3	2
