N	2gram	Losev_Dial	Psycholo
1	то что	25	193
2	и в	34	190
3	в том	17	163
4	что в	12	123
5	потому что	21	114
6	том что	18	113
7	и что	21	108
8	может быть	30	107
9	таким образом	14	102
10	в этом	14	100
11	все время	4	86
12	в самом	9	82
13	как бы	19	80
14	для того	4	78
15	что он	18	76
16	не только	35	75
17	на то	5	73
18	и не	50	73
19	что она	13	71
20	самом деле	7	70
21	и т	41	69
22	точки зрения	43	69
23	не может	29	68
24	если мы	5	66
25	так как	12	63
26	так же	7	63
27	было бы	13	56
28	если бы	10	55
29	совершенно ясно	2	54
30	и мы	6	54
31	то же	9	54
32	о том	11	54
33	при этом	7	52
34	как и	14	51
35	что и	8	50
36	а не	39	50
37	что это	20	49
38	заключается в	3	46
39	только в	10	46
40	в сущности	10	46
41	сказать что	7	46
42	по себе	31	46
43	к тому	4	45
44	не в	11	45
45	в этой	3	43
46	ясно что	16	43
47	никогда не	9	42
48	и все	17	42
49	вместе с	3	41
50	как это	8	40
51	но и	14	40
52	при помощи	6	39
53	как раз	11	39
54	того что	22	39
55	и это	12	37
56	мы видим	4	37
57	и как	13	36
58	с тем	4	35
59	вовсе не	18	34
60	и если	5	34
61	и его	8	34
62	как на	6	34
63	что все	16	33
64	когда он	3	33
65	все же	4	33
66	тому что	5	33
67	все это	13	32
68	в себе	8	32
69	в ней	4	31
70	мы не	11	31
71	в его	6	31
72	он не	8	31
73	для нас	2	31
74	никак не	3	30
75	как будто	3	30
76	как в	2	30
77	с одной	4	29
78	и для	5	29
79	с точки	25	29
80	одной стороны	3	29
81	в нас	2	29
82	в нем	7	29
83	что мы	10	28
84	и когда	4	28
85	что они	2	28
86	и то	7	28
87	мы можем	3	28
88	в основе	6	27
89	с другой	5	27
90	в своих	3	27
91	а в	3	27
92	и на	6	27
93	так что	11	26
94	совершенно не	6	26
95	и здесь	3	25
96	только что	7	25
97	жизни и	8	25
98	и совершенно	2	24
99	тем что	5	24
100	в своем	7	23
101	для этого	3	23
102	целый ряд	3	23
103	из этого	3	23
104	что если	5	23
105	могут быть	5	23
106	что оно	9	23
107	и даже	21	22
108	т д	38	22
109	что у	2	22
110	когда мы	3	22
111	с этим	4	22
112	из них	4	22
113	в своей	4	21
114	как мы	4	21
115	и вот	13	21
116	в конце	2	21
117	но только	7	21
118	ни в	20	21
119	в котором	2	21
120	что эта	2	21
121	той же	6	21
122	и только	6	21
123	она не	10	20
124	все эти	4	20
125	в то	9	20
126	это не	13	20
127	несмотря на	2	20
128	мы имеем	3	20
129	другой стороны	4	20
130	на этом	3	20
131	в ее	5	19
132	у него	2	19
133	в одном	3	19
134	мы уже	6	19
135	в каком	9	18
136	на самом	2	18
137	перед нами	5	18
138	видим что	3	18
139	но в	3	18
140	был бы	2	18
141	что с	2	18
142	но не	3	18
143	с этой	7	18
144	есть не	11	18
145	зависимости от	4	18
146	и есть	24	18
147	в виду	12	17
148	одна из	4	17
149	что для	5	17
150	только не	10	17
151	во всяком	5	17
152	у нас	7	17
153	из этих	5	17
154	но это	10	17
155	и о	9	17
156	время как	6	17
157	так и	11	16
158	та же	5	16
159	не имеет	18	16
160	тому как	5	16
161	говорит о	5	16
162	и к	5	16
163	от того	9	16
164	и тем	3	16
165	из которых	4	16
166	же как	4	16
167	то это	9	16
168	к этому	3	16
169	в таком	15	16
170	и потому	6	15
171	мы знаем	3	15
172	в зависимости	3	15
173	еще не	7	15
174	не могут	6	15
175	что именно	10	15
176	только на	8	15
177	в частности	3	15
178	утверждает что	3	15
179	в них	6	15
180	во всех	2	15
181	в результате	7	15
182	для него	4	15
183	и так	2	15
184	не можем	3	15
185	о котором	4	15
186	не просто	20	15
187	что на	3	14
188	не то	3	14
189	должна быть	11	14
190	хотя бы	9	14
191	по существу	2	14
192	с ним	3	14
193	есть только	13	14
194	это и	12	14
195	само по	8	14
196	прежде всего	20	14
197	одной и	4	14
198	это есть	19	14
199	того как	2	14
200	показывает что	4	14
201	и той	4	14
202	при таком	2	14
203	бы в	5	14
204	этом отношении	2	14
205	в жизни	4	14
206	всяком случае	3	14
207	то время	6	14
208	или в	4	14
209	но он	3	14
210	как он	4	13
211	точка зрения	5	13
212	именно в	5	13
213	отнюдь не	16	13
214	едва ли	2	13
215	со стороны	5	13
216	когда она	4	13
217	и он	3	13
218	но если	11	12
219	мы воспринимаем	3	12
220	по самому	2	12
221	что этот	3	12
222	в этих	3	12
223	их в	2	12
224	сам по	6	12
225	ничего не	29	12
226	не менее	11	12
227	этой точки	4	12
228	тогда когда	9	12
229	что не	8	12
230	и может	2	12
231	например в	3	12
232	я не	11	12
233	и уже	5	12
234	об этом	8	12
235	и другое	2	12
236	что его	5	12
237	и с	10	12
238	как только	5	12
239	как к	2	11
240	он должен	3	11
241	были бы	2	11
242	отличие от	2	11
243	и из	2	11
244	подобно тому	5	11
245	не будет	5	11
246	утверждать что	6	11
247	исходит из	2	11
248	но совершенно	2	11
249	думать что	3	11
250	его в	2	11
251	была бы	5	11
252	с его	7	11
253	есть в	4	11
254	не было	6	11
255	конечно не	6	11
256	данном случае	3	10
257	от него	2	10
258	только тогда	7	10
259	тому чтобы	3	10
260	это было	5	10
261	отличается от	9	10
262	во всем	5	10
