N	3gram	Bakhtin_Fr	Hudozhes
1	по отношению к	2	10
2	в том что	2	8
3	в то же	13	7
4	в отличие от	3	7
5	то же время	13	7
6	с другой стороны	5	6
7	для того чтобы	5	5
8	той или иной	2	5
9	не может быть	2	4
10	мы имеем в	2	3
11	с точки зрения	4	3
12	с одной стороны	4	3
13	в том числе	4	3
14	подобно тому как	2	3
15	в связи с	5	3
16	можно сказать что	2	3
17	имеем в виду	2	3
18	и прежде всего	3	2
19	и в то	2	2
20	том числе и	3	2
21	в значительной степени	2	2
22	может быть и	2	2
23	тех или иных	2	2
24	в свою очередь	2	2
25	в той или	2	2
