N	2gram	Bakhtin_Fr	OGranits
1	и в	73	13
2	и его	18	12
3	прежде всего	18	9
4	и не	13	8
5	не может	4	8
6	может быть	5	8
7	в его	18	7
8	и их	5	7
9	точки зрения	6	7
10	и т.п	21	7
11	не только	11	6
12	как бы	15	6
13	таким образом	34	6
14	только в	7	6
15	то что	12	6
16	и т.д	3	5
17	все же	2	5
18	с точки	4	5
19	и эта	4	5
20	и наконец	6	5
21	в процессе	3	5
22	еще и	2	4
23	но в	12	4
24	только и	2	4
25	лишь в	2	4
26	то же	16	4
27	в своей	4	4
28	все это	19	4
29	было бы	5	4
30	мы не	2	4
31	слов и	6	4
32	вполне понятно	2	4
33	никогда не	6	3
34	одно и	2	3
35	и для	8	3
36	и то	3	3
37	и все	19	3
38	в ее	6	3
39	превращается в	2	3
40	с этим	4	3
41	отношению к	3	3
42	как и	19	3
43	не в	12	3
44	в их	5	3
45	так как	9	3
46	понятно что	2	3
47	в себе	16	3
48	что в	14	3
49	по отношению	3	3
50	самом деле	4	3
51	так и	13	3
52	в которой	3	3
53	не как	2	3
54	в одном	5	3
55	тела и	7	3
56	но и	15	3
57	телом и	8	2
58	в самом	9	2
59	может иметь	2	2
60	мы видим	13	2
61	конечно в	2	2
62	своего рода	3	2
63	в этом	21	2
64	в них	14	2
65	в руках	4	2
66	в книге	2	2
67	все явления	2	2
68	уже в	9	2
69	в том	13	2
70	тем что	8	2
71	в отношении	6	2
72	есть не	2	2
73	несмотря на	3	2
74	от этого	3	2
75	с одной	3	2
76	не имеет	4	2
77	явлений и	2	2
78	роль в	4	2
79	и др	12	2
80	громадную роль	3	2
81	более того	3	2
82	во времени	2	2
83	с другой	3	2
84	изобразительных искусствах	3	2
85	слова и	2	2
86	от всех	3	2
87	а в	10	2
88	и тем	3	2
89	том что	8	2
90	а также	8	2
91	только его	2	2
92	и к	6	2
93	в связи	3	2
94	нужно отметить	2	2
95	в данном	3	2
96	с ними	4	2
97	все эти	24	2
98	в области	3	2
99	связанные с	4	2
100	так же	11	2
101	что они	2	2
102	мы уже	25	2
103	те же	3	2
104	с этой	4	2
105	и может	2	2
106	в нем	18	2
107	он только	2	2
108	не на	5	2
109	при этом	5	2
110	и ее	2	2
111	а не	2	2
112	между собою	3	2
113	во всей	2	2
114	в ней	10	2
115	с телом	2	2
116	еще в	4	2
117	в течение	2	2
118	как в	9	2
119	другой стороны	2	2
120	во всем	5	2
121	чем же	2	2
122	одной стороны	3	2
123	бы в	3	2
124	между тем	2	2
125	в целях	2	2
126	в чем	3	2
127	связанных с	5	2
128	тот же	3	2
129	в другом	4	2
130	вовсе не	11	2
131	с самого	2	2
132	учение о	2	2
133	к тому	2	2
134	не мог	2	2
135	с помощью	11	2
136	для него	7	2
137	может стать	2	2
