N	2gram	Vygotskiy_	SlovoVZh
1	не может	31	16
2	точки зрения	27	14
3	может быть	15	14
4	и его	6	13
5	как бы	11	13
6	и в	33	12
7	таким образом	30	12
8	в нашем	5	11
9	отношению к	19	11
10	по отношению	19	11
11	и не	18	10
12	так как	20	9
13	если бы	13	9
14	прежде всего	5	8
15	сказать что	18	7
16	нашем примере	2	7
17	слова и	3	6
18	все время	3	6
19	при этом	9	6
20	в том	44	6
21	в нем	10	6
22	только в	21	6
23	в процессе	37	6
24	с помощью	32	6
25	в ней	2	6
26	никогда не	10	5
27	как в	7	5
28	что мы	11	5
29	в жизни	2	5
30	к предмету	2	5
31	в виду	4	5
32	можно сказать	7	5
33	но в	9	5
34	том что	41	5
35	то же	12	5
36	как и	13	5
37	и следовательно	7	5
38	должна быть	7	5
39	хотя бы	5	5
40	а не	14	5
41	то что	48	5
42	отнюдь не	2	5
43	в самом	10	4
44	в этом	43	4
45	не только	28	4
46	на самом	3	4
47	что не	2	4
48	его в	6	4
49	и является	6	4
50	зависимости от	3	4
51	жизни и	2	4
52	не в	10	4
53	с другой	11	4
54	все же	5	4
55	к нему	4	4
56	за пределы	4	4
57	и к	7	4
58	так и	8	4
59	и на	11	4
60	от того	8	4
61	отношение к	12	4
62	в них	3	3
63	по себе	8	3
64	в каком	2	3
65	о том	13	3
66	и для	3	3
67	слово в	3	3
68	или не	2	3
69	внутренней речи	7	3
70	он должен	9	3
71	из этого	3	3
72	все эти	9	3
73	в котором	2	3
74	бы то	2	3
75	и наконец	3	3
76	так же	22	3
77	в своей	5	3
78	мы не	6	3
79	точка зрения	8	3
80	в себе	4	3
81	нуждается в	3	3
82	еще не	11	3
83	все это	2	3
84	только на	3	3
85	когда он	3	3
86	и ее	2	3
87	между тем	5	3
88	и с	7	3
89	этой точки	7	3
90	но для	3	3
91	точек зрения	4	3
92	не менее	4	3
93	сих пор	3	3
94	с ним	6	3
95	до сих	3	3
96	отношении к	2	3
97	в пределах	6	3
98	и по	5	3
99	в такой	5	3
100	находит свое	2	3
101	самом деле	9	3
102	того что	34	3
103	и более	8	3
104	но и	14	3
105	для него	9	3
106	ясно что	2	3
107	едва ли	2	2
108	одно и	2	2
109	и то	9	2
110	мы в	2	2
111	в его	15	2
112	которые мы	2	2
113	данном случае	3	2
114	к его	4	2
115	имеет место	4	2
116	до конца	3	2
117	и здесь	2	2
118	что в	33	2
119	к ним	2	2
120	стороны и	3	2
121	в отношении	18	2
122	не есть	4	2
123	и притом	2	2
124	как уже	5	2
125	место в	2	2
126	бы оно	3	2
127	ничего не	6	2
128	общего с	3	2
129	речи в	7	2
130	словом и	2	2
131	с его	3	2
132	и те	2	2
133	из общей	2	2
134	что и	11	2
135	это не	8	2
136	и все	2	2
137	кроме того	2	2
138	там где	2	2
139	с точки	12	2
140	содержания и	2	2
141	она не	2	2
142	но все	2	2
143	тому же	3	2
144	в своем	11	2
145	на все	7	2
146	дело с	2	2
147	вторая точка	2	2
148	в зависимости	2	2
149	в данном	4	2
150	его к	2	2
151	но мы	7	2
152	независимо от	3	2
153	из него	3	2
154	зависит от	4	2
155	мы имеем	4	2
156	и что	18	2
157	на примере	5	2
158	в то	5	2
159	себя и	2	2
160	те же	6	2
161	уже в	4	2
162	с этой	8	2
163	в этих	7	2
164	одной стороны	10	2
165	влияние на	2	2
166	в основном	2	2
167	и другие	13	2
168	но это	4	2
169	в условиях	3	2
170	в настоящее	2	2
171	он не	13	2
172	в какой	8	2
173	как же	2	2
174	такой же	4	2
175	как только	4	2
176	в момент	4	2
177	как на	4	2
178	и потому	3	2
179	может стать	2	2
180	этого положения	5	2
181	оно не	2	2
182	но не	13	2
183	как это	11	2
184	в себя	4	2
185	мы можем	15	2
186	ни на	3	2
187	могут быть	7	2
188	не способен	3	2
189	совпадает с	4	2
190	в чем	10	2
191	между собой	17	2
192	настоящее время	2	2
193	является для	2	2
194	с одной	10	2
195	какой степени	2	2
196	относится к	3	2
197	к этому	7	2
198	же самое	7	2
199	между ними	5	2
200	этих двух	4	2
201	тогда когда	10	2
202	но что	6	2
203	но этот	3	2
204	другой стороны	9	2
205	самое слово	2	2
206	в корне	2	2
207	вместе с	9	2
