N	3gram	Bakhtin_Fr	StatiiOP
1	в том что	8	47
2	о том что	5	29
3	в этом отношении	7	24
4	для того чтобы	8	19
5	до сих пор	3	19
6	с точки зрения	5	14
7	с другой стороны	2	13
8	не может быть	4	11
9	в то же	14	9
10	в самом деле	2	9
11	то же время	14	9
12	можно было бы	2	9
13	вместе с тем	2	9
14	дело в том	4	9
15	на самом деле	4	8
16	в данном случае	4	7
17	в то время	3	7
18	так же как	4	6
19	нужно сказать что	4	5
20	с самого начала	3	5
21	в одной из	2	5
22	но и в	3	5
23	в мировой литературе	2	4
24	в другом месте	3	4
25	в связи с	5	4
26	с одной стороны	2	4
27	что и в	2	4
28	во всех этих	2	3
29	можно сказать что	4	3
30	таким образом в	3	3
31	в том числе	6	3
32	совершенно так же	2	3
33	и не в	2	3
34	к тому же	3	3
35	более или менее	2	3
36	потому что он	3	3
37	о том как	2	3
38	то же самое	3	2
39	как мы видели	4	2
40	но в то	6	2
41	и др в	2	2
42	он не только	2	2
43	а также и	4	2
44	в чем же	3	2
45	и в то	3	2
46	в отличие от	3	2
47	между тем как	2	2
48	далеко не все	2	2
49	том числе и	3	2
50	во втором случае	3	2
