N	2gram	Bakhtin_Fr	Sovremen
1	не может	5	17
2	точки зрения	8	12
3	может быть	10	12
4	таким образом	22	11
5	мы не	3	9
6	и в	68	7
7	в этом	28	7
8	и не	25	6
9	ничего не	4	6
10	как и	17	6
11	с точки	4	5
12	все эти	16	5
13	и наконец	5	5
14	в условиях	3	5
15	прежде всего	23	5
16	мы видели	6	4
17	это не	5	4
18	не только	21	4
19	в том	12	4
20	как бы	7	4
21	их в	7	4
22	так как	7	4
23	в дальнейшем	4	4
24	в целом	3	4
25	в развитии	2	4
26	жизни и	6	4
27	вместе с	4	4
28	а в	3	4
29	из них	8	4
30	с помощью	5	4
31	не подлежит	4	3
32	и мы	2	3
33	ведь это	3	3
34	и потому	6	3
35	но в	20	3
36	при этом	5	3
37	не в	2	3
38	все же	6	3
39	он в	2	3
40	как он	4	3
41	было бы	4	3
42	в области	5	3
43	уже в	4	3
44	в себе	5	3
45	еще не	3	3
46	одна из	3	3
47	у нас	4	3
48	и все	16	3
49	все это	6	3
50	в нем	12	3
51	в наших	2	3
52	а не	6	3
53	и к	4	3
54	в этой	15	3
55	то же	14	3
56	в одном	7	3
57	в конце	8	3
58	в системе	3	3
59	но все	5	2
60	на его	4	2
61	и по	4	2
62	всяком случае	2	2
63	что все	2	2
64	значение в	4	2
65	быть и	2	2
66	роль в	7	2
67	не менее	2	2
68	той же	9	2
69	дает нам	4	2
70	мы видим	9	2
71	в его	21	2
72	с этим	2	2
73	и что	2	2
74	во всяком	2	2
75	и во	6	2
76	такого рода	5	2
77	свою очередь	2	2
78	из этих	2	2
79	так сказать	7	2
80	в самом	6	2
81	и есть	5	2
82	или же	2	2
83	в виде	2	2
84	еще более	5	2
85	что в	14	2
86	времени и	5	2
87	в настоящее	2	2
88	все те	2	2
89	в таком	2	2
90	в которой	6	2
91	у него	14	2
92	такой же	3	2
93	самом деле	5	2
94	со всеми	5	2
95	уже не	2	2
96	в свою	3	2
97	в нашем	5	2
98	и они	5	2
99	подлежит сомнению	2	2
100	в один	2	2
101	в отличие	3	2
102	отличие от	3	2
103	настоящее время	2	2
104	тот же	4	2
105	с одной	5	2
106	на этом	3	2
107	как мы	18	2
108	не дает	4	2
109	мы знаем	3	2
110	что это	4	2
111	или иной	2	2
112	на котором	2	2
113	как известно	3	2
114	и даже	7	2
115	тем же	2	2
116	на их	4	2
