N	2gram	Savitsky_E	SlovoVZh
1	не может	9	16
2	точки зрения	23	14
3	может быть	6	14
4	как бы	6	13
5	и в	37	12
6	таким образом	2	12
7	и не	14	10
8	так как	7	9
9	если бы	2	9
10	прежде всего	9	8
11	для нас	4	7
12	сказать что	4	7
13	в том	11	6
14	только в	9	6
15	в процессе	4	6
16	в ней	4	6
17	никогда не	3	5
18	как в	3	5
19	можно сказать	4	5
20	но в	14	5
21	том что	6	5
22	то же	15	5
23	как и	7	5
24	должна быть	2	5
25	хотя бы	15	5
26	а не	2	5
27	то что	6	5
28	отнюдь не	9	5
29	в самом	4	4
30	в этом	12	4
31	не только	18	4
32	жизни и	2	4
33	не в	5	4
34	ни было	4	4
35	с другой	7	4
36	дело в	3	4
37	к нему	2	4
38	и к	3	4
39	так и	10	4
40	и на	6	4
41	в них	3	3
42	по себе	4	3
43	в каком	4	3
44	о том	3	3
45	и для	3	3
46	имеет в	2	3
47	не к	2	3
48	в котором	2	3
49	бы то	4	3
50	и наконец	2	3
51	то ни	4	3
52	так же	9	3
53	в своей	8	3
54	мы не	4	3
55	точка зрения	2	3
56	в себе	9	3
57	когда он	3	3
58	в некоторых	2	3
59	между тем	8	3
60	и с	2	3
61	этой точки	5	3
62	отношении к	15	3
63	в пределах	25	3
64	и по	5	3
65	того что	7	3
66	и более	2	3
67	ведь и	2	3
68	но и	14	3
69	и то	2	2
70	в его	2	2
71	данном случае	2	2
72	имеет место	2	2
73	что в	21	2
74	к ним	3	2
75	стороны и	6	2
76	в отношении	32	2
77	не есть	2	2
78	и притом	4	2
79	место в	3	2
80	как не	2	2
81	что и	3	2
82	и все	2	2
83	там где	3	2
84	с точки	17	2
85	она не	2	2
86	в своем	14	2
87	в данном	3	2
88	с другими	2	2
89	независимо от	4	2
90	и что	2	2
91	можем сказать	2	2
92	в то	16	2
93	с этой	6	2
94	в этих	2	2
95	одной стороны	8	2
96	влияние на	2	2
97	он не	2	2
98	в какой	2	2
99	как же	2	2
100	такой же	2	2
101	как на	3	2
102	и потому	5	2
103	но не	5	2
104	как это	4	2
105	поскольку они	2	2
106	мы можем	3	2
107	ни на	3	2
108	могут быть	2	2
109	между собой	2	2
110	с одной	8	2
111	между ними	2	2
112	тогда когда	2	2
113	и та	2	2
114	известной степени	3	2
115	другой стороны	2	2
116	вместе с	2	2
