N	2gram	Losev_Vlad	Istorich
1	и в	56	181
2	и т	3	160
3	т д	3	142
4	может быть	12	115
5	не только	35	114
6	что он	22	111
7	мы имеем	2	102
8	что в	24	90
9	но и	26	85
10	в этом	30	81
11	так как	11	75
12	то что	30	73
13	таким образом	6	72
14	вместе с	9	71
15	и не	33	67
16	все же	11	65
17	в этих	5	64
18	еще не	2	63
19	не может	12	61
20	так же	4	57
21	то же	10	56
22	никогда не	15	56
23	в том	26	53
24	том что	22	53
25	с другой	3	52
26	а в	20	52
27	потому что	16	52
28	что и	6	51
29	и что	11	51
30	и здесь	3	51
31	о том	13	48
32	а не	5	48
33	его в	3	47
34	не в	12	47
35	другой стороны	3	46
36	мы должны	3	44
37	но в	19	44
38	это не	3	43
39	и его	12	43
40	мы знаем	5	42
41	в нем	7	42
42	только в	11	42
43	как в	6	42
44	представление о	2	41
45	в его	18	38
46	для нас	9	38
47	тем что	2	38
48	и на	7	38
49	что здесь	2	37
50	так и	11	37
51	он не	13	37
52	уже не	6	37
53	как и	7	37
54	мы уже	8	37
55	мы увидим	4	36
56	знаем что	2	36
57	здесь мы	4	35
58	с тем	4	35
59	что они	4	35
60	все эти	6	35
61	мы не	2	35
62	во время	4	34
63	что это	2	34
64	но не	5	34
65	а именно	4	34
66	связи с	7	34
67	у него	28	34
68	об этом	13	33
69	в качестве	7	32
70	ничего не	4	31
71	прежде всего	5	31
72	один из	4	31
73	то это	4	31
74	с этим	3	30
75	в египте	3	30
76	к нему	6	30
77	но все	3	29
78	как мы	17	29
79	но это	6	29
80	что она	2	28
81	и другие	2	28
82	и с	27	28
83	как он	4	27
84	так что	13	27
85	того что	6	27
86	мы здесь	2	26
87	в ней	5	26
88	как это	11	26
89	на него	3	26
90	в дальнейшем	10	25
91	и он	7	25
92	было бы	7	24
93	если бы	2	24
94	в виде	4	24
95	что мы	2	24
96	к этому	11	24
97	не менее	9	24
98	видно что	5	24
99	того как	2	24
100	не будем	3	23
101	все это	7	23
102	когда он	6	23
103	тем не	8	23
104	в доме	7	23
105	в частности	4	23
106	точно так	2	23
107	в этой	4	23
108	их в	3	23
109	и это	4	23
110	как бы	5	23
111	при этом	5	22
112	и по	10	22
113	с ним	10	22
114	в одном	2	21
115	сказать что	14	21
116	к тому	5	21
117	здесь не	6	21
118	в связи	9	21
119	она не	3	20
120	из них	3	20
121	очень часто	2	20
122	из этих	5	20
123	так например	3	19
124	и как	7	19
125	после того	2	19
126	что у	4	19
127	в тех	3	19
128	на то	7	19
129	но он	7	19
130	после этого	2	18
131	что этот	4	18
132	вовсе не	8	18
133	в то	15	18
134	по существу	4	17
135	то и	3	17
136	очень много	2	17
137	в них	5	17
138	выше мы	3	17
139	дело не	3	17
140	то мы	3	16
141	не вполне	3	16
142	всех этих	3	16
143	со стороны	5	16
144	и действительно	3	16
145	и все	8	16
146	в котором	10	16
147	во всех	4	16
148	в целом	3	15
149	на его	7	15
150	в своей	7	15
151	даже в	4	15
152	и то	13	15
153	в особенности	4	15
154	его и	2	15
155	друг друга	3	15
156	и даже	23	15
157	как будто	2	15
158	и тем	2	15
159	он в	4	15
160	от него	3	14
161	отношение к	7	14
162	у нас	11	14
163	но мы	3	14
164	с того	2	14
165	а также	12	14
166	с этой	4	14
167	на вопрос	2	14
168	должен был	3	14
169	с ней	3	14
170	и есть	2	14
171	его на	4	14
172	одной из	2	14
173	и наконец	2	14
174	увидим ниже	5	14
175	на себя	3	14
176	него и	2	14
177	к своему	4	13
178	что иное	2	13
179	и для	4	13
180	все что	2	13
181	и от	6	13
182	его не	2	13
183	на котором	2	13
184	на этом	3	13
185	в своем	10	13
186	время как	3	13
187	и у	4	13
188	не имеет	2	13
189	и если	8	13
190	в себе	5	13
191	с ними	2	13
192	по себе	3	13
193	то время	6	13
194	после смерти	8	13
195	не знаю	2	12
196	кроме того	12	12
197	во всем	4	12
198	в их	2	12
199	к этой	4	12
200	ответ на	2	12
201	одним из	3	12
202	в более	3	12
203	между прочим	18	12
204	хотя бы	5	12
205	только после	2	12
206	к себе	2	12
207	в основном	5	12
208	о нем	9	12
209	что не	3	12
210	к ней	7	12
211	и вот	5	11
212	е в	7	11
213	главным образом	5	11
214	точки зрения	4	11
215	хотя и	9	11
216	в этот	5	11
217	но уже	3	11
218	уже в	9	11
219	иное как	2	11
220	же в	3	11
221	у меня	3	11
222	ясно что	2	11
223	в очень	5	11
224	этого не	2	11
225	я не	8	11
226	некоторое время	3	11
227	не что	2	11
228	пока не	2	10
229	что же	11	10
230	и тот	2	10
231	известно что	2	10
232	своего отца	2	10
233	указывает на	2	10
234	но как	6	10
235	если не	4	10
236	три года	2	10
237	ее на	3	10
238	на земле	2	10
239	там же	24	10
240	он и	8	10
241	не мог	10	10
242	и других	2	10
243	а с	5	10
244	ли он	2	10
245	в которой	8	10
246	ни в	4	10
247	его к	3	10
248	о чем	6	10
249	в это	6	10
250	не было	12	10
251	еще один	2	10
252	себя в	6	10
253	и к	10	10
254	бы мы	2	9
255	в истории	4	9
256	тот же	7	9
257	если это	2	9
258	в свою	3	9
259	которой он	7	9
