N	2gram	Vinokur_St	EvropaiE
1	и в	61	37
2	в отношении	11	32
3	точки зрения	16	23
4	что в	41	21
5	не только	36	18
6	с точки	10	17
7	в то	10	16
8	отношении к	3	15
9	хотя бы	8	15
10	то же	7	15
11	в своем	8	14
12	но в	16	14
13	но и	28	14
14	и не	23	14
15	же время	5	14
16	в качестве	7	14
17	в этом	37	12
18	в том	56	11
19	в их	3	11
20	в области	16	11
21	так и	15	10
22	т е	21	9
23	так же	7	9
24	не может	10	9
25	в себе	3	9
26	прежде всего	11	9
27	только в	11	9
28	одной стороны	2	8
29	между тем	7	8
30	в ее	6	8
31	думать что	2	8
32	было бы	21	8
33	в своей	12	8
34	с одной	3	8
35	к тому	9	8
36	по своему	2	7
37	также и	10	7
38	с другой	11	7
39	а также	4	7
40	как и	11	7
41	так как	7	7
42	между прочим	10	7
43	того что	14	7
44	том что	49	6
45	во всех	8	6
46	то есть	2	6
47	и даже	8	6
48	может быть	16	6
49	и на	7	6
50	с этой	5	6
51	того чтобы	15	6
52	для того	15	6
53	на то	5	6
54	то что	27	6
55	как бы	8	6
56	вовсе не	24	6
57	но не	5	5
58	от этого	2	5
59	тем самым	2	5
60	и по	6	5
61	и потому	3	5
62	столь же	5	5
63	в россии	7	5
64	но если	5	5
65	в той	9	5
66	со стороны	7	5
67	не в	15	5
68	в виде	3	5
69	в частности	6	5
70	в течение	7	5
71	же как	5	5
72	одной из	4	5
73	даже в	5	4
74	сказать что	9	4
75	в каком	4	4
76	вопрос о	9	4
77	не имеет	5	4
78	или иного	4	4
79	во многих	3	4
80	можно сказать	2	4
81	то в	3	4
82	культуры в	3	4
83	именно в	8	4
84	в процессе	3	4
85	в самом	14	4
86	мы не	3	4
87	в ней	9	4
88	для нас	7	4
89	по себе	3	4
90	несмотря на	4	4
91	тем более	4	4
92	не на	3	4
93	как это	6	4
94	то ни	2	4
95	того или	4	4
96	бы то	2	4
97	чем в	3	4
98	никогда не	7	3
99	с тем	3	3
100	и от	2	3
101	и для	4	3
102	можно считать	2	3
103	ни на	3	3
104	и только	3	3
105	в данной	2	3
106	о том	30	3
107	идет о	3	3
108	в данном	16	3
109	в общем	2	3
110	вообще не	5	3
111	того же	4	3
112	в которых	5	3
113	можно было	14	3
114	этом смысле	2	3
115	бы и	4	3
116	бы ни	3	3
117	и к	5	3
118	в результате	5	3
119	но на	2	3
120	из них	11	3
121	в известном	3	3
122	в них	2	3
123	можно ли	5	3
124	в деле	3	3
125	всяком случае	8	3
126	место в	2	3
127	на себя	3	3
128	что и	8	3
129	во второй	10	3
130	отметить что	4	3
131	там где	6	3
132	и тем	3	3
133	не дает	2	3
134	тем что	6	3
135	говорит о	5	3
136	этом отношении	13	3
137	не является	5	3
138	потому что	13	3
139	в таком	4	3
140	себе в	2	3
141	в применении	3	3
142	как в	15	3
143	как на	10	3
144	применении к	3	3
145	ее в	2	3
146	во всяком	8	3
147	дело в	9	3
148	есть в	2	2
149	данном случае	7	2
150	для понимания	2	2
151	представление о	5	2
152	на этот	5	2
153	кажется что	5	2
154	если в	2	2
155	в его	19	2
156	отношений между	3	2
157	начиная с	2	2
158	что это	5	2
159	в эту	3	2
160	при помощи	4	2
161	и то	6	2
162	к нему	2	2
163	не могут	2	2
164	она не	3	2
165	а в	18	2
166	с этим	6	2
167	из того	2	2
168	и сейчас	6	2
169	в котором	11	2
170	в сторону	2	2
171	в своих	2	2
172	только к	2	2
173	во многом	3	2
174	стороны в	2	2
175	и с	6	2
176	бы в	2	2
177	этот вопрос	6	2
178	в случае	2	2
179	что на	3	2
180	во втором	5	2
181	могут быть	5	2
182	в развитии	2	2
183	не говоря	2	2
184	каких бы	2	2
185	другой стороны	9	2
186	что все	3	2
187	также в	2	2
188	в значительной	2	2
189	по своей	2	2
190	в одном	7	2
191	и можно	2	2
192	на них	2	2
193	и как	2	2
194	что же	6	2
195	целый ряд	3	2
196	если бы	11	2
197	для них	2	2
198	в этих	5	2
199	но также	13	2
200	жизни и	6	2
201	еще более	5	2
202	и теперь	2	2
203	более чем	3	2
204	в других	2	2
205	а не	19	2
206	и что	8	2
207	нас к	2	2
208	и во	3	2
209	то не	3	2
210	но именно	3	2
211	одном из	4	2
212	и все	3	2
213	таким образом	16	2
214	а именно	3	2
215	в истории	5	2
216	он не	11	2
217	как будто	5	2
218	такой же	6	2
219	на основании	2	2
220	следовало бы	2	2
221	относятся к	3	2
222	ведь и	3	2
223	говоря уже	2	2
224	не к	2	2
225	в этой	13	2
226	в некоторых	3	2
227	но с	7	2
228	хотя и	4	2
229	и творчества	2	2
230	в какой	4	2
231	должна быть	3	2
232	вместе с	5	2
233	заключается в	5	2
234	и более	4	2
