N	2gram	Tiupa_Teor	Dialekti
1	и не	17	120
2	по себе	2	79
3	а не	14	78
4	и в	24	77
5	точки зрения	11	72
6	может быть	22	71
7	не только	24	66
8	то что	6	59
9	не может	8	53
10	и даже	2	47
11	с точки	3	46
12	потому что	3	45
13	не просто	2	44
14	как бы	8	43
15	ни в	5	42
16	и что	4	42
17	вовсе не	3	41
18	в том	20	40
19	что такое	2	39
20	в этом	12	39
21	то же	12	39
22	в себе	14	38
23	что она	2	38
24	том что	11	37
25	что он	4	37
26	прежде всего	3	37
27	это не	4	36
28	– в	20	35
29	и –	3	35
30	что в	10	34
31	в нем	7	34
32	– не	4	33
33	того что	5	33
34	но и	14	32
35	все это	2	31
36	и как	3	30
37	отнюдь не	3	30
38	сказать что	4	30
39	так и	14	29
40	как и	6	28
41	никогда не	4	27
42	в виду	5	26
43	не в	9	26
44	сама по	2	26
45	– это	33	26
46	и то	3	25
47	говорить о	4	25
48	если бы	3	24
49	и вот	3	23
50	в то	9	23
51	это и	2	23
52	таким образом	3	23
53	но –	2	22
54	я не	2	22
55	личности и	4	21
56	в чем	2	21
57	в каком	2	20
58	только в	9	20
59	как раз	3	20
60	– как	2	20
61	что и	2	20
62	о том	2	20
63	уже не	6	20
64	в таком	3	20
65	и притом	3	19
66	в своем	7	19
67	как это	10	19
68	не менее	6	19
69	и это	2	19
70	в самом	7	19
71	и его	11	19
72	с другой	9	18
73	же время	8	18
74	в основе	6	17
75	той или	3	17
76	можно сказать	5	17
77	в своей	8	16
78	только не	3	16
79	к нему	2	16
80	одно и	2	16
81	об этом	2	16
82	тем не	3	16
83	– и	2	15
84	и о	5	15
85	быть и	2	15
86	то в	2	15
87	так же	2	15
88	самом деле	2	15
89	хотя и	4	15
90	личности в	4	15
91	несмотря на	2	15
92	и потому	3	14
93	и ее	4	14
94	таком случае	2	14
95	– все	3	14
96	а именно	3	14
97	в силу	4	13
98	но в	12	13
99	отличается от	2	13
100	он не	5	13
101	собственно говоря	2	13
102	что они	2	13
103	другой стороны	6	13
104	с ее	4	13
105	субъекта и	4	13
106	и к	3	13
107	могут быть	5	12
108	еще не	6	12
109	все эти	3	12
110	именно в	3	12
111	перед нами	3	12
112	не могут	2	12
113	но как	2	12
114	а в	15	12
115	тем более	2	12
116	но не	13	12
117	и тем	5	11
118	только на	2	11
119	в них	2	11
120	тех или	3	11
121	в данном	9	11
122	мы имеем	7	11
123	есть в	3	11
124	или в	3	11
125	может и	2	10
126	в душе	9	10
127	к тому	4	10
128	в ее	6	10
129	в его	12	10
130	за пределы	2	10
131	это было	2	10
132	для того	5	10
133	с этой	3	10
134	и для	3	10
135	оно не	2	10
136	чтобы не	2	10
137	в их	4	10
138	в частности	23	10
139	времени и	2	10
140	как будто	2	10
141	в жизни	3	10
142	если мы	2	10
143	только о	2	10
144	и по	3	9
145	превращается в	2	9
146	подобно тому	3	9
147	в этих	4	9
148	тому как	3	9
149	в одном	3	9
150	или иной	7	9
151	была бы	3	9
152	тому что	2	9
153	с ними	2	9
154	при этом	20	9
155	случае не	2	9
156	в противоположность	3	9
157	на этом	2	9
158	и на	2	9
159	в отношении	4	8
160	не будет	3	8
161	– то	2	8
162	не на	4	8
163	в этой	3	8
164	только и	2	8
165	того или	6	8
166	у нас	2	8
167	с одной	3	8
168	даже в	3	8
169	при условии	2	8
170	один из	2	8
171	в поэзии	2	8
172	но она	2	8
173	или иначе	6	8
174	этом смысле	3	8
175	себя в	7	8
176	тем самым	6	7
177	в конце	2	7
178	из этих	3	7
179	он должен	3	7
180	а только	4	7
181	связи с	3	7
182	в связи	3	7
183	для меня	2	7
184	со стороны	6	7
185	от себя	3	7
186	не всегда	2	7
187	не знает	4	7
188	мира и	4	7
189	и больше	2	7
190	с его	6	7
191	– только	3	7
192	как в	5	7
193	заключается в	2	7
194	так или	5	7
195	в мире	26	7
196	из которых	2	7
197	то ни	2	7
198	отношения к	4	7
199	не сама	2	7
200	но он	4	7
201	еще и	2	6
202	в другом	4	6
203	отношение к	7	6
204	более или	6	6
205	того чтобы	5	6
206	при всем	2	6
207	себя и	2	6
208	никто не	3	6
209	в которой	3	6
210	по своей	8	6
211	ни к	3	6
212	в себя	5	6
213	вместе с	2	6
214	его в	4	6
215	и прежде	2	6
216	о чем	3	6
217	или менее	6	6
218	по своему	4	6
219	одной стороны	3	6
220	этой точки	2	6
221	более не	2	6
222	с их	2	6
223	во всех	3	6
224	дело не	2	6
225	я и	2	6
226	в коем	2	6
227	для него	5	6
228	не с	3	6
229	ее в	2	6
230	коем случае	2	6
231	мог бы	3	6
232	во времени	4	5
233	тот кто	2	5
234	е о	2	5
235	речь идет	2	5
236	жизнь личности	2	5
237	если в	2	5
238	не является	5	5
239	например в	3	5
240	их в	3	5
241	тем или	2	5
242	говоря о	3	5
243	в области	7	5
244	в одно	2	5
245	это может	2	5
246	во мне	2	5
247	– всегда	2	5
248	в качестве	33	5
249	одного и	4	5
250	отношении к	4	5
251	он и	2	5
252	в той	2	5
253	не обязательно	3	5
254	данном случае	5	4
255	только лишь	2	4
256	человека и	2	4
257	о себе	2	4
258	и мира	2	4
259	личности как	2	4
260	объекта и	3	4
261	на себя	2	4
262	о ней	3	4
263	бы то	2	4
264	и эстетической	2	4
265	у него	2	4
266	и является	2	4
267	и здесь	2	4
268	к чему	2	4
269	к жизни	2	4
270	субъект и	2	4
271	– на	4	4
272	я с	5	3
273	видим в	2	3
274	сознания в	2	3
275	с чем	2	3
276	должен быть	2	3
277	от своего	2	3
278	к своему	2	3
279	мире и	2	3
280	отличие от	7	3
281	в искусстве	9	3
282	а с	3	3
283	одной из	2	3
284	идет о	2	3
285	зрения и	2	3
286	что можно	3	3
287	место в	7	3
288	в данный	2	3
289	в первом	2	3
290	не могли	2	3
291	здесь не	2	3
292	ту или	2	3
293	говорит что	2	3
294	о своем	2	3
295	лишь в	10	3
296	далеко не	4	3
297	или иных	3	3
298	на почве	5	3
299	я в	18	3
300	или иную	2	3
301	образом и	2	3
302	в свою	4	3
303	нового времени	3	3
304	тем же	2	3
305	для всех	2	3
306	вслед за	3	3
307	личность –	2	3
308	для себя	3	3
309	– с	8	3
310	это тоже	2	3
311	так в	4	3
312	– еще	2	3
313	к другому	2	3
314	во всей	3	3
315	особого рода	7	3
316	или иного	6	3
317	не от	2	3
318	с другими	6	3
319	нас самих	2	3
320	по преимуществу	5	3
321	ни было	2	3
322	в какой	2	3
323	жизни –	2	3
324	но на	2	3
325	на мир	2	3
326	мы в	2	3
327	данный момент	2	3
328	в слове	4	3
329	между тем	5	3
330	имеем дело	2	3
331	я –	3	2
332	корнями в	2	2
333	при всей	2	2
334	как к	5	2
335	на свою	2	2
336	роль в	3	2
337	из тех	2	2
338	– быть	2	2
339	свою очередь	3	2
340	своей жизни	2	2
341	и др	3	2
342	в аспекте	2	2
343	все прочие	3	2
344	во втором	3	2
345	однако все	2	2
346	в узком	3	2
347	однако в	7	2
348	своей природе	3	2
349	не сами	2	2
350	дело в	2	2
351	сам же	2	2
352	на деле	2	2
353	на меня	3	2
354	тот или	3	2
355	силу своей	4	2
356	искусства и	3	2
357	но от	2	2
358	всей его	2	2
359	жизни но	2	2
360	строго говоря	2	2
361	не вполне	2	2
362	имеем в	3	2
363	– уже	2	2
364	в сторону	3	2
365	есть как	2	2
366	в нашем	4	2
367	и состоит	2	2
368	понятие о	3	2
369	в глаза	2	2
370	то есть	22	2
371	времени в	2	2
372	к которому	3	2
373	на котором	2	2
374	для понимания	2	2
375	для такого	2	2
376	человеческой жизни	3	2
377	между ними	6	2
378	не предполагает	5	2
379	имеет место	3	2
380	могла бы	2	2
381	в пространстве	2	2
382	в целом	4	2
383	в порядке	3	2
384	художественное произведение	3	2
385	жизни в	2	2
386	может оказаться	2	2
387	а для	2	2
388	перед лицом	2	2
389	всей своей	2	2
390	– при	2	2
391	в акте	3	2
392	к его	3	2
393	или иным	4	2
394	жизни а	2	2
395	жизнь –	2	2
396	совпадает с	4	2
397	и сам	4	2
398	которая в	2	2
399	мира в	3	2
400	этих двух	2	2
401	в системе	2	2
