N	3gram	Tiupa_Narr	KulturaY
1	с точки зрения	2	36
2	в том что	8	33
3	можно было бы	2	25
4	тем не менее	3	19
5	с другой стороны	4	17
6	по отношению к	6	13
7	в связи с	2	12
8	в этом отношении	3	11
9	не может быть	5	11
10	о том что	6	10
11	того или иного	2	9
12	не только в	2	8
13	с одной стороны	7	7
14	в свою очередь	3	7
15	в то же	3	6
16	той или иной	4	6
17	к тому же	4	6
18	этой точки зрения	2	6
19	то же время	3	6
20	в отличие от	5	6
21	речь идет о	2	5
22	но все же	4	5
23	более или менее	2	5
24	то или иное	2	5
25	в данном случае	4	5
26	в конечном счете	2	4
27	точно так же	2	4
28	в первом случае	2	4
29	так же как	2	4
30	состоит в том	3	4
31	так или иначе	2	4
32	именно в том	2	4
33	в таком случае	2	3
34	на себя внимание	3	3
35	не то что	2	3
36	в известном смысле	2	3
37	и не в	4	3
38	бы то ни	3	2
39	не что иное	2	2
40	так и не	2	2
41	все те же	4	2
42	том или ином	2	2
43	в том числе	6	2
44	что иное как	2	2
45	можно сказать что	4	2
46	сами по себе	2	2
47	обращает на себя	3	2
48	в той или	2	2
