N	3gram	Tiupa_Lite	Psycholo
1	в том что	15	78
2	и т п	2	37
3	о том что	3	34
4	с точки зрения	4	29
5	с одной стороны	8	28
6	не может быть	5	23
7	с другой стороны	5	20
8	во всяком случае	2	14
9	в этом отношении	5	14
10	можно было бы	2	13
11	этой точки зрения	3	12
12	в конечном счете	8	11
13	подобно тому как	4	11
14	только в том	2	10
15	с этой точки	3	10
16	и то что	2	10
17	в данном случае	6	9
18	в отличие от	6	9
19	речь идет о	3	8
20	а с другой	2	7
21	состоит в том	8	7
22	в свою очередь	2	7
23	только то что	2	7
24	тем не менее	4	6
25	тех пор пока	2	6
26	не только в	4	6
27	до тех пор	2	6
28	в первый раз	2	5
29	в целом ряде	2	5
30	несет в себе	2	4
31	из того что	2	4
32	за то что	2	4
33	ничего общего с	2	3
34	в этом случае	2	3
35	при этом как	3	3
36	в то же	12	3
37	имел в виду	2	3
38	по аналогии с	3	3
39	по отношению к	4	3
40	то же время	12	3
41	в себя и	2	3
42	может быть это	4	3
43	едва ли не	5	3
44	дело в том	2	3
45	но при этом	2	2
46	все же в	2	2
47	в связи с	4	2
48	тех или иных	2	2
49	по крайней мере	2	2
50	поскольку речь идет	2	2
51	тем что в	2	2
52	и тем самым	2	2
53	так или иначе	8	2
54	мы имеем дело	2	2
