N	3gram	Vygotskiy_	Analitik
1	в том что	41	25
2	не может быть	5	19
3	по отношению к	3	18
4	о том что	3	15
5	той или иной	2	14
6	в отличие от	8	14
7	с одной стороны	8	9
8	с другой стороны	5	9
9	того или иного	2	9
10	в свою очередь	3	9
11	в том чтобы	2	9
12	в этом отношении	9	8
13	как и в	3	8
14	с точки зрения	11	8
15	состоит в том	4	8
16	во всяком случае	10	7
17	что иное как	2	7
18	в свое время	2	7
19	тем не менее	6	6
20	одного и того	5	6
21	не что иное	2	6
22	и того же	5	6
23	в этом случае	4	5
24	в самом деле	4	4
25	для того чтобы	14	4
26	из того что	3	4
27	и тем самым	3	4
28	и в этом	2	4
29	в известном смысле	2	4
30	в этом смысле	7	4
31	то же самое	9	3
32	речь идет о	2	3
33	и как бы	2	3
34	содержит в себе	2	3
35	сам по себе	2	3
36	хотя бы и	2	3
37	и тот же	6	3
38	в том числе	3	3
39	в связи с	8	3
40	одной и той	5	3
41	между тем как	4	3
42	и те же	3	3
43	одни и те	3	3
44	сами по себе	4	3
45	и той же	5	3
46	включает в себя	2	3
47	в зависимости от	6	3
48	и то что	3	3
49	одно и то	6	2
50	что он не	2	2
51	как если бы	2	2
52	в такой же	2	2
53	и то же	6	2
54	на этот вопрос	2	2
55	это означает что	2	2
56	более или менее	3	2
57	а с другой	4	2
58	никогда не бывает	2	2
59	здесь мы имеем	2	2
60	того и другого	2	2
61	можно было бы	8	2
62	тому или иному	4	2
63	друг с другом	10	2
64	один и тот	6	2
65	заключается в том	18	2
66	этой точки зрения	4	2
67	с этой точки	4	2
68	до сих пор	3	2
69	смысле этого слова	10	2
70	в обоих случаях	2	2
71	на то что	5	2
