N	2gram	Bakhtin_Pr	EvropaiE
1	и в	59	37
2	в отношении	3	32
3	в пределах	13	25
4	точки зрения	36	23
5	что в	14	21
6	не только	26	18
7	с точки	21	17
8	в то	15	16
9	отношении к	3	15
10	хотя бы	5	15
11	то же	15	15
12	в своем	12	14
13	но в	7	14
14	но и	22	14
15	и не	66	14
16	же время	10	14
17	в этом	40	12
18	в том	17	11
19	в их	5	11
20	в области	3	11
21	так и	13	10
22	так же	10	9
23	в смысле	4	9
24	не может	31	9
25	в себе	9	9
26	прежде всего	17	9
27	только в	15	9
28	между тем	5	8
29	в ее	4	8
30	было бы	10	8
31	в своей	17	8
32	нам кажется	4	7
33	с другой	3	7
34	как и	21	7
35	так как	11	7
36	того что	4	7
37	том что	15	6
38	во всех	8	6
39	то есть	64	6
40	и даже	4	6
41	может быть	38	6
42	и на	15	6
43	того чтобы	5	6
44	для того	3	6
45	то что	21	6
46	как бы	40	6
47	вовсе не	13	6
48	но не	13	5
49	от этого	2	5
50	тем самым	3	5
51	и по	4	5
52	и потому	9	5
53	этой точки	3	5
54	в той	9	5
55	как мы	10	5
56	со стороны	6	5
57	не в	10	5
58	в частности	2	5
59	же как	5	5
60	как нам	2	5
61	даже в	7	4
62	сказать что	9	4
63	в каком	2	4
64	лежат в	2	4
65	вопрос о	4	4
66	и притом	3	4
67	не имеет	2	4
68	или иной	3	4
69	само по	4	4
70	можно сказать	3	4
71	не служит	2	4
72	именно в	8	4
73	в процессе	4	4
74	в самом	19	4
75	мы не	3	4
76	в ней	8	4
77	для нас	3	4
78	по себе	13	4
79	несмотря на	7	4
80	тем более	2	4
81	мира в	6	4
82	ни было	4	4
83	той или	3	4
84	не на	6	4
85	как это	2	4
86	то ни	3	4
87	бы то	3	4
88	чем в	3	4
89	никогда не	19	3
90	и от	3	3
91	и для	5	3
92	ни на	2	3
93	и только	2	3
94	в пределы	4	3
95	о том	5	3
96	к ним	3	3
97	идет о	5	3
98	в данном	3	3
99	в которых	2	3
100	в сфере	4	3
101	не из	3	3
102	можно было	5	3
103	этом смысле	12	3
104	мира и	8	3
105	бы и	6	3
106	и к	5	3
107	в результате	6	3
108	мы можем	3	3
109	но на	2	3
110	уже и	2	3
111	от них	3	3
112	из них	8	3
113	и прежде	2	3
114	во все	5	3
115	в них	5	3
116	всяком случае	3	3
117	место в	2	3
118	на себя	3	3
119	мы видели	3	3
120	что и	10	3
121	друг с	4	3
122	отметить что	2	3
123	там где	12	3
124	и тем	2	3
125	не дает	4	3
126	по своим	4	3
127	тем что	5	3
128	этом отношении	7	3
129	по нашему	5	3
130	не является	2	3
131	жизни в	3	3
132	потому что	20	3
133	на своем	2	3
134	в таком	2	3
135	и со	3	3
136	с другом	4	3
137	как в	10	3
138	как на	4	3
139	большинстве случаев	3	3
140	ее в	2	3
141	во всяком	5	3
142	есть в	10	2
143	именно потому	3	2
144	данном случае	3	2
145	для понимания	5	2
146	в мире	10	2
147	на этот	2	2
148	кажется что	4	2
149	в его	44	2
150	не есть	2	2
151	мира не	2	2
152	что если	4	2
153	к нему	13	2
154	не могут	6	2
155	как же	5	2
156	она не	9	2
157	а в	9	2
158	с этим	2	2
159	мы должны	6	2
160	с другими	11	2
161	в котором	6	2
162	какой бы	2	2
163	его на	2	2
164	заметить что	2	2
165	но как	4	2
166	в свои	2	2
167	далеко не	3	2
168	в своих	5	2
169	от друга	2	2
170	дело идет	12	2
171	и еще	2	2
172	в большинстве	3	2
173	и с	10	2
174	бы в	7	2
175	этот вопрос	3	2
176	в другой	4	2
177	могут быть	5	2
178	по преимуществу	3	2
179	другой стороны	3	2
180	что все	5	2
181	между ними	4	2
182	тогда когда	2	2
183	в одном	14	2
184	как их	3	2
185	и как	10	2
186	что же	5	2
187	есть не	3	2
188	если бы	12	2
189	для них	3	2
190	в этих	5	2
191	жизни и	21	2
192	именно к	2	2
193	как не	9	2
194	а не	30	2
195	и других	8	2
196	мы видим	5	2
197	и что	2	2
198	и во	2	2
199	или точнее	2	2
200	и наконец	5	2
201	можем сказать	2	2
202	же в	3	2
203	точка зрения	14	2
204	но именно	5	2
205	одном из	3	2
206	подходит к	5	2
207	и все	4	2
208	или в	2	2
209	друг от	2	2
210	по сравнению	2	2
211	таким образом	22	2
212	а именно	4	2
213	в истории	3	2
214	он не	11	2
215	как будто	4	2
216	во всей	2	2
217	сравнению с	2	2
218	и эта	3	2
219	в этой	5	2
220	но с	4	2
221	культурной традиции	2	2
222	всего в	2	2
223	в какой	2	2
224	должна быть	4	2
225	к той	2	2
226	вместе с	2	2
227	мира но	2	2
228	заключается в	3	2
229	он сам	9	2
230	и более	2	2
231	нашему мнению	3	2
