N	2gram	Vygotskiy_	KulturaY
1	и в	33	84
2	в том	44	74
3	потому что	40	68
4	не только	28	60
5	точки зрения	27	59
6	в этом	43	57
7	было бы	18	53
8	и не	18	52
9	может быть	15	47
10	том что	41	44
11	того чтобы	26	44
12	что в	33	44
13	для того	20	41
14	в самом	10	41
15	у нас	4	38
16	самом деле	9	37
17	хотя бы	5	37
18	так как	20	36
19	с точки	12	36
20	в области	19	34
21	таким образом	30	33
22	а не	14	33
23	можно было	11	32
24	если бы	13	32
25	не в	10	30
26	прежде всего	5	30
27	в его	15	30
28	все же	5	29
29	письменной речи	44	29
30	того что	34	28
31	не менее	4	28
32	все эти	9	28
33	в силу	14	26
34	не может	31	25
35	то что	48	25
36	вовсе не	2	25
37	вопрос о	15	24
38	еще не	11	24
39	с другой	11	24
40	так и	8	23
41	то же	12	23
42	только в	21	23
43	с помощью	32	23
44	во всяком	4	20
45	но и	14	20
46	по себе	8	20
47	и что	18	20
48	то обстоятельство	5	19
49	что он	40	19
50	но в	9	19
51	обстоятельство что	5	19
52	языка и	6	19
53	речи в	7	19
54	зависимости от	3	19
55	тем что	12	19
56	о том	13	19
57	всяком случае	2	19
58	что же	2	19
59	между тем	5	18
60	связи с	9	18
61	все это	2	18
62	в качестве	13	18
63	к тому	14	18
64	с тем	9	18
65	в сущности	17	18
66	как бы	11	18
67	и с	7	18
68	вместе с	9	18
69	это не	8	17
70	как раз	5	17
71	как это	11	17
72	другой стороны	9	17
73	в той	8	17
74	слова и	3	17
75	в виду	4	16
76	ничего не	6	16
77	в зависимости	2	16
78	что не	2	16
79	что и	11	16
80	тот же	7	16
81	но не	13	16
82	по отношению	19	15
83	и тем	5	15
84	один из	4	15
85	а в	5	15
86	при этом	9	15
87	того как	6	15
88	в данном	4	15
89	должно быть	10	15
90	целый ряд	5	15
91	том чтобы	3	15
92	именно в	8	15
93	как на	4	15
94	в нашем	5	15
95	в них	3	14
96	в связи	6	14
97	я не	6	14
98	как мы	20	14
99	сказать что	18	14
100	мы имеем	4	14
101	отношению к	19	14
102	сих пор	3	14
103	также и	2	14
104	что такое	6	14
105	если мы	9	14
106	и на	11	14
107	в ней	2	14
108	до сих	3	14
109	не могут	7	13
110	это и	3	13
111	по существу	5	13
112	что она	3	13
113	в пределах	6	13
114	в этой	8	13
115	в которых	2	13
116	там где	2	13
117	и его	6	13
118	той же	7	13
119	этот вопрос	8	12
120	для этого	3	12
121	вопроса о	5	12
122	с этой	8	12
123	как в	7	12
124	а только	8	12
125	того же	13	12
126	тогда когда	10	12
127	могут быть	7	12
128	этого слова	3	12
129	в результате	9	12
130	речь в	3	12
131	говорить о	3	12
