N	2gram	Propp_Morf	Sotsiolo
1	все это	2	7
2	в том	10	5
3	в этом	18	5
4	для нас	2	3
5	как же	3	3
6	не только	8	3
7	и только	3	3
8	не в	3	3
9	и в	17	3
10	это и	3	2
11	дело не	2	2
12	должна быть	2	2
13	отношению к	7	2
14	по отношению	7	2
15	еще не	4	2
16	только в	3	2
17	что в	10	2
18	в частности	2	2
19	том что	7	2
20	было бы	5	2
21	таким образом	26	2
22	то же	10	2
23	как будто	2	2
24	и что	3	2
25	то что	10	2
26	как бы	6	2
27	но и	9	2
28	главным образом	5	2
29	далеко не	5	2
30	может быть	61	2
31	по существу	13	2
32	в результате	8	2
