N	3gram	Vygotskiy_	RusskieA
1	в том что	20	49
2	состоит в том	2	29
3	и т д	6	21
4	вместе с тем	3	11
5	о том что	8	10
6	в том чтобы	2	9
7	в данном случае	5	8
8	для того чтобы	17	8
9	мы не можем	2	7
10	как мы увидим	2	7
11	как мы видели	2	6
12	не может быть	3	6
13	так же как	2	6
14	к тому что	5	5
15	мы видели что	2	5
16	во всяком случае	6	4
17	в то время	4	4
18	можно было бы	6	4
19	бросается в глаза	2	4
20	что в этом	2	4
21	с тем что	3	3
22	с точки зрения	11	3
23	и что в	2	3
24	до сих пор	6	3
25	до тех пор	2	3
26	это имеет место	2	3
27	на то что	16	3
28	в свою очередь	3	3
29	тех пор пока	2	3
30	в евгении онегине	2	2
31	мы уже знаем	2	2
32	на самом деле	3	2
33	потому что он	3	2
34	мы увидим ниже	2	2
35	о том как	3	2
36	одно из этих	2	2
37	ничего общего с	2	2
38	друг с другом	2	2
39	и в этом	6	2
40	с одной стороны	6	2
41	мы увидим что	9	2
42	совершенно очевидно что	3	2
43	и т п	7	2
44	с другой стороны	5	2
45	ни одно из	2	2
46	в таком виде	2	2
47	одна из них	2	2
