N	3gram	Tiupa_Vved	DiskursI
1	в том что	10	28
2	в отличие от	11	26
3	по отношению к	11	17
4	с одной стороны	9	14
5	не может быть	6	12
6	в данном случае	15	12
7	той или иной	4	10
8	то же время	4	10
9	по природе своей	2	10
10	о том что	6	9
11	в то же	5	8
12	в этом отношении	7	8
13	состоит в том	2	8
14	и все же	6	7
15	тогда как в	2	7
16	как и в	2	7
17	не сводится к	6	6
18	в соответствии с	8	6
19	в основе своей	2	6
20	в конечном счете	2	6
21	к тому же	6	6
22	но при этом	3	5
23	то же самое	2	5
24	одной стороны и	3	5
25	что же касается	2	5
26	подобно тому как	3	5
27	в значительной степени	2	5
28	не только в	3	5
29	по своей природе	2	5
30	несет в себе	4	5
31	присутствия в мире	2	5
32	с другой стороны	2	5
33	в свою очередь	5	5
34	тем не менее	3	4
35	в вероятностном мире	2	4
36	а с другой	3	4
37	не в том	3	4
38	по сути дела	4	4
39	в частности в	2	4
40	свидетеля и судии	5	4
41	в строгом значении	2	4
42	как правило не	2	3
43	более или менее	2	3
44	при всей своей	3	3
45	по аналогии с	2	3
46	мы имеем дело	5	3
47	и вследствие этого	4	3
48	[...] в нем	2	3
49	по этой причине	2	3
50	во всяком случае	3	3
51	как будто бы	3	3
52	на первый взгляд	3	3
53	пока еще не	4	3
54	события свидетель и	2	2
55	свидетель и судия	2	2
56	речь идет о	3	2
57	как мы видели	3	2
58	своего и чужого	2	2
59	а также и	2	2
60	располагается между двумя	2	2
61	так и не	4	2
62	но и в	3	2
63	в той мере	2	2
64	оказывается своего рода	2	2
65	мере в какой	2	2
66	в е гг	2	2
67	заключает в себе	4	2
68	главное действующее лицо	2	2
69	едва ли не	2	2
70	лицо события свидетель	2	2
71	причастной вненаходимости бахтин	2	2
72	действующее лицо события	2	2
73	той мере в	2	2
74	не столько в	2	2
75	обратим внимание на	2	2
76	но в данном	2	2
77	и представляет собой	4	2
78	событие самого рассказывания	2	2
79	со стороны читателя	2	2
80	а в том	3	2
81	по большей части	4	2
82	в том чтобы	2	2
