N	2gram	Voloshinov	VelikijI
1	и не	34	20
2	и в	28	16
3	так как	15	9
4	то что	17	9
5	еще не	8	8
6	в истории	4	8
7	и потому	12	7
8	а не	9	7
9	не есть	2	6
10	человека и	6	6
11	в мире	2	5
12	как бы	19	5
13	на себя	3	5
14	но и	10	5
15	все это	12	5
16	по пути	2	5
17	того что	7	5
18	что все	7	4
19	к личности	2	4
20	в силах	3	4
21	и все	13	4
22	как и	13	4
23	в котором	4	4
24	потому что	4	4
25	все что	10	4
26	в нем	7	4
27	в ней	8	4
28	что мы	3	4
29	в его	25	4
30	говорить о	5	4
31	в этом	28	4
32	что он	12	4
33	и есть	3	4
34	так и	14	4
35	никогда не	10	3
36	превращается в	2	3
37	всех людей	2	3
38	в жизни	7	3
39	что в	7	3
40	в том	10	3
41	и для	7	3
42	от этого	2	3
43	не имеет	2	3
44	тому что	5	3
45	но в	13	3
46	к тому	6	3
47	ни в	12	3
48	их в	3	3
49	но это	4	3
50	бы и	2	3
51	должно быть	2	3
52	оно не	3	3
53	хотя бы	7	3
54	в своей	14	3
55	во всех	13	3
56	личности и	4	3
57	в конце	2	3
58	в них	3	3
59	жизни и	7	3
60	как не	3	3
61	в первый	4	3
62	что и	5	3
63	не было	5	3
64	и что	6	3
65	не в	10	3
66	все эти	15	3
67	в этих	5	3
68	должна быть	2	3
69	и они	2	3
70	в чем	9	3
71	тот же	10	3
72	с его	9	3
73	и то	3	2
74	да и	2	2
75	самого себя	2	2
76	они и	2	2
77	одна из	4	2
78	не так	3	2
79	но не	7	2
80	нет и	4	2
81	в прошлом	2	2
82	от этих	2	2
83	это не	5	2
84	ее в	5	2
85	не только	10	2
86	не могут	7	2
87	а в	8	2
88	том что	12	2
89	его к	4	2
90	но мы	6	2
91	и во	2	2
92	во всяком	9	2
93	уже не	9	2
94	могут быть	9	2
95	не к	2	2
96	в последнем	4	2
97	один из	10	2
98	для них	3	2
99	того чтобы	5	2
100	и теперь	2	2
101	мира в	2	2
102	в стихии	2	2
103	мы не	9	2
104	человека как	2	2
105	конечно не	10	2
106	только в	11	2
107	и сам	3	2
108	и за	4	2
109	его и	2	2
110	для нас	2	2
111	в себя	5	2
112	прежде всего	26	2
113	с ним	14	2
114	его не	2	2
115	все тот	2	2
116	между тем	3	2
117	мы и	4	2
118	а с	2	2
119	для него	12	2
