N	2gram	Tiupa_Hudo	VLabPisa
1	в этом	22	29
2	не только	22	26
3	и в	34	26
4	и т	15	25
5	может быть	12	23
6	во сне	3	21
7	хотя бы	2	20
8	и не	15	20
9	т е	6	18
10	не может	10	17
11	т д	5	16
12	в том	24	15
13	в его	17	15
14	этом отношении	4	14
15	в силу	2	14
16	прежде всего	12	13
17	все это	2	13
18	в частности	10	12
19	как это	8	12
20	в качестве	13	12
21	что в	8	11
22	с другой	4	11
23	из них	5	11
24	то же	14	10
25	но и	13	10
26	о том	21	10
27	в художественном	6	10
28	об этом	8	9
29	т п	10	9
30	для него	15	9
31	в своем	9	8
32	том что	31	8
33	не следует	2	8
34	все эти	4	8
35	было бы	8	8
36	только в	8	8
37	вместе с	2	8
38	это не	12	7
39	из этих	3	7
40	во всех	2	7
41	по отношению	15	7
42	то что	13	7
43	отношению к	15	7
44	тому что	8	7
45	как и	16	7
46	их в	2	7
47	в нем	5	7
48	в конечном	5	7
49	не было	8	7
50	говорит о	4	7
51	же в	3	7
52	а не	23	7
53	произведения и	2	7
54	не в	16	6
55	в то	12	6
56	в себе	19	6
57	это и	2	6
58	все же	5	6
59	у него	13	6
60	так и	19	6
61	приводит к	5	6
62	один из	6	6
63	и его	8	6
64	бы и	2	6
65	между тем	14	6
66	никогда не	8	5
67	даже в	4	5
68	сказать что	3	5
69	в одном	3	5
70	конечном счете	4	5
71	перед нами	13	5
72	в результате	2	5
73	в пределах	4	5
74	в их	2	5
75	действующих лиц	3	5
76	к тому	11	5
77	как бы	11	5
78	в них	3	5
79	в целом	2	5
80	связи с	4	5
81	же время	11	5
82	на основе	2	5
83	по поводу	3	4
84	одна из	4	4
85	и ее	3	4
86	только что	4	4
87	роль в	2	4
88	что он	14	4
89	что все	3	4
90	следующим образом	3	4
91	когда он	2	4
92	отнюдь не	4	4
93	в самом	7	4
94	как раз	7	4
95	в ее	16	4
96	с ними	3	4
97	в своей	15	4
98	в связи	3	4
99	можно сказать	9	4
100	в этой	11	4
101	чем же	2	4
102	с его	9	4
103	и от	6	3
104	никак не	3	3
105	например в	3	3
106	говорит в	2	3
107	и к	6	3
108	с этим	3	3
109	так же	3	3
110	но как	3	3
111	и он	6	3
112	том как	5	3
113	вслед за	3	3
114	бы в	2	3
115	та или	4	3
116	в форме	2	3
117	в значительной	3	3
118	в конце	5	3
119	его в	5	3
120	тому как	4	3
121	если бы	7	3
122	подобно тому	4	3
123	а всего	2	3
124	как он	4	3
125	него в	2	3
126	как о	3	3
127	для того	3	3
128	что говорит	2	3
129	наблюдения и	2	3
130	как на	2	3
131	мы знаем	4	3
132	того что	5	3
133	нет и	2	3
134	что у	4	3
135	она не	6	3
136	а в	11	3
137	всего лишь	7	3
138	в котором	5	3
139	в творческом	3	3
140	в творчестве	4	3
141	именно в	9	3
142	точки зрения	7	3
143	со своим	5	3
144	а вот	2	3
145	между ними	2	3
146	или иная	4	3
147	человека и	4	3
148	что не	4	3
149	жизни и	10	3
150	того чтобы	6	3
151	что и	3	3
152	сводится к	7	3
153	и по	3	3
154	или в	3	3
155	что они	4	3
156	же и	3	3
157	вовсе не	2	3
158	не о	3	2
159	если в	4	2
160	да и	5	2
161	чтобы не	3	2
162	произведения не	4	2
163	на это	2	2
164	или иной	2	2
165	и потому	3	2
166	того или	4	2
167	как например	2	2
168	еще и	2	2
169	с другими	2	2
170	так сказать	3	2
171	о чем	9	2
172	одной стороны	4	2
173	можно было	6	2
174	при всей	3	2
175	должно быть	2	2
176	что она	10	2
177	о своем	2	2
178	в другом	3	2
179	а о	2	2
180	же о	2	2
181	этом и	2	2
182	и даже	4	2
183	и у	3	2
184	которая не	3	2
185	мысль о	2	2
186	а как	2	2
187	бы не	3	2
188	все они	2	2
189	и быть	4	2
190	только для	4	2
191	еще не	10	2
192	как у	2	2
193	начинается с	2	2
194	в которой	2	2
195	не по	2	2
196	начнем с	2	2
197	сих пор	3	2
198	с одной	4	2
199	же самое	4	2
200	что даже	2	2
201	из рассказа	4	2
202	то о	2	2
203	не с	2	2
204	одной из	5	2
205	в жизни	9	2
206	они и	2	2
207	том чтобы	2	2
208	но не	7	2
209	и для	5	2
210	ни с	2	2
211	не менее	9	2
212	на него	3	2
213	но в	6	2
214	они не	2	2
215	на то	4	2
216	он в	2	2
217	все его	3	2
218	знаем что	2	2
219	в своих	4	2
220	пока еще	3	2
221	ни одна	2	2
222	себе и	3	2
223	в ней	6	2
224	в сфере	2	2
225	будто бы	6	2
226	на вопрос	2	2
227	на этом	5	2
228	он и	2	2
229	не столько	4	2
230	с нею	2	2
231	только не	3	2
232	по себе	3	2
233	внимание на	3	2
234	человека в	10	2
235	же как	4	2
236	он сам	3	2
237	о его	2	2
238	говорить о	4	2
239	по его	4	2
240	только о	2	2
241	он не	8	2
242	и сам	3	2
243	но с	3	2
244	остановимся на	3	2
245	что при	3	2
246	как от	2	2
247	пародия на	4	2
248	который в	2	2
249	своих героев	2	2
250	хотя и	3	2
251	лишь в	5	2
252	до сих	3	2
253	в системе	2	2
