N	3gram	Propp_Isto	Tvorches
1	и т д	36	17
2	в том что	4	11
3	о том что	5	8
4	не может быть	6	6
5	по отношению к	2	5
6	до сих пор	7	4
7	точно так же	3	3
8	это значит что	2	3
9	как и в	4	3
10	с другой стороны	10	3
11	если не считать	2	3
12	тем не менее	6	2
13	на этот вопрос	2	2
14	в свою противоположность	2	2
15	потому что он	5	2
16	не только в	2	2
17	для того чтобы	3	2
18	это уже не	2	2
19	так и в	2	2
20	в связи с	6	2
21	том числе и	2	2
22	так как он	2	2
23	вместе с тем	7	2
24	так же как	10	2
25	но это не	2	2
26	в данном случае	2	2
27	в том числе	3	2
28	не потому что	2	2
29	что у него	2	2
