N	2gram	Propp_Isto	NovoeSre
1	а не	18	17
2	и в	40	16
3	не может	19	16
4	и не	19	11
5	и есть	5	10
6	в эпоху	2	9
7	что в	19	9
8	в том	12	8
9	он не	10	8
10	может быть	37	7
11	как и	5	7
12	в новой	2	7
13	в этом	13	7
14	никогда не	25	6
15	ни в	2	6
16	не в	11	6
17	не знает	7	6
18	но это	8	6
19	не только	28	5
20	в жизни	2	5
21	должен быть	3	5
22	все это	6	5
23	в нем	8	5
24	с ее	2	5
25	в ней	10	5
26	xix века	2	5
27	должно быть	2	4
28	со всех	4	4
29	в них	2	4
30	и для	5	4
31	всех сторон	4	4
32	прежде всего	15	4
33	не менее	7	4
34	не было	3	4
35	и потому	3	4
36	и мы	2	4
37	то что	17	4
38	о том	12	4
39	это не	8	4
40	потому что	12	4
41	большую роль	3	4
42	значит что	2	4
43	тому как	3	3
44	в прошлом	2	3
45	но и	21	3
46	к жизни	2	3
47	подобно тому	3	3
48	с другой	8	3
49	в ее	2	3
50	она не	6	3
51	к тому	6	3
52	и пр	11	3
53	что такое	3	3
54	в своей	2	3
55	еще не	14	3
56	к ним	4	3
57	в истории	2	3
58	эти формы	3	3
59	должна быть	5	3
60	как в	7	3
61	конечно не	2	3
62	не есть	2	3
63	сказать что	7	3
64	во всех	3	3
65	вопрос о	8	3
66	это было	2	3
67	не существует	2	3
68	наряду с	6	3
69	не означает	2	3
70	в основе	4	3
71	с тем	13	3
72	время как	3	2
73	зависит от	3	2
74	в себе	6	2
75	и должно	3	2
76	что она	10	2
77	как будто	7	2
78	и с	5	2
79	одна из	4	2
80	том чтобы	2	2
81	для этого	3	2
82	себя в	2	2
83	но не	7	2
84	и от	2	2
85	в русском	2	2
86	роль в	3	2
87	того чтобы	3	2
88	и это	2	2
89	хотя бы	5	2
90	когда мы	4	2
91	же как	7	2
92	а в	15	2
93	но в	13	2
94	том что	11	2
95	можно назвать	3	2
96	и на	6	2
97	с этим	5	2
98	и что	14	2
99	все эти	6	2
100	мы не	12	2
101	вот почему	2	2
102	можно было	8	2
103	у него	5	2
104	уже не	3	2
105	по существу	7	2
106	как это	6	2
107	другой стороны	7	2
108	так же	18	2
109	так и	13	2
110	ни к	3	2
111	могут быть	5	2
112	одной стороны	7	2
113	такой же	2	2
114	но она	2	2
115	в то	4	2
116	который в	2	2
117	не могла	2	2
118	века и	2	2
119	связана с	7	2
120	должно было	4	2
121	с одной	8	2
122	еще до	2	2
123	и даже	4	2
124	вместе с	13	2
125	я не	5	2
