N	2gram	Propp_Morf	SlovoVZh
1	не может	19	16
2	точки зрения	7	14
3	может быть	61	14
4	и его	3	13
5	как бы	6	13
6	и в	17	12
7	таким образом	26	12
8	в нашем	6	11
9	отношению к	7	11
10	по отношению	7	11
11	и не	16	10
12	так как	20	9
13	если бы	3	9
14	прежде всего	14	8
15	для нас	2	7
16	сказать что	4	7
17	в том	10	6
18	только в	3	6
19	как в	5	5
20	что мы	2	5
21	можно сказать	2	5
22	но в	4	5
23	том что	7	5
24	то же	10	5
25	как и	4	5
26	героя и	3	5
27	должна быть	2	5
28	хотя бы	5	5
29	а не	11	5
30	то что	10	5
31	и др	12	5
32	в этом	18	4
33	не только	8	4
34	на самом	4	4
35	его в	4	4
36	не в	3	4
37	ни было	2	4
38	с другой	9	4
39	все же	9	4
40	к нему	3	4
41	и к	4	4
42	так и	10	4
43	уже не	4	4
44	от того	4	4
45	в каком	2	3
46	о том	6	3
47	и для	4	3
48	или не	3	3
49	он должен	3	3
50	ни в	3	3
51	все эти	5	3
52	к герою	3	3
53	бы то	3	3
54	то ни	3	3
55	так же	4	3
56	мы не	8	3
57	еще не	4	3
58	здесь не	3	3
59	все это	2	3
60	и ее	5	3
61	в некоторых	4	3
62	между тем	5	3
63	но для	3	3
64	не менее	7	3
65	быть и	2	3
66	в пределах	3	3
67	и по	3	3
68	самом деле	4	3
69	и пр	45	3
70	того что	3	3
71	тем не	7	3
72	с героем	2	3
73	и более	2	3
74	но и	9	3
75	для него	2	3
76	ясно что	5	3
77	и дает	2	2
78	данном случае	2	2
79	и здесь	7	2
80	что в	10	2
81	не так	2	2
82	как уже	3	2
83	ничего не	5	2
84	с его	3	2
85	что и	10	2
86	это не	6	2
87	кроме того	3	2
88	там где	5	2
89	с точки	6	2
90	форма в	3	2
91	она не	2	2
92	но все	4	2
93	в данном	2	2
94	но мы	3	2
95	с другими	2	2
96	независимо от	4	2
97	действия и	2	2
98	мы имеем	19	2
99	и что	3	2
100	в то	4	2
101	себя и	2	2
102	с этой	3	2
103	в этих	17	2
104	одной стороны	2	2
105	и другие	6	2
106	но это	6	2
107	в настоящее	3	2
108	он не	5	2
109	в какой	3	2
110	как же	3	2
111	оно не	2	2
112	имеем в	8	2
113	но не	8	2
114	как это	7	2
115	если же	5	2
116	мы можем	5	2
117	могут быть	21	2
118	в чем	2	2
119	между собой	5	2
120	и подобные	2	2
121	в форме	6	2
122	настоящее время	3	2
123	с одной	2	2
124	к этому	4	2
125	другой стороны	5	2
126	на него	4	2
