N	2gram	Tiupa_Narr	Sovremen
1	не может	10	17
2	точки зрения	10	12
3	может быть	25	12
4	и в	19	7
5	в этом	17	7
6	и не	20	6
7	ничего не	2	6
8	как и	7	6
9	в результате	2	6
10	с точки	2	5
11	все эти	2	5
12	прежде всего	4	5
13	нет и	2	4
14	это не	2	4
15	не только	32	4
16	в том	18	4
17	как бы	4	4
18	точку зрения	4	4
19	жизни и	3	4
20	а в	11	4
21	из них	3	4
22	и т.д	7	3
23	может не	3	3
24	когда мы	2	3
25	и потому	2	3
26	но в	6	3
27	при этом	9	3
28	из двух	3	3
29	не в	14	3
30	все же	7	3
31	было бы	4	3
32	в области	2	3
33	уже в	3	3
34	в себе	8	3
35	еще не	7	3
36	одна из	3	3
37	и все	2	3
38	в нем	4	3
39	между собой	2	3
40	а не	12	3
41	в первом	3	3
42	в этой	5	3
43	то же	4	3
44	отличается от	4	3
45	отнюдь не	5	3
46	но все	4	2
47	роль в	2	2
48	не менее	3	2
49	в третьем	3	2
50	в его	9	2
51	такого рода	7	2
52	приводит к	2	2
53	свою очередь	3	2
54	из этих	3	2
55	она может	2	2
56	и есть	2	2
57	что в	3	2
58	времени и	7	2
59	совершенно не	2	2
60	все те	4	2
61	в таком	2	2
62	у него	4	2
63	самом деле	2	2
64	уже не	5	2
65	в свою	3	2
66	то ни	3	2
67	первые два	2	2
68	могут быть	3	2
69	в отличие	5	2
70	отличие от	5	2
71	с одной	7	2
72	как мы	3	2
73	говорить о	2	2
74	что это	3	2
75	или иной	5	2
76	тем не	3	2
77	из которых	4	2
78	как известно	2	2
79	и даже	3	2
