N	2gram	Potebnia_M	FransuaR
1	и в	48	367
2	то есть	53	209
3	в этом	19	112
4	и не	28	101
5	таким образом	24	100
6	и его	4	99
7	в его	6	98
8	прежде всего	6	92
9	не только	32	87
10	мы уже	5	85
11	но и	30	84
12	как бы	10	82
13	вовсе не	13	77
14	как и	22	76
15	в нем	16	75
16	но в	8	75
17	и на	5	72
18	в том	47	71
19	как мы	8	71
20	то же	35	66
21	и все	5	66
22	так и	17	65
23	в этой	3	65
24	в них	9	65
25	в сущности	3	64
26	и с	4	64
27	во время	4	63
28	в то	16	63
29	все это	4	62
30	же время	8	55
31	что в	30	52
32	в своем	6	51
33	только в	29	48
34	так как	20	46
35	и до	2	46
36	том что	28	45
37	то что	37	41
38	жизни и	3	40
39	у него	3	40
40	в самом	11	38
41	точки зрения	4	37
42	в ней	11	37
43	может быть	46	35
44	мы видим	3	35
45	о том	7	35
46	сказать что	8	34
47	и даже	3	34
48	в себе	26	34
49	рядом с	2	32
50	он не	4	32
51	мы видели	5	32
52	для него	14	32
53	в своей	2	31
54	так же	6	30
55	тела и	2	30
56	никогда не	2	30
57	и потому	9	30
58	той же	6	30
59	один из	7	30
60	потому что	82	30
61	но он	3	30
62	в этих	2	29
63	не может	18	29
64	еще не	9	29
65	его в	6	29
66	не в	24	29
67	при этом	6	29
68	в одном	4	29
69	связи с	6	29
70	что он	8	29
71	из них	11	28
72	в той	2	28
73	эти образы	2	28
74	и к	5	28
75	сих пор	4	27
76	по своему	2	27
77	до сих	4	27
78	и их	4	27
79	все же	3	27
80	на самом	4	25
81	в области	3	25
82	но это	9	25
83	отношение к	2	24
84	того чтобы	5	24
85	в ее	3	24
86	и от	5	24
87	например в	9	24
88	но не	8	24
89	в большинстве	2	24
90	как в	17	24
91	времени и	2	24
92	этот образ	7	24
93	так сказать	6	23
94	это не	2	23
95	в их	2	23
96	с ним	10	23
97	и здесь	3	23
98	есть и	3	23
99	к нему	7	23
100	большинстве случаев	2	23
101	и о	6	22
102	связь с	4	22
103	даже в	3	22
104	а в	14	22
105	что и	16	22
106	там где	6	22
107	и других	3	22
108	тем что	13	22
109	вместе с	22	22
110	не было	12	22
111	именно в	5	21
112	в своих	2	21
113	что это	6	21
114	и наконец	3	21
115	ни в	2	21
116	одним из	3	21
117	есть в	6	21
118	и как	8	21
119	уже в	10	21
120	образов и	2	20
121	в образе	4	20
122	одной из	3	20
123	этом отношении	2	20
124	с точки	3	20
125	самом деле	5	20
126	и это	6	20
127	в форме	2	19
128	того же	5	19
129	их в	3	19
130	во всем	2	19
131	хотя и	3	19
132	к этому	3	19
133	в ту	2	19
134	в эту	4	19
135	было бы	16	19
136	за пределы	2	19
137	далеко не	5	19
138	с другой	8	19
139	это в	2	18
140	на мир	2	18
141	превращается в	3	18
142	это и	2	18
143	перед нами	3	18
144	для того	8	17
145	но все	2	17
146	того что	24	17
147	на его	4	17
148	конечно не	2	17
149	а не	22	17
150	в большей	3	17
151	между тем	19	16
152	тот же	2	16
153	не подлежит	2	16
154	влияние на	3	16
155	в начале	3	16
156	между ними	4	16
157	с образами	2	16
158	с одной	8	16
159	одно из	6	15
160	в истории	2	15
161	никто не	5	15
162	и вообще	4	15
163	мысли и	8	15
164	как на	6	15
165	в которой	9	15
166	не были	4	15
167	из этих	10	15
168	мы не	17	14
169	все что	4	14
170	в данном	3	14
171	в более	4	14
172	несмотря на	2	14
173	и по	5	14
174	в чем	6	14
175	в котором	7	14
176	здесь только	4	14
177	образом в	4	14
178	на них	2	14
179	так в	4	13
180	отличие от	2	13
181	что все	5	13
182	на языке	2	13
183	это было	3	13
184	в других	3	13
185	или в	4	13
186	с этим	12	13
187	бы в	3	13
188	в мире	3	13
189	и есть	4	13
190	и эта	2	13
191	в известной	3	13
192	его к	2	13
193	на все	3	13
194	только на	4	13
195	одной стороны	4	13
196	не знает	4	13
197	лишь в	2	12
198	только для	3	12
199	у нас	2	12
200	не могут	7	12
201	все то	3	12
202	в народной	2	12
203	те же	6	12
204	в приведенном	3	12
205	та же	3	12
206	место в	4	12
207	можно сказать	4	12
208	другой стороны	4	12
209	об этом	4	12
210	но этот	2	12
211	так например	3	11
212	и более	4	11
213	в свое	2	11
214	он говорит	3	11
215	того как	10	11
216	формы и	2	11
217	уже не	11	11
218	и что	13	11
219	в системе	2	11
220	другими словами	3	11
221	слова и	8	11
222	между собою	13	11
223	в течение	2	11
224	время в	3	11
225	с ними	6	11
226	что они	2	11
227	данном случае	3	10
228	образом и	3	10
229	здесь как	3	10
230	значительной степени	2	10
231	на котором	4	10
232	для понимания	5	10
233	все остальные	3	10
234	там же	8	10
235	в процессе	2	10
236	человека и	8	10
237	в таких	4	10
238	к тому	9	10
239	его как	3	10
240	целый ряд	2	10
241	нас в	3	10
242	что для	5	10
243	по отношению	12	10
244	в целом	5	10
245	да и	2	10
246	все его	2	10
247	но оно	6	10
248	еще раз	2	9
249	что не	12	9
250	именно на	2	9
251	относится к	6	9
252	но как	2	9
253	связано с	2	9
254	в разных	4	9
255	и то	13	9
256	отношению к	10	9
257	для нас	40	9
258	между людьми	2	9
259	том же	2	9
260	что на	3	9
261	не имеет	10	9
262	в которых	5	9
263	же в	3	9
264	мы можем	13	9
265	о котором	2	9
