N	2gram	Tiupa_Hudo	UchenyiS
1	и в	34	14
2	не только	22	10
3	а не	23	10
4	и не	15	8
5	прежде всего	12	8
6	то что	13	7
7	не может	10	7
8	в этом	22	7
9	может быть	12	6
10	и только	2	5
11	то же	14	5
12	хотя бы	2	5
13	все это	2	5
14	в художественном	6	5
15	в конечном	5	4
16	но и	13	4
17	в этой	11	4
18	конечном счете	4	4
19	с другой	4	4
20	в их	2	4
21	не о	3	3
22	в частности	10	3
23	и т.д	3	3
24	не следует	2	3
25	это не	12	3
26	и то	2	3
27	в своей	15	3
28	все же	5	3
29	не как	3	3
30	как и	16	3
31	в то	12	3
32	но в	6	3
33	же время	11	3
34	по нашему	3	3
35	было бы	8	3
36	то ни	2	3
37	для него	15	3
38	в самом	7	2
39	в себе	19	2
40	и у	3	2
41	о чем	9	2
42	же не	3	2
43	нас в	2	2
44	же самое	4	2
45	что он	14	2
46	к области	2	2
47	но не	7	2
48	и для	5	2
49	если бы	7	2
50	более чем	2	2
51	не все	2	2
52	между тем	14	2
53	самом деле	6	2
54	только в	8	2
55	в противовес	2	2
56	а его	3	2
57	что она	10	2
58	ничего не	11	2
59	и с	10	2
60	не случайно	14	2
61	что и	3	2
62	а между	4	2
63	это было	2	2
64	превращается в	6	2
65	сих пор	3	2
66	по себе	3	2
67	тем что	6	2
68	том что	31	2
69	а как	2	2
70	в сторону	2	2
71	в его	17	2
72	это уже	2	2
73	сводится к	7	2
74	все они	2	2
75	в том	24	2
76	что все	3	2
77	этом отношении	4	2
78	с его	9	2
79	как раз	7	2
80	представляется нам	3	2
81	его и	2	2
82	а о	2	2
83	но это	2	2
84	не в	16	2
85	бы и	2	2
86	нам представляется	3	2
87	в конце	5	2
88	в системе	2	2
89	мы не	2	2
90	до сих	3	2
91	не столько	4	2
