N	2gram	Berdyaev_N	Tragedij
1	и в	16	18
2	в этом	7	9
3	не только	5	8
4	и не	11	7
5	и на	2	7
6	и с	2	7
7	может быть	7	7
8	но в	2	6
9	у него	2	6
10	к жизни	3	5
11	это не	4	5
12	как и	7	5
13	так и	2	5
14	не может	16	5
15	в то	2	5
16	что в	9	4
17	еще не	3	4
18	но и	3	4
19	прежде всего	4	4
20	том что	2	4
21	и что	2	4
22	так же	2	4
23	и все	4	4
24	все это	5	4
25	в нем	5	4
26	то что	4	4
27	но это	6	4
28	я не	2	4
29	и даже	2	4
30	в себе	2	4
31	в мире	3	3
32	все эти	2	3
33	с ее	5	3
34	как будто	2	3
35	должно быть	4	3
36	как в	3	3
37	как это	2	3
38	никогда не	6	2
39	с тем	3	2
40	одна из	2	2
41	вопрос о	3	2
42	в русском	2	2
43	не имеет	4	2
44	в ее	3	2
45	что все	2	2
46	к тому	3	2
47	о том	4	2
48	ни в	6	2
49	не в	6	2
50	потому что	4	2
51	он не	8	2
52	уже не	2	2
53	что она	2	2
54	не человек	2	2
55	и это	2	2
56	права на	2	2
57	в том	8	2
58	который в	2	2
59	с его	6	2
60	времени в	2	2
