N	2gram	Tiupa_Anal	Myslijsy
1	потому что	3	182
2	то есть	19	142
3	и в	30	121
4	может быть	33	107
5	в том	36	103
6	то что	11	83
7	что в	7	73
8	и не	33	73
9	только в	8	72
10	не только	30	67
11	а не	25	67
12	таким образом	5	64
13	том что	21	59
14	так как	3	59
15	в этом	31	59
16	но и	29	59
17	то же	12	56
18	не в	17	54
19	если бы	6	53
20	в себе	17	53
21	не может	26	52
22	по себе	6	52
23	того что	5	47
24	в сознании	6	46
25	в нем	3	45
26	было бы	4	45
27	не есть	8	42
28	как и	23	42
29	так что	3	39
30	вместе с	6	39
31	что и	5	38
32	так и	16	37
33	при этом	20	37
34	как в	3	37
35	тогда когда	3	36
36	что мы	3	36
37	тем что	2	33
38	и что	2	32
39	по отношению	10	30
40	а в	11	30
41	но не	13	29
42	что не	3	29
43	между тем	7	29
44	вовсе не	4	28
45	для него	5	28
46	могут быть	12	27
47	и т	3	26
48	то и	2	26
49	независимо от	2	26
50	язык есть	2	26
51	отношению к	9	26
52	душевной жизни	3	25
53	языка и	2	25
54	этого слова	10	25
55	в то	10	24
56	как бы	15	23
57	но в	11	22
58	с другой	7	22
59	и потому	2	21
60	не менее	5	21
61	в одном	3	20
62	это не	7	20
63	мысль о	2	20
64	тем самым	9	19
65	и как	6	19
66	с ним	6	19
67	есть не	9	19
68	и то	4	19
69	сказать что	2	19
70	из этих	2	19
71	должно быть	2	19
72	тем не	3	19
73	о том	11	19
74	того же	7	19
75	для того	4	18
76	еще не	5	18
77	не могут	3	18
78	тогда как	30	18
79	по поводу	4	18
80	бы не	3	18
81	в самом	12	18
82	в таком	5	18
83	в его	15	17
84	по крайней	4	17
85	крайней мере	4	17
86	со стороны	5	17
87	точки зрения	10	17
88	в своем	2	16
89	к тому	12	16
90	и наоборот	3	16
91	в которой	3	16
92	на то	2	16
93	и на	10	16
94	и по	2	15
95	стало быть	2	15
96	в этих	3	15
97	с одной	7	15
98	думать что	2	15
99	тому как	5	15
100	в ряду	2	15
101	и тем	4	15
102	что он	3	15
103	прежде всего	8	15
104	быть может	2	15
105	с другими	4	15
106	уже не	6	15
107	мы должны	2	14
108	в действительности	2	14
109	связи с	2	14
110	то в	2	14
111	столь же	7	14
112	в котором	5	14
113	все же	4	14
114	во всех	5	14
115	бы ни	2	14
116	же время	7	14
117	что все	2	13
118	и все	5	13
119	те же	3	13
120	не следует	6	13
121	т п	3	13
122	из них	2	13
123	и его	9	13
124	никогда не	4	12
125	от него	2	12
126	одно из	2	12
127	что же	3	12
128	что на	3	12
129	все это	2	12
130	как мы	3	12
131	есть в	4	12
132	тем более	2	12
133	или менее	2	12
134	в чем	2	12
135	хотя и	4	12
136	другой стороны	2	12
137	более или	2	12
138	для человека	2	11
139	в силу	4	11
140	той же	4	11
141	того чтобы	3	11
142	в первом	3	11
143	только на	3	11
144	только для	3	11
145	все что	3	11
146	и если	2	11
147	и их	2	11
148	его в	2	11
149	если не	2	11
150	к нему	4	11
151	речи и	2	11
152	сами по	3	11
153	подобно тому	5	11
154	быть не	3	11
155	одной стороны	6	10
156	бы быть	3	10
157	и для	3	10
158	хотя бы	4	10
159	тому что	2	10
160	в словах	2	10
161	бы в	3	10
162	он не	4	10
163	и с	2	10
164	что как	3	10
165	и есть	3	10
166	вопрос о	2	9
167	таком случае	5	9
168	могли бы	2	9
169	не будет	3	9
170	никто не	3	9
171	не все	3	9
172	и даже	10	9
173	на него	3	9
174	себе не	2	9
175	и о	3	9
176	далеко не	6	9
177	с точки	6	9
178	и того	5	9
179	самом деле	3	9
180	один из	4	9
181	в целом	9	9
182	можно сказать	6	9
183	одного и	2	9
184	ко всем	2	9
185	на самом	2	8
186	при помощи	2	8
187	на вопрос	5	8
188	что даже	2	8
189	так например	2	8
190	тот же	2	8
191	одно и	2	8
192	не как	2	8
193	и слово	2	8
194	все равно	2	8
195	и более	5	8
196	именно в	6	8
197	только не	6	8
198	внимание на	3	8
199	вслед за	3	8
200	говоря о	2	8
201	была бы	4	8
202	на все	2	8
203	с ними	2	8
204	этом случае	4	8
205	и тогда	3	8
206	не так	3	8
207	по его	2	8
208	художественное произведение	5	8
209	говорить о	3	8
210	или в	2	8
211	но мы	2	7
212	к другим	2	7
213	для себя	3	7
214	а как	4	7
215	том же	2	7
216	в искусстве	2	7
217	в эту	3	7
218	и та	2	7
219	и во	3	7
220	себя и	5	7
221	место в	3	7
222	или не	2	7
223	все эти	3	7
224	в собственном	3	7
225	за пределы	6	7
226	и тот	2	7
227	за ним	2	7
228	за собою	3	7
229	превращается в	3	7
230	с этой	2	7
231	не более	4	7
232	его к	3	7
233	что именно	2	7
234	не всегда	4	7
235	тем как	2	7
236	на котором	3	7
237	на себе	3	7
238	могла бы	3	7
239	в данном	6	7
240	на это	2	7
241	к этому	2	7
242	не с	8	7
243	этом смысле	3	7
244	несмотря на	5	7
245	в виду	2	6
246	как он	4	6
247	в один	4	6
248	что ни	2	6
249	на его	4	6
250	она есть	2	6
251	в ее	2	6
252	в своей	7	6
253	в этой	12	6
254	вопрос об	3	6
255	никак не	2	6
256	в мире	14	6
257	при таком	2	6
258	художественного произведения	6	6
259	в речи	3	6
260	прежде чем	2	6
261	то он	3	6
262	из виду	3	6
263	и к	5	6
264	в их	8	6
265	себе в	2	6
266	между двумя	7	6
267	и до	3	6
268	в сущности	10	6
269	я как	2	6
270	да и	2	6
271	ни было	4	6
272	а именно	3	6
273	же самое	3	6
274	заключается в	2	6
275	у него	5	6
276	лишь в	12	6
277	мы уже	2	6
278	и сами	2	6
279	из того	5	5
280	в процессе	2	5
281	для нее	2	5
282	вообще и	2	5
283	от своего	3	5
284	а с	3	5
285	на которую	2	5
286	состоит в	16	5
287	не говоря	2	5
288	однако в	4	5
289	произведении искусства	3	5
290	если в	3	5
291	нет ничего	2	5
292	с другим	5	5
293	отношение к	2	5
294	том чтобы	7	5
295	на которой	2	5
296	в нашем	3	5
297	даже в	5	5
298	отношения между	2	5
299	в области	4	5
300	что может	2	5
301	как предмет	4	5
302	в произведении	7	5
303	ответ на	3	5
304	не столько	5	5
305	слов и	2	5
306	но при	2	5
307	мы имеем	9	5
308	в начале	3	5
309	времени и	7	5
310	одним из	3	5
311	в какой	3	5
312	на этот	2	5
313	субъекта и	4	5
314	в той	8	5
315	не к	3	5
316	данном случае	3	4
317	иное как	6	4
318	не что	5	4
319	в другом	4	4
320	к своему	2	4
321	в такой	2	4
322	в поэзии	2	4
323	то ни	3	4
324	том и	2	4
325	его как	3	4
326	все они	2	4
327	более чем	4	4
328	что иное	6	4
329	не мог	3	4
330	он может	2	4
331	ни в	5	4
332	собственно говоря	6	4
333	из этого	2	4
334	или даже	3	4
335	не вполне	2	4
336	ничего не	10	4
337	проявляется в	4	4
338	не знает	4	4
339	же нам	2	4
340	он в	5	4
341	ему в	3	4
342	нам не	2	4
343	одного из	4	4
344	этой точки	2	4
345	в связи	2	4
346	бы то	3	4
347	имеет место	6	4
348	с его	3	4
349	нашего времени	3	4
350	внешнего мира	2	4
351	бытия и	2	4
352	и действия	2	4
353	этом отношении	5	4
354	такой же	3	4
355	ведет к	3	4
356	что касается	4	4
357	на этом	4	4
358	со своим	4	4
359	не говорит	2	4
360	я и	8	4
361	только одно	2	4
362	отношения к	4	4
363	взгляд на	2	4
364	ни о	3	3
365	бы с	2	3
366	она может	3	3
367	в отношении	2	3
368	должен быть	6	3
369	это только	2	3
370	от себя	4	3
371	отличие от	8	3
372	может иметь	2	3
373	одной из	2	3
374	к самому	2	3
375	в известном	2	3
376	и состоит	5	3
377	для этого	2	3
378	во внутренней	2	3
379	деле в	2	3
380	на каждом	2	3
381	и наконец	2	3
382	ни с	5	3
383	я в	5	3
384	теми же	2	3
385	в новом	2	3
386	как будто	6	3
387	в себя	8	3
388	которые в	3	3
389	даже не	2	3
390	другому в	2	3
391	первом случае	2	3
392	в свое	3	3
393	как это	5	3
394	дело с	5	3
395	а то	3	3
396	здесь не	2	3
397	человек и	2	3
398	случае не	2	3
399	в двух	4	3
400	для обозначения	2	3
401	нас самих	2	3
402	в результате	3	3
403	из своих	2	3
404	как о	2	3
405	ее в	2	3
406	или иначе	2	3
407	не дано	3	3
408	служит для	2	3
409	однако не	4	3
410	свое время	3	2
411	из трех	2	2
412	во времени	6	2
413	в полном	2	2
414	роль в	3	2
415	и эти	2	2
416	ни одно	2	2
417	следует что	2	2
418	времени в	4	2
419	которая в	3	2
420	произведение в	2	2
421	же не	3	2
422	исходя из	5	2
423	и самого	3	2
424	того и	5	2
425	который в	3	2
426	не сами	2	2
427	если они	2	2
428	какой бы	2	2
429	по выражению	4	2
430	в первой	2	2
431	с их	2	2
432	речи в	3	2
433	во второй	3	2
434	сознания в	4	2
435	по своей	6	2
436	тому же	6	2
437	как язык	2	2
438	так у	4	2
439	другого в	3	2
440	со своей	2	2
441	раз и	2	2
442	при всей	4	2
443	каждый из	3	2
444	нуждается в	9	2
445	в субъекте	2	2
446	быть признано	2	2
447	значении этого	8	2
448	вопроса о	4	2
449	с двумя	2	2
450	едва ли	4	2
451	что из	2	2
452	как совокупность	2	2
453	нам представляется	2	2
454	и за	3	2
455	может ли	2	2
456	его от	3	2
457	произведений искусства	2	2
458	о нем	4	2
459	может и	2	2
460	только с	2	2
461	может служить	3	2
462	не имея	2	2
463	упускать из	2	2
464	для чего	2	2
465	а скорее	2	2
466	этой связи	2	2
467	и другого	4	2
468	о его	5	2
469	из его	2	2
470	я не	2	2
471	на лице	2	2
472	а напротив	3	2
473	в противоположность	4	2
474	и представляет	4	2
475	всех этих	2	2
476	себя в	8	2
477	дело не	5	2
478	от которого	4	2
479	с ее	2	2
480	научного анализа	2	2
481	на наш	6	2
482	отличается от	3	2
483	тут же	2	2
484	и сам	4	2
485	его и	3	2
486	человека к	4	2
487	нет и	2	2
488	оно может	3	2
489	ключ к	2	2
490	к его	3	2
491	в устах	2	2
492	произведения искусства	3	2
493	переходит от	2	2
494	из которых	4	2
495	всякий раз	3	2
496	не могу	2	2
497	или точнее	2	2
498	то его	2	2
499	жизни но	3	2
500	этих случаях	2	2
501	имеем дело	7	2
