N	3gram	Bakhtin_Pr	KulturaY
1	и т п	13	93
2	для того чтобы	2	38
3	с точки зрения	6	36
4	в том что	3	33
5	в самом деле	3	29
6	можно было бы	3	25
7	тем не менее	3	19
8	с другой стороны	4	17
9	по отношению к	19	13
10	в этом отношении	2	11
11	не может быть	11	11
12	в этом смысле	3	10
13	того или иного	2	9
14	на самом деле	3	8
15	не только в	2	8
16	с одной стороны	3	7
17	в то же	3	6
18	той или иной	2	6
19	то же время	3	6
20	в отличие от	5	6
21	то или иное	2	5
22	так и в	2	5
23	в данном случае	4	5
24	в конечном счете	4	4
25	и в области	2	4
26	в иных случаях	3	4
27	в противном случае	3	3
28	языка в его	2	3
29	в лучшем случае	2	3
30	не могут быть	2	3
31	в какой мере	2	3
32	между тем как	5	2
33	и прежде всего	5	2
34	бы то ни	3	2
35	в применении к	3	2
36	в строгом смысле	2	2
37	в большинстве случаев	5	2
38	может быть только	3	2
39	можно говорить и	2	2
40	можно сказать что	2	2
41	и в то	2	2
42	говорить и о	2	2
43	формы и содержания	2	2
