N	2gram	Bakhtin_KF	OGranits
1	и в	28	13
2	и его	18	12
3	прежде всего	4	9
4	и не	28	8
5	не может	29	8
6	может быть	45	8
7	в его	42	7
8	и пр	3	7
9	и их	6	7
10	точки зрения	13	7
11	не только	5	6
12	как бы	9	6
13	только в	18	6
14	то что	7	6
15	и т.д	4	5
16	все же	5	5
17	с точки	10	5
18	и эта	2	5
19	но ведь	5	5
20	хотя бы	5	5
21	в процессе	2	5
22	но в	5	4
23	лишь в	8	4
24	то же	5	4
25	в сознании	2	4
26	в своей	11	4
27	все это	10	4
28	было бы	8	4
29	мы не	3	4
30	в каждом	3	4
31	никогда не	5	3
32	и для	10	3
33	и то	2	3
34	и все	9	3
35	в ее	17	3
36	отношению к	22	3
37	как и	5	3
38	не в	13	3
39	в их	9	3
40	говорить о	2	3
41	ничего общего	2	3
42	в себе	21	3
43	что в	4	3
44	по отношению	26	3
45	но для	3	3
46	самом деле	3	3
47	так и	2	3
48	не как	4	3
49	в одном	5	3
50	здесь мы	4	3
51	но и	9	3
52	могут быть	3	2
53	может иметь	2	2
54	конечно в	2	2
55	в этом	15	2
56	для себя	7	2
57	кажется что	2	2
58	в том	6	2
59	тем что	3	2
60	в целом	10	2
61	если бы	8	2
62	от этого	2	2
63	думать что	2	2
64	не имеет	6	2
65	или иного	3	2
66	всей своей	2	2
67	там где	5	2
68	а в	5	2
69	и тем	3	2
70	том что	4	2
71	того или	3	2
72	а как	2	2
73	в данном	2	2
74	не менее	3	2
75	с ними	4	2
76	все эти	11	2
77	в области	2	2
78	что эта	2	2
79	и может	3	2
80	в своих	4	2
81	его на	2	2
82	в нем	32	2
83	при этом	4	2
84	сознания и	3	2
85	и ее	2	2
86	а не	17	2
87	во всей	4	2
88	в ней	3	2
89	входит в	4	2
90	как в	2	2
91	во всем	7	2
92	между тем	4	2
93	мы получим	2	2
94	и этот	3	2
95	в чем	4	2
96	на язык	3	2
97	соответствии с	2	2
98	тот же	3	2
99	ни одно	5	2
100	в другом	3	2
101	вовсе не	7	2
102	для него	13	2
