N	2gram	Ircho_Kome	Stilisti
1	и в	37	42
2	как бы	7	30
3	не только	13	28
4	прежде всего	7	22
5	хотя бы	5	18
6	то же	14	16
7	но и	18	16
8	и не	28	14
9	не может	9	13
10	может быть	14	13
11	как и	10	12
12	точки зрения	8	11
13	что мы	4	11
14	в себе	4	10
15	и как	3	10
16	отнюдь не	5	10
17	в этом	18	10
18	как мы	6	10
19	в то	14	9
20	для того	9	9
21	все же	9	9
22	то что	5	9
23	при этом	11	9
24	мы не	6	9
25	ничего не	6	8
26	так как	16	8
27	и это	4	8
28	с тем	6	8
29	в ней	7	8
30	что же	2	8
31	таким образом	16	8
32	с его	6	8
33	никогда не	5	7
34	и от	3	7
35	в которой	6	7
36	мы можем	7	7
37	же время	12	7
38	так и	4	7
39	потому что	19	7
40	только в	3	7
41	а не	5	7
42	и на	6	7
43	того чтобы	9	7
44	было бы	7	7
45	и его	10	7
46	той же	2	7
47	и тем	4	7
48	бы в	5	6
49	во всех	4	6
50	не в	7	6
51	в области	3	6
52	в конце	14	6
53	в нем	8	6
54	в свою	12	6
55	на его	5	6
56	в его	12	6
57	в этой	7	6
58	с помощью	4	6
59	все время	3	5
60	независимо от	4	5
61	не является	5	5
62	самом деле	13	5
63	как это	5	5
64	а с	2	5
65	но все	5	5
66	тому что	5	5
67	а в	12	5
68	но в	7	5
69	в самом	17	5
70	и с	5	5
71	уже в	3	5
72	в той	2	5
73	с точки	6	5
74	же самое	3	5
75	вместе с	16	5
76	да и	3	4
77	слов в	2	4
78	в одном	3	4
79	человека не	2	4
80	так же	8	4
81	на это	3	4
82	само собой	5	4
83	его в	9	4
84	на него	6	4
85	если бы	18	4
86	свою очередь	10	4
87	к своему	4	4
88	которой мы	2	4
89	самого начала	5	4
90	можно было	3	4
91	один из	6	4
92	и все	6	4
93	в каждом	3	4
94	с самого	5	4
95	к тому	11	4
96	о том	21	4
97	если мы	2	4
98	и к	4	4
99	в целом	4	4
100	мы видим	2	4
101	было в	2	4
102	все это	7	4
103	в качестве	4	4
104	себя в	3	4
105	как только	2	4
106	и без	2	4
107	тем же	3	4
108	сказать что	4	3
109	это не	3	3
110	но при	2	3
111	том что	22	3
112	нуждается в	2	3
113	в начале	5	3
114	в тех	4	3
115	и эта	2	3
116	и поэтому	5	3
117	об этом	12	3
118	и даже	6	3
119	от того	2	3
120	то мы	2	3
121	и здесь	11	3
122	целый ряд	5	3
123	в устах	2	3
124	роль в	3	3
125	конце концов	3	3
126	во второй	2	3
127	в виду	3	3
128	в том	24	3
129	в частности	4	3
130	еще не	10	3
131	совершенно не	2	3
132	его и	3	3
133	как в	4	3
134	и вот	3	3
135	чаще всего	2	3
136	этих слов	2	3
137	не знает	7	3
138	не с	2	3
139	по своему	3	3
140	не так	4	3
141	и для	7	3
142	нет и	4	3
143	что у	2	3
144	в котором	6	3
145	их в	3	3
146	в голову	2	3
147	должно было	3	3
148	ответ на	7	3
149	выражение в	3	3
150	если не	7	3
151	между ними	4	3
152	из которых	7	3
153	не будет	2	3
154	главным образом	2	3
155	из них	11	3
156	если он	3	3
157	для нас	7	3
158	представить себе	2	3
159	хотя и	6	3
160	несмотря на	7	3
161	что и	12	3
162	в ее	3	3
163	мы в	3	3
164	конечно не	4	3
165	связи с	5	3
166	перед ним	4	3
167	до того	4	3
168	отношения к	2	3
169	этом случае	2	3
170	между тем	6	3
171	в основе	3	3
172	не мог	2	3
173	до конца	4	2
174	в отношении	4	2
175	для этого	3	2
176	вопрос о	2	2
177	и потому	2	2
178	как например	2	2
179	с этим	5	2
180	с другими	2	2
181	мы имеем	4	2
182	нет ничего	4	2
183	из этих	2	2
184	человека и	2	2
185	в первой	3	2
186	времени и	2	2
187	к этому	11	2
188	по отношению	6	2
189	должны были	2	2
190	мы найдем	3	2
191	отношение к	7	2
192	ли не	6	2
193	друг друга	7	2
194	должен быть	2	2
195	а на	3	2
196	я и	2	2
197	тем что	12	2
198	человека в	4	2
199	бы не	3	2
200	этом отношении	2	2
201	из двух	3	2
202	в их	5	2
203	том же	2	2
204	да еще	3	2
205	не всегда	2	2
206	в этих	2	2
207	что он	15	2
208	по своей	2	2
209	ничем не	4	2
210	и сам	11	2
211	которого и	2	2
212	теперь же	3	2
213	отношению к	4	2
214	сих пор	12	2
215	его не	3	2
216	в пределах	3	2
217	в какой	4	2
218	при всем	5	2
219	себе в	6	2
220	чуть ли	2	2
221	одной из	4	2
222	в мире	2	2
223	на этот	6	2
224	но не	9	2
225	материал для	2	2
226	к нему	8	2
227	тому же	11	2
228	прежде чем	4	2
229	он говорит	3	2
230	равно как	7	2
231	в своих	4	2
232	еще более	4	2
233	с собой	4	2
234	либо в	4	2
235	этот вопрос	2	2
236	в которых	7	2
237	не говоря	2	2
238	однако в	5	2
239	представляет собой	5	2
240	между собой	5	2
241	и он	5	2
242	о чем	11	2
243	роль играет	2	2
244	собой разумеется	3	2
245	человека с	2	2
246	не было	6	2
247	как не	2	2
248	между двумя	2	2
249	и когда	2	2
250	здесь не	2	2
251	и жизнь	2	2
252	в своей	6	2
253	в связи	4	2
254	таким же	2	2
255	был бы	4	2
256	войти в	2	2
257	он не	11	2
258	друг другу	3	2
259	в дальнейшем	5	2
260	с ним	10	2
261	тот же	11	2
262	вовсе не	6	2
263	ясно что	12	2
