N	3gram	Losev_Dial	FransuaR
1	в то же	3	55
2	то же время	3	55
3	в том что	12	27
4	в этом отношении	2	20
5	с точки зрения	25	20
6	о том что	6	17
7	в связи с	3	16
8	и прежде всего	6	14
9	не может быть	12	13
10	с одной стороны	3	13
11	мы уже сказали	2	12
12	с другой стороны	3	12
13	и в то	2	12
14	как и все	5	11
15	той или иной	2	10
16	в данном случае	3	10
17	как и в	3	10
18	мы видим что	2	9
19	в чем же	2	7
20	на первый план	4	7
21	в самом деле	6	7
22	подобно тому как	5	7
23	о том как	2	7
24	в то время	6	7
25	к тому же	2	6
26	во всяком случае	3	5
27	это и есть	4	5
28	не было ни	2	5
29	и в частности	2	5
30	одной и той	4	4
31	как раз и	3	4
32	в нем не	2	4
33	вовсе не в	3	4
34	но даже и	3	4
35	так же как	2	4
36	и той же	4	4
37	бы то ни	2	3
38	но это не	2	3
39	содержит в себе	2	3
40	не только не	7	3
41	жизни и мира	2	3
42	есть не что	3	3
43	что иное как	6	3
44	и как бы	2	3
45	тех или иных	2	3
46	руки и ноги	2	3
47	ровно ничего не	8	3
48	не что иное	6	3
49	имеется в виду	5	3
50	в вопросе о	2	3
51	и в этом	4	3
52	в сущности и	2	3
53	не должно быть	2	2
54	сам по себе	6	2
55	только тогда когда	6	2
56	если же вы	2	2
57	одна из самых	2	2
58	потому что она	2	2
59	в нем нет	2	2
60	не потому что	2	2
61	не могут быть	3	2
62	и не только	5	2
63	в коем случае	4	2
64	из того что	2	2
65	мы не можем	2	2
66	ни в коем	4	2
67	и та же	3	2
68	одна и та	3	2
69	что это не	3	2
70	прежде всего от	3	2
71	и в чем	3	2
72	не имеет значения	2	2
