N	2gram	Bakhtin_fo	VLabPisa
1	таким образом	14	32
2	в этом	41	29
3	не только	16	26
4	и в	84	26
5	и т	21	25
6	может быть	18	23
7	хотя бы	2	20
8	и не	19	20
9	в процессе	4	17
10	не может	8	17
11	т д	3	16
12	в том	16	15
13	в его	19	15
14	этом отношении	5	14
15	прежде всего	28	13
16	все это	10	13
17	в частности	11	12
18	как это	2	12
19	в качестве	6	12
20	что в	9	11
21	с другой	4	11
22	из них	8	11
23	то же	18	10
24	не могут	4	10
25	но и	14	10
26	и др	13	10
27	о том	4	10
28	по этому	2	10
29	к этому	5	9
30	об этом	3	9
31	т п	18	9
32	для него	5	9
33	в своем	8	8
34	том что	7	8
35	ни один	2	8
36	могут быть	7	8
37	все эти	12	8
38	было бы	2	8
39	только в	12	8
40	вместе с	9	8
41	это не	8	7
42	из этих	5	7
43	во всех	13	7
44	по отношению	3	7
45	в основном	12	7
46	то что	13	7
47	отношению к	5	7
48	как и	15	7
49	их в	6	7
50	в нем	28	7
51	не было	8	7
52	же в	6	7
53	а не	7	7
54	не в	10	6
55	в то	13	6
56	в себе	7	6
57	в порядке	4	6
58	все же	12	6
59	том же	4	6
60	у него	8	6
61	так и	17	6
62	один из	5	6
63	и его	26	6
64	никогда не	8	5
65	сказать что	4	5
66	в одном	10	5
67	и образов	2	5
68	в результате	6	5
69	в пределах	8	5
70	в их	9	5
71	не является	4	5
72	к тому	6	5
73	как бы	11	5
74	в них	11	5
75	в целом	2	5
76	связи с	14	5
77	же время	13	5
78	и есть	3	5
79	на основе	5	5
80	одна из	3	4
81	и ее	4	4
82	роль в	12	4
83	в виду	5	4
84	в философии	2	4
85	ее в	2	4
86	что он	2	4
87	в романе	40	4
88	по существу	17	4
89	с тем	5	4
90	что все	4	4
91	должен быть	2	4
92	отнюдь не	7	4
93	их и	3	4
94	в самом	9	4
95	равно как	4	4
96	как раз	13	4
97	в ее	6	4
98	в своей	2	4
99	является не	2	4
100	в связи	13	4
101	во время	7	4
102	них не	2	4
103	можно сказать	2	4
104	в этой	3	4
105	с его	10	4
106	не столь	2	3
107	и от	3	3
108	например в	7	3
109	и к	4	3
110	с этим	11	3
111	этой проблемы	2	3
112	мы имеем	2	3
113	так же	7	3
114	и он	3	3
115	том как	2	3
116	этот процесс	5	3
117	всех этих	9	3
118	в форме	5	3
119	этого типа	5	3
120	в значительной	3	3
121	в конце	11	3
122	др в	2	3
123	его в	8	3
124	и как	12	3
125	если бы	6	3
126	как он	4	3
127	значительной мере	2	3
128	для того	12	3
129	и их	11	3
130	у нас	2	3
131	как на	2	3
132	в другую	3	3
133	утверждает что	2	3
134	того что	5	3
135	мы видели	2	3
136	нет и	4	3
137	явлений и	3	3
138	далеко не	3	3
139	она не	2	3
140	а в	6	3
141	в котором	8	3
142	именно в	5	3
143	точки зрения	14	3
144	мира и	6	3
145	в которых	4	3
146	между ними	5	3
147	человека и	15	3
148	что не	3	3
149	и художественного	3	3
150	жизни и	12	3
151	того чтобы	11	3
152	что и	5	3
153	и по	5	3
154	или в	3	3
155	что они	3	3
156	же и	2	3
157	момент в	2	3
158	вовсе не	20	3
159	не о	2	2
160	да и	4	2
161	если они	2	2
162	или иной	4	2
163	и потому	4	2
164	до нас	6	2
165	которые в	2	2
166	еще и	3	2
167	с другими	3	2
168	так сказать	14	2
169	другом месте	2	2
170	о чем	4	2
171	одной стороны	3	2
172	вплоть до	3	2
173	в каждом	2	2
174	должно быть	6	2
175	даже не	2	2
176	в последнем	3	2
177	в другом	2	2
178	и даже	5	2
179	вне его	2	2
180	и у	8	2
181	явления в	2	2
182	и весь	2	2
183	а как	3	2
184	все они	4	2
185	в особенности	15	2
186	только для	2	2
187	и наконец	6	2
188	у них	4	2
189	понятно что	4	2
190	еще не	8	2
191	после этого	2	2
192	как у	2	2
193	начинается с	2	2
194	от различных	2	2
195	в которой	3	2
196	точном смысле	3	2
197	например у	4	2
198	в течение	2	2
199	всех его	2	2
200	в чем	3	2
201	сих пор	4	2
202	формы и	4	2
203	с одной	5	2
204	его от	3	2
205	же самое	2	2
206	что даже	2	2
207	сюжета и	2	2
208	одной из	3	2
209	в жизни	6	2
210	к ним	3	2
211	но не	9	2
212	и для	12	2
213	ни с	3	2
214	стороны и	2	2
215	также и	6	2
216	но в	16	2
217	они не	4	2
218	мы наблюдаем	2	2
219	все его	7	2
220	в точном	3	2
221	но к	2	2
222	себе и	4	2
223	в ней	4	2
224	но для	2	2
225	на этом	2	2
226	искусстве и	4	2
227	тогда когда	2	2
228	в образе	8	2
229	значит что	2	2
230	не столько	2	2
231	что мы	2	2
232	с нею	2	2
233	смысле слова	4	2
234	по себе	3	2
235	для них	3	2
236	внимание на	2	2
237	человека в	22	2
238	а затем	3	2
239	же как	2	2
240	должны быть	2	2
241	он сам	2	2
242	и том	2	2
243	числе и	4	2
244	этому вопросу	2	2
245	было в	2	2
246	и может	2	2
247	он не	6	2
248	и сам	2	2
249	во всей	3	2
250	не быть	3	2
251	в различных	2	2
252	ту же	4	2
253	хотя и	5	2
254	лишь в	8	2
255	том числе	7	2
256	во всяком	5	2
257	до сих	4	2
