N	2gram	Vygotskiy_	Komedia
1	и в	33	77
2	и не	18	47
3	в том	44	44
4	том что	41	42
5	о том	13	33
6	едва ли	2	32
7	но и	14	32
8	может быть	15	30
9	таким образом	30	29
10	из них	6	29
11	в то	5	28
12	и его	6	28
13	в этом	43	27
14	потому что	40	27
15	что он	40	26
16	к тому	14	26
17	не только	28	25
18	тому же	3	25
19	вместе с	9	25
20	так как	20	24
21	как и	13	23
22	что в	33	23
23	что и	11	22
24	если бы	13	22
25	в самом	10	22
26	в конце	3	21
27	так и	8	21
28	а в	5	21
29	то же	12	21
30	ясно что	2	21
31	в его	15	20
32	со стороны	3	19
33	к этому	7	19
34	в этой	8	18
35	тем что	12	17
36	еще не	11	17
37	и здесь	2	17
38	в нем	10	17
39	все же	5	16
40	у него	8	16
41	не менее	4	16
42	при этом	9	16
43	тот же	7	16
44	сих пор	3	16
45	он не	13	16
46	до сих	3	16
47	его в	6	15
48	в своем	11	15
49	не в	10	15
50	точки зрения	27	15
51	между тем	5	15
52	прежде всего	5	15
53	один из	4	15
54	было бы	18	15
55	в которой	8	15
56	и на	11	15
57	ли не	2	14
58	к нему	4	14
59	все это	2	14
60	на протяжении	2	14
61	в свою	5	14
62	и с	7	14
63	столь же	5	14
64	о чем	3	13
65	то что	48	13
66	так что	8	13
67	самом деле	9	13
68	но в	9	13
69	того же	13	13
70	в них	3	13
71	того чтобы	26	13
72	что она	3	13
73	мы можем	15	13
74	только что	6	13
75	в одном	3	13
76	как раз	5	13
77	так же	22	12
78	с другой	11	12
79	для того	20	12
80	как это	11	12
81	уже в	4	12
82	несмотря на	3	12
83	в качестве	13	12
84	в истории	3	12
85	в начале	2	12
86	не может	31	12
87	как в	7	12
88	но не	13	12
89	в котором	2	12
90	из которых	3	12
91	по отношению	19	11
92	должны были	3	11
93	наряду с	3	11
94	в их	4	11
95	в частности	9	11
96	с тем	9	11
97	что его	2	11
98	как мы	20	11
99	то время	4	11
100	и даже	3	11
101	на этот	9	11
102	и для	3	11
103	с ним	6	11
104	в отношении	18	10
105	в целом	8	10
106	отношение к	12	10
107	ничего не	6	10
108	на основании	2	10
109	одной из	5	10
110	и все	2	10
111	в чем	10	10
112	на его	4	10
113	мы не	6	10
114	же в	2	10
115	свою очередь	4	10
116	с его	3	10
117	с этим	9	10
118	тем более	5	10
119	с одной	10	10
120	как бы	11	10
121	еще в	3	10
122	и что	18	10
123	в тех	2	9
124	отличие от	3	9
125	тому что	14	9
126	одной стороны	10	9
127	ответ на	3	9
128	и по	5	9
129	из его	2	9
130	в своей	5	9
131	того как	6	9
132	независимо от	3	9
133	больше чем	6	9
134	отношению к	19	9
135	время как	4	9
136	но все	2	9
137	все что	2	9
138	вовсе не	2	9
139	говорить о	3	9
140	только в	21	9
141	в ней	2	9
142	первую очередь	4	8
143	и ее	2	8
144	и других	7	8
145	как он	7	8
146	по своему	4	8
147	с самого	8	8
148	место в	2	8
149	не знает	6	8
150	то это	2	8
151	связи с	9	8
152	по поводу	3	8
153	другой стороны	9	8
154	можно было	11	8
155	бы в	6	8
156	с этой	8	8
157	что у	4	8
158	что для	2	8
159	в которых	2	8
160	если не	3	8
161	во всех	3	8
162	вопрос о	15	7
163	в первую	4	7
164	до конца	3	7
165	в себе	4	7
166	и поэтому	2	7
167	само собой	3	7
168	в другом	7	7
169	и к	7	7
170	мы знаем	5	7
171	самого начала	8	7
172	в других	2	7
173	но если	7	7
174	и это	3	7
175	и во	2	7
176	в связи	6	7
177	что они	8	7
178	во всяком	4	7
179	бы то	2	7
180	если в	4	7
181	из этих	2	7
182	хотя бы	5	7
183	в результате	9	7
184	дело с	2	7
185	целый ряд	5	7
186	должен был	3	7
187	не является	7	7
188	в этих	7	7
189	и тот	5	7
190	ситуация в	2	7
191	не имеет	7	7
192	к его	4	7
193	отнюдь не	2	7
194	конце концов	2	7
195	всяком случае	2	7
196	и хотя	2	7
197	в силу	14	6
198	в виду	4	6
199	и тем	5	6
200	уже о	2	6
201	в области	19	6
202	на вопрос	7	6
203	больше того	3	6
204	том числе	2	6
205	о которых	2	6
206	могут быть	7	6
207	что не	2	6
208	в сущности	17	6
209	до того	4	6
210	никто не	2	6
211	как из	2	6
212	на которые	3	6
213	и он	3	6
214	и как	7	6
215	что к	2	6
216	во второй	4	6
217	как будто	2	6
218	в отличие	3	6
219	в какой	8	6
220	после того	2	6
221	на то	6	6
222	в своих	5	6
223	еще более	5	6
224	когда он	3	6
225	на этом	8	6
226	мы встречаем	2	6
227	представляет собой	11	6
228	с точки	12	6
229	а не	14	6
230	не дает	2	6
231	никогда не	10	5
232	что их	2	5
233	этом отношении	7	5
234	это не	8	5
235	из того	12	5
236	для всех	2	5
237	его на	2	5
238	том как	3	5
239	вслед за	3	5
240	в обоих	2	5
241	одним из	4	5
242	вывод что	2	5
243	в развитии	45	5
244	все время	3	5
245	по существу	5	5
246	к ним	2	5
247	представить себе	2	5
248	мы имеем	4	5
249	что на	2	5
250	между собой	17	5
251	в первом	4	5
252	только один	4	5
253	в действительности	6	5
254	который в	2	5
255	сказать что	18	5
256	представление о	2	5
257	и от	2	5
258	для этого	3	5
259	себя в	4	5
260	в сознании	5	5
261	в первой	2	5
262	за пределы	4	5
263	известно что	2	5
264	из двух	2	5
265	от того	8	5
266	действия в	2	5
267	раз в	4	5
268	именно в	8	5
269	что я	4	5
270	приводит к	10	5
271	жизни и	2	5
272	друг другу	2	5
273	же самое	7	5
274	той же	7	5
275	но он	8	5
276	с помощью	32	5
277	чем в	6	5
278	все более	4	4
279	что ему	2	4
280	которые в	4	4
281	к этим	2	4
282	нуждается в	3	4
283	по мнению	2	4
284	не столько	3	4
285	к началу	5	4
286	к которому	7	4
287	по своей	7	4
288	самом начале	2	4
289	образом в	2	4
290	по сравнению	9	4
291	в более	2	4
292	между ними	5	4
293	сравнению с	9	4
294	один раз	3	4
295	аналогии с	2	4
296	что же	2	4
297	же как	9	4
298	что с	7	4
299	не на	5	4
300	требует от	6	4
301	в основе	12	4
302	как известно	7	4
303	в состоянии	6	4
304	обоих случаях	2	4
305	хотя в	2	4
306	из этого	3	4
307	то и	2	4
308	с их	4	4
309	я не	6	4
310	стороны и	3	4
311	и их	4	4
312	у нас	4	4
313	и другие	13	4
314	такой же	4	4
315	одновременно с	4	4
316	в пределах	6	4
317	именно потому	3	4
318	том чтобы	3	4
319	прежде чем	2	4
320	их в	3	4
321	это слово	3	4
322	с которым	2	4
323	что мы	11	4
324	в той	8	4
325	к их	2	4
326	что эта	7	4
327	этой области	3	4
328	все равно	2	4
329	как его	2	4
330	в себя	4	4
331	если мы	9	3
332	не делает	2	3
333	и потому	3	3
334	не могут	7	3
335	указывает на	3	3
336	от него	3	3
337	нисколько не	2	3
338	в одной	2	3
339	приходит к	6	3
340	сам не	2	3
341	и притом	2	3
342	за собой	4	3
343	того в	2	3
344	что именно	4	3
345	на все	7	3
346	казалось бы	5	3
347	друг от	5	3
348	только на	3	3
349	такое же	2	3
350	представления о	2	3
351	а с	3	3
352	не являются	2	3
353	мы в	2	3
354	она не	2	3
355	к этой	3	3
356	они не	7	3
357	он говорит	3	3
358	с другом	10	3
359	он в	3	3
360	его и	4	3
361	состоит в	11	3
362	в известной	3	3
363	в высшей	3	3
364	от до	2	3
365	таким же	3	3
366	обстоятельство что	5	3
367	ни одного	2	3
368	в виде	3	3
369	для развития	9	3
370	с ними	4	3
371	представляют собой	4	3
372	человеку и	2	3
373	принадлежит к	2	3
374	между двумя	4	3
375	на всю	2	3
376	мы видели	10	3
377	только два	3	3
378	числе и	2	3
379	нет никаких	2	3
380	но при	2	3
381	другой раз	4	3
382	это в	2	3
383	исходя из	2	3
384	собой в	2	3
385	не совсем	2	3
386	друг с	10	3
387	только для	2	3
388	совершенно не	5	3
389	и из	2	3
390	один шаг	3	3
391	и более	8	3
392	не с	2	3
393	отношения к	2	3
394	или на	2	3
395	связанные с	6	3
396	то обстоятельство	5	3
397	если он	4	3
398	по себе	8	3
399	находится в	2	3
400	относится к	3	3
401	высшей степени	3	3
402	является не	2	3
403	ему в	2	3
404	и есть	8	3
405	как на	4	3
406	во всем	2	3
407	в нашем	5	3
408	один и	5	3
409	этих двух	4	3
410	до самого	2	3
411	от друга	5	3
412	что сила	2	2
413	еще и	3	2
414	в каком	2	2
415	к одному	4	2
416	отношения между	3	2
417	тем самым	13	2
418	те же	6	2
419	каким образом	2	2
420	очевидно что	2	2
421	с которой	2	2
