N	3gram	Vinokur_St	Problema
1	тем не менее	4	56
2	о том что	19	39
3	в том что	29	37
4	и т д	25	33
5	в настоящее время	2	30
6	в данном случае	7	28
7	по крайней мере	2	26
8	во всяком случае	8	25
9	с точки зрения	10	25
10	с другой стороны	8	25
11	в конце концов	2	23
12	и то что	2	20
13	на то что	5	19
14	в этом смысле	2	19
15	для того чтобы	13	17
16	в то же	5	17
17	точно так же	2	16
18	до сих пор	12	14
19	в этом случае	3	14
20	на самом деле	7	13
21	ничего общего с	3	13
22	сами по себе	2	13
23	можно было бы	8	13
24	того или иного	4	13
25	не может быть	5	12
26	в то время	2	12
27	и в этом	4	12
28	так или иначе	3	12
29	бы то ни	2	11
30	дело в том	7	11
31	с одной стороны	2	11
32	более или менее	2	10
33	не только не	2	10
34	вместе с тем	2	10
35	не только в	4	10
36	что же касается	3	9
37	может быть и	2	9
38	не говоря уже	2	9
39	не имеет ничего	2	9
40	по этому поводу	4	9
41	т д и	2	9
42	имеет ничего общего	2	9
43	только в том	3	8
44	заключается в том	4	8
45	говоря уже о	2	7
46	иметь в виду	2	7
47	с самого начала	3	7
48	к тому же	2	7
49	но и в	2	7
50	обратить внимание на	3	7
51	в этой области	5	7
52	то или иное	3	7
53	только потому что	2	7
54	так и в	5	6
55	то что в	3	6
56	в том смысле	4	6
57	в самом деле	7	6
58	и только в	3	6
59	в этом отношении	13	6
60	хотя бы и	2	5
61	что в нем	2	5
62	том что он	6	5
63	а также и	2	5
64	в первую очередь	2	5
65	на этот раз	2	5
66	в зависимости от	2	5
67	так же как	5	5
68	том смысле что	2	5
69	в том числе	3	5
70	на эту тему	4	4
71	не значит что	3	4
72	одним и тем	2	4
73	вопрос о том	4	4
74	дело не в	2	4
75	и тем же	2	4
76	в это время	3	4
77	но все же	3	4
78	то обстоятельство что	3	4
79	всяком случае не	2	4
80	том числе и	2	4
81	после того как	5	3
82	но в то	2	3
83	к тому что	4	3
84	как и вообще	2	3
85	как и в	2	3
86	это не значит	3	3
87	что и в	4	3
88	вообще не существует	2	3
89	тот факт что	5	3
90	за то что	5	3
91	вовсе не в	2	3
92	если бы мы	2	3
93	то что он	3	3
94	в своей трагедии	5	3
95	или лучше сказать	2	3
96	том что в	4	3
97	тому что в	2	3
98	то что у	2	3
99	и в данном	2	2
100	по отношению к	3	2
101	в предисловии к	2	2
102	что он не	5	2
103	у меня в	2	2
104	но если это	2	2
105	и в самом	3	2
106	но с другой	2	2
107	в том же	3	2
108	и в том	3	2
109	как раз в	4	2
110	но также и	5	2
111	уже о том	2	2
112	тем что в	2	2
113	и т п	11	2
114	в г в	4	2
115	таком положении дела	2	2
116	вовсе не только	2	2
117	сказать что в	3	2
118	при таком положении	2	2
